date,old_total,revised_total,difference
2023-01-01,1436604,1896059,459455
2023-01-02,1488453,1825770,337317
2023-01-03,1500421,1902730,402309
2023-01-04,1490744,1731417,240673
2023-01-05,1492806,1841176,348370
2023-01-06,1493146,1775113,281967
2023-01-07,1455719,1881288,425569
2023-01-08,1421262,1900541,479279
2023-01-09,1478638,1801328,322690
2023-01-10,1471541,1876702,405161
2023-01-11,1465213,1772117,306904
2023-01-12,1460267,1825554,365287
2023-01-13,1457459,2057396,599937
2023-01-14,1420806,2003562,582756
2023-01-15,1403329,1971843,568514
2023-01-16,1449396,1907670,458274
2023-01-17,1412461,1957514,545053
2023-01-18,1392364,1980528,588164
2023-01-19,1346859,1816019,469160
2023-01-20,1172075,1604949,432874
2023-01-21,589698,682637,92939
2023-01-22,788263,1057963,269700
2023-01-23,888607,1168416,279809
2023-01-24,1016878,1440972,424094
2023-01-25,1114253,1575057,460804
2023-01-26,1143926,1662737,518811
2023-01-27,1161216,1619193,457977
2023-01-28,1130235,1563099,432864
2023-01-29,1141181,1697386,556205
2023-01-30,1196667,1690254,493587
2023-01-31,1205553,1713753,508200
