edge,origin,dest,old_total,revised_total,difference,abs_difference
DC14->DC9,DC14,DC9,0,6370402,6370402,6370402
DC14->DC3,DC14,DC3,71,1136643,1136572,1136572
DC51->DC9,DC51,DC9,0,1061965,1061965,1061965
DC15->DC9,DC15,DC9,0,853403,853403,853403
DC25->DC9,DC25,DC9,0,787486,787486,787486
DC44->DC9,DC44,DC9,0,604439,604439,604439
DC46->DC9,DC46,DC9,0,576907,576907,576907
DC9->DC14,DC9,DC14,0,478037,478037,478037
DC47->DC9,DC47,DC9,0,476467,476467,476467
DC9->DC3,DC9,DC3,0,432918,432918,432918
DC14->DC8,DC14,DC8,3491497,3066693,-424804,424804
DC36->DC3,DC36,DC3,69,405024,404955,404955
DC9->DC5,DC9,DC5,0,376848,376848,376848
DC22->DC3,DC22,DC3,663,363062,362399,362399
DC26->DC9,DC26,DC9,0,343735,343735,343735
DC23->DC3,DC23,DC3,84,335621,335537,335537
DC25->DC3,DC25,DC3,298,302864,302566,302566
DC19->DC3,DC19,DC3,0,299503,299503,299503
DC17->DC3,DC17,DC3,3,297326,297323,297323
DC41->DC9,DC41,DC9,0,291012,291012,291012
DC10->DC3,DC10,DC3,161,246739,246578,246578
DC21->DC3,DC21,DC3,0,243880,243880,243880
DC48->DC9,DC48,DC9,0,226008,226008,226008
DC21->DC5,DC21,DC5,0,216551,216551,216551
DC17->DC4,DC17,DC4,1207081,992315,-214766,214766
DC20->DC3,DC20,DC3,0,191404,191404,191404
DC62->DC8,DC62,DC8,970163,785486,-184677,184677
DC22->DC4,DC22,DC4,1173676,999355,-174321,174321
DC19->DC4,DC19,DC4,1190364,1017970,-172394,172394
DC43->DC9,DC43,DC9,0,170894,170894,170894
DC10->DC4,DC10,DC4,1403426,1234335,-169091,169091
DC45->DC9,DC45,DC9,0,166001,166001,166001
DC15->DC3,DC15,DC3,0,155340,155340,155340
DC58->DC9,DC58,DC9,0,152947,152947,152947
DC51->DC3,DC51,DC3,0,151488,151488,151488
DC73->DC4,DC73,DC4,615030,475328,-139702,139702
DC38->DC3,DC38,DC3,0,137236,137236,137236
DC23->DC4,DC23,DC4,1467250,1331700,-135550,135550
DC36->DC10,DC36,DC10,644376,511772,-132604,132604
DC60->DC8,DC60,DC8,205474,73340,-132134,132134
DC36->DC4,DC36,DC4,1430919,1302858,-128061,128061
DC8->DC10,DC8,DC10,634211,515878,-118333,118333
DC50->DC9,DC50,DC9,0,115508,115508,115508
DC44->DC3,DC44,DC3,0,112816,112816,112816
DC7->DC9,DC7,DC9,0,111349,111349,111349
DC42->DC9,DC42,DC9,0,104640,104640,104640
DC8->DC5,DC8,DC5,224453,126752,-97701,97701
DC44->DC8,DC44,DC8,567239,469854,-97385,97385
DC47->DC3,DC47,DC3,0,94886,94886,94886
DC51->DC8,DC51,DC8,582232,488327,-93905,93905
DC27->DC8,DC27,DC8,545779,452520,-93259,93259
DC36->DC62,DC36,DC62,494801,402110,-92691,92691
DC14->DC10,DC14,DC10,875410,784382,-91028,91028
DC28->DC3,DC28,DC3,0,89459,89459,89459
DC46->DC3,DC46,DC3,0,82764,82764,82764
DC23->DC12,DC23,DC12,0,79958,79958,79958
DC73->DC10,DC73,DC10,270463,191207,-79256,79256
DC25->DC8,DC25,DC8,606380,531020,-75360,75360
DC25->DC10,DC25,DC10,319162,245571,-73591,73591
DC62->DC5,DC62,DC5,138117,65751,-72366,72366
DC17->DC14,DC17,DC14,335242,270026,-65216,65216
DC23->DC62,DC23,DC62,393623,330601,-63022,63022
DC15->DC8,DC15,DC8,495145,434703,-60442,60442
DC10->DC14,DC10,DC14,313287,253346,-59941,59941
DC20->DC10,DC20,DC10,315007,256113,-58894,58894
DC23->DC5,DC23,DC5,211092,152396,-58696,58696
DC46->DC8,DC46,DC8,225095,167038,-58057,58057
DC27->DC10,DC27,DC10,220439,163969,-56470,56470
DC27->DC14,DC27,DC14,140914,84752,-56162,56162
DC19->DC14,DC19,DC14,318436,262628,-55808,55808
DC22->DC10,DC22,DC10,291573,235812,-55761,55761
