edge,origin,dest,volume_2021,volume_2022,ratio_2022_2021,reason
DC10->DC3,DC10,DC3,2183247.0,1120.0,0.0005129973841713739,long_shutdown_edge
DC14->DC3,DC14,DC3,7807748.0,776.0,9.938845362324706e-05,long_shutdown_edge
DC14->DC9,DC14,DC9,30216157.0,64.0,2.118072129424003e-06,long_shutdown_edge
DC15->DC3,DC15,DC3,1108753.0,126.0,0.00011364118067775229,long_shutdown_edge
DC15->DC9,DC15,DC9,4334482.0,2.0,4.6141615076495865e-07,long_shutdown_edge
DC17->DC3,DC17,DC3,2884371.0,287.0,9.950176312270505e-05,long_shutdown_edge
DC19->DC3,DC19,DC3,2425555.0,265.0,0.00010925334614139852,long_shutdown_edge
DC20->DC3,DC20,DC3,1650739.0,141.0,8.541628931042395e-05,long_shutdown_edge
DC21->DC3,DC21,DC3,2297939.0,0.0,0.0,long_shutdown_edge
DC21->DC5,DC21,DC5,1661903.0,39224.0,0.02360185883291623,long_shutdown_edge
DC22->DC3,DC22,DC3,2235608.0,550.0,0.0002460180854604205,long_shutdown_edge
DC23->DC12,DC23,DC12,778689.0,0.0,0.0,long_shutdown_edge
DC23->DC3,DC23,DC3,2815665.0,577.0,0.00020492494668222243,long_shutdown_edge
DC25->DC3,DC25,DC3,2498862.0,1158.0,0.00046341094466200995,long_shutdown_edge
DC25->DC9,DC25,DC9,4443796.0,4.0,9.001313291609244e-07,long_shutdown_edge
DC26->DC9,DC26,DC9,1740236.0,22.0,1.2641963503800627e-05,long_shutdown_edge
DC28->DC3,DC28,DC3,612749.0,90.0,0.0001468790646741159,long_shutdown_edge
DC36->DC3,DC36,DC3,2956554.0,510.0,0.00017249811774112695,long_shutdown_edge
DC38->DC3,DC38,DC3,1121702.0,183.0,0.0001631449351075418,long_shutdown_edge
DC41->DC9,DC41,DC9,569232.0,0.0,0.0,long_shutdown_edge
DC42->DC9,DC42,DC9,672039.0,0.0,0.0,long_shutdown_edge
DC43->DC9,DC43,DC9,999181.0,23.0,2.3018852440148456e-05,long_shutdown_edge
DC44->DC3,DC44,DC3,944385.0,276.0,0.00029225368890865454,long_shutdown_edge
DC44->DC9,DC44,DC9,4202889.0,28.0,6.66208410452905e-06,long_shutdown_edge
DC45->DC9,DC45,DC9,1030957.0,0.0,0.0,long_shutdown_edge
DC46->DC3,DC46,DC3,577699.0,175.0,0.0003029259181684574,long_shutdown_edge
DC46->DC9,DC46,DC9,2851581.0,0.0,0.0,long_shutdown_edge
DC47->DC3,DC47,DC3,605690.0,159.0,0.0002625105251861509,long_shutdown_edge
DC47->DC9,DC47,DC9,2247873.0,0.0,0.0,long_shutdown_edge
DC48->DC9,DC48,DC9,1392355.0,4.0,2.872830564044369e-06,long_shutdown_edge
DC50->DC9,DC50,DC9,838149.0,4.0,4.772421132758012e-06,long_shutdown_edge
DC51->DC3,DC51,DC3,1261004.0,457.0,0.00036240963549679435,long_shutdown_edge
DC51->DC9,DC51,DC9,5269030.0,26.0,4.934494584392193e-06,long_shutdown_edge
DC58->DC8,DC58,DC8,695288.0,0.0,0.0,long_shutdown_edge
DC58->DC9,DC58,DC9,1015207.0,0.0,0.0,long_shutdown_edge
DC7->DC9,DC7,DC9,506642.0,0.0,0.0,long_shutdown_edge
DC73->DC3,DC73,DC3,601583.0,282.0,0.0004687632463018395,long_shutdown_edge
DC9->DC14,DC9,DC14,2245419.0,5.0,2.2267558972289797e-06,long_shutdown_edge
DC9->DC3,DC9,DC3,1888830.0,0.0,0.0,long_shutdown_edge
DC9->DC5,DC9,DC5,1684056.0,0.0,0.0,long_shutdown_edge
