edge,month,current_volume,local_baseline,current_to_baseline,reason
DC14->DC5,2021-10-01,11569.0,124708.5,0.09276833575898996,short_month_drop
DC15->DC62,2021-12-01,0.0,139499.0,0.0,short_month_drop
DC17->DC5,2021-10-01,5515.0,68555.5,0.08044577021537294,short_month_drop
DC19->DC35,2022-02-01,8162.0,57932.0,0.14088931851135814,short_month_drop
DC19->DC5,2021-10-01,2858.0,52350.5,0.05459355689057411,short_month_drop
DC21->DC5,2021-10-01,2253.0,52716.0,0.04273844753016162,short_month_drop
DC23->DC5,2021-10-01,2654.0,60307.5,0.04400779339219832,short_month_drop
DC25->DC10,2021-06-01,30511.0,420394.0,0.07257715381285175,short_month_drop
DC26->DC62,2021-12-01,0.0,55139.0,0.0,short_month_drop
DC27->DC10,2022-07-01,0.0,85951.5,0.0,short_month_drop
DC27->DC62,2022-07-01,0.0,61158.0,0.0,short_month_drop
DC27->DC8,2022-07-01,0.0,204028.5,0.0,short_month_drop
DC51->DC10,2021-07-01,910.0,89970.5,0.010114426395318465,short_month_drop
DC58->DC10,2021-07-01,426.0,56766.0,0.007504492125568122,short_month_drop
