date,forecast_volume,raw_forecast_volume
2023-01-01,1896059,2046617
2023-01-02,1825770,1970758
2023-01-03,1902730,2053823
2023-01-04,1731417,1868903
2023-01-05,1841176,1987375
2023-01-06,1775113,1916067
2023-01-07,1881288,2030671
2023-01-08,1900541,2051458
2023-01-09,1801328,1944357
2023-01-10,1876702,2025717
2023-01-11,1772117,1912833
2023-01-12,1825554,1970514
2023-01-13,2057396,2220645
2023-01-14,2003562,2162672
2023-01-15,1971843,2128427
2023-01-16,1907670,2059157
2023-01-17,1957514,2112956
2023-01-18,1980528,2137790
2023-01-19,1816019,1960225
2023-01-20,1604949,1732393
2023-01-21,682637,736844
2023-01-22,1057963,1141977
2023-01-23,1168416,1261190
2023-01-24,1440972,1555396
2023-01-25,1575057,1700128
2023-01-26,1662737,1794783
2023-01-27,1619193,1747779
2023-01-28,1563099,1687227
2023-01-29,1697386,1832175
2023-01-30,1690254,1824487
2023-01-31,1713753,1849854
