origin,dest,edge,date,forecast_volume,is_long_shutdown_corrected,raw_forecast_volume
DC14,DC10,DC14->DC10,2023-01-01,27061,False,29210
DC20,DC35,DC20->DC35,2023-01-01,8,False,9
DC25,DC62,DC25->DC62,2023-01-01,7197,False,7769
DC14,DC10,DC14->DC10,2023-01-02,27384,False,29558
DC20,DC35,DC20->DC35,2023-01-02,16,False,17
DC25,DC62,DC25->DC62,2023-01-02,8053,False,8692
DC14,DC10,DC14->DC10,2023-01-03,27545,False,29732
DC20,DC35,DC20->DC35,2023-01-03,18,False,19
DC25,DC62,DC25->DC62,2023-01-03,9177,False,9906
DC14,DC10,DC14->DC10,2023-01-04,27023,False,29169
DC20,DC35,DC20->DC35,2023-01-04,14,False,15
DC25,DC62,DC25->DC62,2023-01-04,9003,False,9718
DC14,DC10,DC14->DC10,2023-01-05,27082,False,29233
DC20,DC35,DC20->DC35,2023-01-05,14,False,15
DC25,DC62,DC25->DC62,2023-01-05,8933,False,9642
DC14,DC10,DC14->DC10,2023-01-06,27109,False,29262
DC20,DC35,DC20->DC35,2023-01-06,12,False,13
DC25,DC62,DC25->DC62,2023-01-06,8979,False,9692
DC14,DC10,DC14->DC10,2023-01-07,26996,False,29140
DC20,DC35,DC20->DC35,2023-01-07,6,False,7
DC25,DC62,DC25->DC62,2023-01-07,8295,False,8954
DC14,DC10,DC14->DC10,2023-01-08,26806,False,28935
DC20,DC35,DC20->DC35,2023-01-08,5,False,5
DC25,DC62,DC25->DC62,2023-01-08,8088,False,8730
DC14,DC10,DC14->DC10,2023-01-09,27350,False,29522
DC20,DC35,DC20->DC35,2023-01-09,6,False,7
DC25,DC62,DC25->DC62,2023-01-09,9362,False,10105
DC14,DC10,DC14->DC10,2023-01-10,27173,False,29331
DC20,DC35,DC20->DC35,2023-01-10,6,False,7
DC25,DC62,DC25->DC62,2023-01-10,8963,False,9675
DC14,DC10,DC14->DC10,2023-01-11,27266,False,29431
DC20,DC35,DC20->DC35,2023-01-11,6,False,7
DC25,DC62,DC25->DC62,2023-01-11,8927,False,9636
DC14,DC10,DC14->DC10,2023-01-12,26903,False,29039
DC20,DC35,DC20->DC35,2023-01-12,7,False,8
DC25,DC62,DC25->DC62,2023-01-12,8932,False,9641
DC14,DC10,DC14->DC10,2023-01-13,26919,False,29056
DC20,DC35,DC20->DC35,2023-01-13,7,False,8
DC25,DC62,DC25->DC62,2023-01-13,8963,False,9675
