origin,dest,edge,date,forecast_volume,edge_capacity,over_amount,load_rate
DC9,DC14,DC9->DC14,2023-01-01,35348,30711.0,4637.0,1.1509882452541436
DC41,DC9,DC41->DC9,2023-01-02,35553,29520.0,6033.0,1.204369918699187
DC9,DC14,DC9->DC14,2023-01-03,31896,30711.0,1185.0,1.0385855231024714
DC21,DC5,DC21->DC5,2023-01-05,16939,16058.0,881.0,1.0548636193797485
DC9,DC5,DC9->DC5,2023-01-08,26492,21997.0,4495.0,1.204346047188253
DC9,DC3,DC9->DC3,2023-01-12,37179,31880.0,5299.0,1.1662170639899623
DC28,DC3,DC28->DC3,2023-01-13,8581,7645.0,936.0,1.1224329627207326
DC9,DC5,DC9->DC5,2023-01-13,25046,21997.0,3049.0,1.1386098104286948
DC9,DC5,DC9->DC5,2023-01-14,26151,21997.0,4154.0,1.188843933263627
DC9,DC5,DC9->DC5,2023-01-16,23996,21997.0,1999.0,1.0908760285493477
DC22,DC3,DC22->DC3,2023-01-18,34513,29865.0,4648.0,1.155633684915453
DC7,DC9,DC7->DC9,2023-01-29,9345,7759.0,1586.0,1.204407784508313
DC46,DC9,DC46->DC9,2023-01-30,39437,37361.0,2076.0,1.0555659645084445
DC7,DC9,DC7->DC9,2023-01-30,8762,7759.0,1003.0,1.1292692357262535
DC7,DC9,DC7->DC9,2023-01-31,7981,7759.0,222.0,1.0286119345276452
