scheme,origin,dest,edge,date,base_forecast_volume,added_volume,adjusted_volume,edge_capacity,line_load_rate
min_changed_plus_2,DC1,DC8,DC1->DC8,2023-01-01,0,0,0,3,0.0
min_changed_plus_2,DC10,DC12,DC10->DC12,2023-01-01,0,0,0,993,0.0
min_changed_plus_2,DC10,DC13,DC10->DC13,2023-01-01,0,0,0,6,0.0
min_changed_plus_2,DC10,DC14,DC10->DC14,2023-01-01,9903,0,9903,31846,0.3109652703636249
min_changed_plus_2,DC10,DC17,DC10->DC17,2023-01-01,0,0,0,5,0.0
min_changed_plus_2,DC10,DC19,DC10->DC19,2023-01-01,0,0,0,14,0.0
min_changed_plus_2,DC10,DC20,DC10->DC20,2023-01-01,0,0,0,11,0.0
min_changed_plus_2,DC10,DC21,DC10->DC21,2023-01-01,0,0,0,29,0.0
min_changed_plus_2,DC10,DC22,DC10->DC22,2023-01-01,0,0,0,27,0.0
min_changed_plus_2,DC10,DC23,DC10->DC23,2023-01-01,0,0,0,991,0.0
min_changed_plus_2,DC10,DC25,DC10->DC25,2023-01-01,0,0,0,4,0.0
min_changed_plus_2,DC10,DC27,DC10->DC27,2023-01-01,0,0,0,6,0.0
min_changed_plus_2,DC10,DC28,DC10->DC28,2023-01-01,0,0,0,8,0.0
min_changed_plus_2,DC10,DC3,DC10->DC3,2023-01-01,7689,0,7689,27671,0.2778721405081132
min_changed_plus_2,DC10,DC30,DC10->DC30,2023-01-01,0,0,0,50,0.0
min_changed_plus_2,DC10,DC32,DC10->DC32,2023-01-01,0,0,0,206,0.0
min_changed_plus_2,DC10,DC33,DC10->DC33,2023-01-01,0,0,0,118,0.0
min_changed_plus_2,DC10,DC34,DC10->DC34,2023-01-01,0,0,0,200,0.0
min_changed_plus_2,DC10,DC35,DC10->DC35,2023-01-01,294,0,294,1914,0.1536050156739812
min_changed_plus_2,DC10,DC36,DC10->DC36,2023-01-01,0,0,0,55,0.0
min_changed_plus_2,DC10,DC38,DC10->DC38,2023-01-01,0,0,0,15,0.0
min_changed_plus_2,DC10,DC4,DC10->DC4,2023-01-01,43202,0,43202,129442,0.3337556589051467
min_changed_plus_2,DC10,DC40,DC10->DC40,2023-01-01,0,0,0,969,0.0
min_changed_plus_2,DC10,DC47,DC10->DC47,2023-01-01,0,0,0,2,0.0
min_changed_plus_2,DC10,DC51,DC10->DC51,2023-01-01,0,0,0,1,0.0
min_changed_plus_2,DC10,DC59,DC10->DC59,2023-01-01,0,0,0,32,0.0
min_changed_plus_2,DC10,DC60,DC10->DC60,2023-01-01,0,0,0,59,0.0
min_changed_plus_2,DC10,DC61,DC10->DC61,2023-01-01,0,0,0,3,0.0
min_changed_plus_2,DC10,DC62,DC10->DC62,2023-01-01,11656,0,11656,32318,0.36066588278977657
min_changed_plus_2,DC10,DC64,DC10->DC64,2023-01-01,0,0,0,12,0.0
min_changed_plus_2,DC10,DC65,DC10->DC65,2023-01-01,0,0,0,19,0.0
min_changed_plus_2,DC10,DC67,DC10->DC67,2023-01-01,0,0,0,20,0.0
min_changed_plus_2,DC10,DC70,DC10->DC70,2023-01-01,429,0,429,3842,0.1116605934409162
min_changed_plus_2,DC10,DC73,DC10->DC73,2023-01-01,0,0,0,4,0.0
min_changed_plus_2,DC10,DC76,DC10->DC76,2023-01-01,0,0,0,8,0.0
min_changed_plus_2,DC10,DC78,DC10->DC78,2023-01-01,0,0,0,5,0.0
min_changed_plus_2,DC10,DC8,DC10->DC8,2023-01-01,1048,0,1048,57645,0.018180241131060804
min_changed_plus_2,DC10,DC80,DC10->DC80,2023-01-01,0,0,0,1,0.0
min_changed_plus_2,DC10,DC9,DC10->DC9,2023-01-01,0,6668,6668,15457,0.43139030859804617
min_changed_plus_2,DC11,DC10,DC11->DC10,2023-01-01,0,0,0,9190,0.0
min_changed_plus_2,DC11,DC14,DC11->DC14,2023-01-01,0,0,0,2947,0.0
min_changed_plus_2,DC11,DC22,DC11->DC22,2023-01-01,0,0,0,2,0.0
min_changed_plus_2,DC11,DC3,DC11->DC3,2023-01-01,0,0,0,1920,0.0
min_changed_plus_2,DC11,DC9,DC11->DC9,2023-01-01,0,0,0,99,0.0
min_changed_plus_2,DC12,DC10,DC12->DC10,2023-01-01,0,0,0,32,0.0
min_changed_plus_2,DC12,DC14,DC12->DC14,2023-01-01,0,0,0,48,0.0
min_changed_plus_2,DC12,DC23,DC12->DC23,2023-01-01,0,0,0,11,0.0
min_changed_plus_2,DC12,DC3,DC12->DC3,2023-01-01,0,0,0,21,0.0
min_changed_plus_2,DC12,DC32,DC12->DC32,2023-01-01,0,0,0,58,0.0
min_changed_plus_2,DC12,DC35,DC12->DC35,2023-01-01,0,0,0,548,0.0
min_changed_plus_2,DC12,DC36,DC12->DC36,2023-01-01,0,0,0,35,0.0
min_changed_plus_2,DC12,DC38,DC12->DC38,2023-01-01,0,0,0,9,0.0
min_changed_plus_2,DC12,DC40,DC12->DC40,2023-01-01,0,0,0,66,0.0
min_changed_plus_2,DC12,DC67,DC12->DC67,2023-01-01,0,0,0,9,0.0
min_changed_plus_2,DC12,DC9,DC12->DC9,2023-01-01,0,0,0,71,0.0
min_changed_plus_2,DC13,DC10,DC13->DC10,2023-01-01,0,0,0,400,0.0
min_changed_plus_2,DC13,DC14,DC13->DC14,2023-01-01,0,0,0,73,0.0
min_changed_plus_2,DC13,DC15,DC13->DC15,2023-01-01,0,0,0,2,0.0
min_changed_plus_2,DC13,DC3,DC13->DC3,2023-01-01,0,0,0,106,0.0
min_changed_plus_2,DC13,DC4,DC13->DC4,2023-01-01,0,0,0,437,0.0
min_changed_plus_2,DC13,DC62,DC13->DC62,2023-01-01,0,0,0,62,0.0
min_changed_plus_2,DC13,DC8,DC13->DC8,2023-01-01,0,0,0,7,0.0
min_changed_plus_2,DC13,DC9,DC13->DC9,2023-01-01,0,0,0,25,0.0
min_changed_plus_2,DC14,DC10,DC14->DC10,2023-01-01,27061,0,27061,130118,0.20797276318418667
min_changed_plus_2,DC14,DC11,DC14->DC11,2023-01-01,0,0,0,1,0.0
min_changed_plus_2,DC14,DC12,DC14->DC12,2023-01-01,0,0,0,6525,0.0
min_changed_plus_2,DC14,DC13,DC14->DC13,2023-01-01,0,0,0,6,0.0
min_changed_plus_2,DC14,DC17,DC14->DC17,2023-01-01,0,0,0,5,0.0
min_changed_plus_2,DC14,DC19,DC14->DC19,2023-01-01,0,0,0,2,0.0
min_changed_plus_2,DC14,DC20,DC14->DC20,2023-01-01,0,0,0,15,0.0
min_changed_plus_2,DC14,DC21,DC14->DC21,2023-01-01,0,0,0,17,0.0
min_changed_plus_2,DC14,DC22,DC14->DC22,2023-01-01,0,0,0,9,0.0
min_changed_plus_2,DC14,DC23,DC14->DC23,2023-01-01,0,0,0,57,0.0
min_changed_plus_2,DC14,DC25,DC14->DC25,2023-01-01,0,0,0,5,0.0
min_changed_plus_2,DC14,DC3,DC14->DC3,2023-01-01,59397,0,59397,98905,0.6005459784641828
min_changed_plus_2,DC14,DC30,DC14->DC30,2023-01-01,0,0,0,7,0.0
min_changed_plus_2,DC14,DC32,DC14->DC32,2023-01-01,0,0,0,57,0.0
min_changed_plus_2,DC14,DC33,DC14->DC33,2023-01-01,0,0,0,27,0.0
min_changed_plus_2,DC14,DC34,DC14->DC34,2023-01-01,0,0,0,116,0.0
min_changed_plus_2,DC14,DC35,DC14->DC35,2023-01-01,420,0,420,16350,0.025688073394495414
min_changed_plus_2,DC14,DC36,DC14->DC36,2023-01-01,0,0,0,9,0.0
min_changed_plus_2,DC14,DC38,DC14->DC38,2023-01-01,0,0,0,2,0.0
min_changed_plus_2,DC14,DC4,DC14->DC4,2023-01-01,258,0,258,172448,0.0014961031731304509
min_changed_plus_2,DC14,DC40,DC14->DC40,2023-01-01,0,0,0,7135,0.0
min_changed_plus_2,DC14,DC43,DC14->DC43,2023-01-01,0,0,0,4,0.0
min_changed_plus_2,DC14,DC61,DC14->DC61,2023-01-01,0,0,0,10,0.0
min_changed_plus_2,DC14,DC62,DC14->DC62,2023-01-01,25338,14075,39413,124891,0.31557918504936305
min_changed_plus_2,DC14,DC64,DC14->DC64,2023-01-01,0,0,0,45,0.0
min_changed_plus_2,DC14,DC65,DC14->DC65,2023-01-01,0,0,0,121,0.0
min_changed_plus_2,DC14,DC67,DC14->DC67,2023-01-01,0,0,0,2,0.0
min_changed_plus_2,DC14,DC70,DC14->DC70,2023-01-01,275,11,286,9442,0.03029019275577208
min_changed_plus_2,DC14,DC76,DC14->DC76,2023-01-01,0,0,0,2,0.0
min_changed_plus_2,DC14,DC78,DC14->DC78,2023-01-01,0,0,0,4,0.0
min_changed_plus_2,DC14,DC8,DC14->DC8,2023-01-01,102508,0,102508,505833,0.20265186336201868
min_changed_plus_2,DC14,DC81,DC14->DC81,2023-01-01,0,0,0,297,0.0
min_changed_plus_2,DC14,DC9,DC14->DC9,2023-01-01,168355,0,168355,439995,0.3826293480607734
min_changed_plus_2,DC15,DC10,DC15->DC10,2023-01-01,6782,0,6782,29502,0.22988271981560573
min_changed_plus_2,DC15,DC12,DC15->DC12,2023-01-01,0,0,0,393,0.0
min_changed_plus_2,DC15,DC13,DC15->DC13,2023-01-01,0,0,0,2,0.0
min_changed_plus_2,DC15,DC14,DC15->DC14,2023-01-01,5466,0,5466,20046,0.2726728524393894
min_changed_plus_2,DC15,DC3,DC15->DC3,2023-01-01,6475,0,6475,10570,0.6125827814569537
min_changed_plus_2,DC15,DC32,DC15->DC32,2023-01-01,0,0,0,224,0.0
min_changed_plus_2,DC15,DC33,DC15->DC33,2023-01-01,0,0,0,56,0.0
min_changed_plus_2,DC15,DC34,DC15->DC34,2023-01-01,0,0,0,6,0.0
min_changed_plus_2,DC15,DC35,DC15->DC35,2023-01-01,3,0,3,951,0.0031545741324921135
min_changed_plus_2,DC15,DC4,DC15->DC4,2023-01-01,48,0,48,50163,0.0009568805693439388
min_changed_plus_2,DC15,DC40,DC15->DC40,2023-01-01,0,0,0,220,0.0
min_changed_plus_2,DC15,DC62,DC15->DC62,2023-01-01,6628,0,6628,86858,0.07630845748232748
min_changed_plus_2,DC15,DC64,DC15->DC64,2023-01-01,0,0,0,22,0.0
min_changed_plus_2,DC15,DC65,DC15->DC65,2023-01-01,0,0,0,31,0.0
min_changed_plus_2,DC15,DC70,DC15->DC70,2023-01-01,6,0,6,499,0.012024048096192385
min_changed_plus_2,DC15,DC8,DC15->DC8,2023-01-01,15445,0,15445,62804,0.24592382650786573
min_changed_plus_2,DC15,DC81,DC15->DC81,2023-01-01,0,0,0,17,0.0
min_changed_plus_2,DC15,DC9,DC15->DC9,2023-01-01,35501,2766,38267,80194,0.4771803376811233
min_changed_plus_2,DC16,DC10,DC16->DC10,2023-01-01,0,0,0,12672,0.0
min_changed_plus_2,DC16,DC14,DC16->DC14,2023-01-01,0,0,0,7817,0.0
min_changed_plus_2,DC16,DC35,DC16->DC35,2023-01-01,0,0,0,3837,0.0
min_changed_plus_2,DC16,DC4,DC16->DC4,2023-01-01,0,0,0,13017,0.0
min_changed_plus_2,DC16,DC62,DC16->DC62,2023-01-01,0,0,0,2,0.0
min_changed_plus_2,DC16,DC70,DC16->DC70,2023-01-01,0,0,0,297,0.0
min_changed_plus_2,DC16,DC8,DC16->DC8,2023-01-01,0,0,0,37,0.0
min_changed_plus_2,DC17,DC10,DC17->DC10,2023-01-01,13847,0,13847,235018,0.0589188913189628
min_changed_plus_2,DC17,DC12,DC17->DC12,2023-01-01,0,0,0,2032,0.0
min_changed_plus_2,DC17,DC14,DC17->DC14,2023-01-01,10293,0,10293,62548,0.164561616678391
min_changed_plus_2,DC17,DC20,DC17->DC20,2023-01-01,0,0,0,1,0.0
min_changed_plus_2,DC17,DC29,DC17->DC29,2023-01-01,0,0,0,9,0.0
min_changed_plus_2,DC17,DC3,DC17->DC3,2023-01-01,13927,0,13927,50008,0.2784954407294833
min_changed_plus_2,DC17,DC32,DC17->DC32,2023-01-01,0,0,0,17,0.0
min_changed_plus_2,DC17,DC34,DC17->DC34,2023-01-01,0,0,0,27,0.0
min_changed_plus_2,DC17,DC35,DC17->DC35,2023-01-01,93,0,93,10831,0.008586464777028898
min_changed_plus_2,DC17,DC4,DC17->DC4,2023-01-01,29846,9128,38974,245699,0.15862498422867005
min_changed_plus_2,DC17,DC40,DC17->DC40,2023-01-01,0,0,0,1332,0.0
min_changed_plus_2,DC17,DC61,DC17->DC61,2023-01-01,0,0,0,2,0.0
min_changed_plus_2,DC17,DC62,DC17->DC62,2023-01-01,13450,0,13450,58564,0.22966327436650502
min_changed_plus_2,DC17,DC64,DC17->DC64,2023-01-01,0,0,0,10,0.0
min_changed_plus_2,DC17,DC65,DC17->DC65,2023-01-01,0,0,0,2,0.0
min_changed_plus_2,DC17,DC70,DC17->DC70,2023-01-01,120,0,120,3561,0.03369839932603201
min_changed_plus_2,DC17,DC8,DC17->DC8,2023-01-01,151,0,151,64262,0.0023497556876536678
min_changed_plus_2,DC17,DC81,DC17->DC81,2023-01-01,0,0,0,113,0.0
min_changed_plus_2,DC17,DC9,DC17->DC9,2023-01-01,0,0,0,1205,0.0
min_changed_plus_2,DC18,DC10,DC18->DC10,2023-01-01,0,0,0,27506,0.0
min_changed_plus_2,DC18,DC14,DC18->DC14,2023-01-01,0,0,0,15975,0.0
min_changed_plus_2,DC18,DC23,DC18->DC23,2023-01-01,0,0,0,4,0.0
min_changed_plus_2,DC18,DC4,DC18->DC4,2023-01-01,0,0,0,43771,0.0
min_changed_plus_2,DC18,DC62,DC18->DC62,2023-01-01,0,0,0,9843,0.0
min_changed_plus_2,DC18,DC8,DC18->DC8,2023-01-01,0,0,0,135,0.0
min_changed_plus_2,DC19,DC10,DC19->DC10,2023-01-01,11346,4987,16333,161384,0.1012058196599415
min_changed_plus_2,DC19,DC12,DC19->DC12,2023-01-01,0,0,0,54761,0.0
min_changed_plus_2,DC19,DC14,DC19->DC14,2023-01-01,8671,0,8671,62233,0.13933122298459016
min_changed_plus_2,DC19,DC20,DC19->DC20,2023-01-01,0,0,0,2,0.0
min_changed_plus_2,DC19,DC3,DC19->DC3,2023-01-01,13074,0,13074,48217,0.27114917974988073
min_changed_plus_2,DC19,DC32,DC19->DC32,2023-01-01,0,0,0,376,0.0
min_changed_plus_2,DC19,DC34,DC19->DC34,2023-01-01,0,0,0,4,0.0
min_changed_plus_2,DC19,DC35,DC19->DC35,2023-01-01,179,0,179,26184,0.006836235869233119
min_changed_plus_2,DC19,DC36,DC19->DC36,2023-01-01,0,0,0,3,0.0
min_changed_plus_2,DC19,DC4,DC19->DC4,2023-01-01,34200,0,34200,248759,0.13748246294606425
min_changed_plus_2,DC19,DC40,DC19->DC40,2023-01-01,0,0,0,9969,0.0
min_changed_plus_2,DC19,DC62,DC19->DC62,2023-01-01,11876,0,11876,65493,0.18133235612966273
min_changed_plus_2,DC19,DC64,DC19->DC64,2023-01-01,0,0,0,15,0.0
min_changed_plus_2,DC19,DC65,DC19->DC65,2023-01-01,0,0,0,9577,0.0
min_changed_plus_2,DC19,DC70,DC19->DC70,2023-01-01,414,0,414,13506,0.03065304309195913
min_changed_plus_2,DC19,DC8,DC19->DC8,2023-01-01,132,0,132,67105,0.0019670665375158334
