scheme,date,original_edge,demand_type,alternative_origin,alternative_dest,alternative_edge,allocated_volume,unserved_volume
min_changed_plus_2,2023-01-01,DC10->DC5,inbound_to_closed_site,DC10,DC9,DC10->DC9,6668,0
min_changed_plus_2,2023-01-01,DC14->DC5,inbound_to_closed_site,DC14,DC62,DC14->DC62,13918,0
min_changed_plus_2,2023-01-01,DC15->DC5,inbound_to_closed_site,DC15,DC9,DC15->DC9,2766,0
min_changed_plus_2,2023-01-01,DC17->DC5,inbound_to_closed_site,DC17,DC4,DC17->DC4,8372,0
min_changed_plus_2,2023-01-01,DC19->DC5,inbound_to_closed_site,DC19,DC10,DC19->DC10,4987,0
min_changed_plus_2,2023-01-01,DC20->DC5,inbound_to_closed_site,DC20,DC3,DC20->DC3,4506,0
min_changed_plus_2,2023-01-01,DC21->DC5,inbound_to_closed_site,DC21,DC14,DC21->DC14,7993,0
min_changed_plus_2,2023-01-01,DC22->DC5,inbound_to_closed_site,DC22,DC12,DC22->DC12,4971,0
min_changed_plus_2,2023-01-01,DC23->DC5,inbound_to_closed_site,DC23,DC35,DC23->DC35,6221,0
min_changed_plus_2,2023-01-01,DC25->DC5,inbound_to_closed_site,DC25,DC9,DC25->DC9,3310,0
min_changed_plus_2,2023-01-01,DC26->DC5,inbound_to_closed_site,DC26,DC62,DC26->DC62,1140,0
min_changed_plus_2,2023-01-01,DC27->DC5,inbound_to_closed_site,DC27,DC8,DC27->DC8,1754,0
min_changed_plus_2,2023-01-01,DC28->DC5,inbound_to_closed_site,DC28,DC3,DC28->DC3,1937,0
min_changed_plus_2,2023-01-01,DC30->DC5,inbound_to_closed_site,DC30,DC8,DC30->DC8,1488,0
min_changed_plus_2,2023-01-01,DC31->DC5,inbound_to_closed_site,DC31,DC64,DC31->DC64,106,0
min_changed_plus_2,2023-01-01,DC34->DC5,inbound_to_closed_site,DC34,DC4,DC34->DC4,14,0
min_changed_plus_2,2023-01-01,DC36->DC5,inbound_to_closed_site,DC36,DC64,DC36->DC64,7807,0
min_changed_plus_2,2023-01-01,DC38->DC5,inbound_to_closed_site,DC38,DC3,DC38->DC3,2235,0
min_changed_plus_2,2023-01-01,DC4->DC5,inbound_to_closed_site,DC4,DC10,DC4->DC10,6,0
min_changed_plus_2,2023-01-01,DC40->DC5,inbound_to_closed_site,DC40,DC10,DC40->DC10,5,0
min_changed_plus_2,2023-01-01,DC42->DC5,inbound_to_closed_site,DC42,DC14,DC42->DC14,358,0
min_changed_plus_2,2023-01-01,DC43->DC5,inbound_to_closed_site,DC43,DC3,DC43->DC3,544,0
min_changed_plus_2,2023-01-01,DC44->DC5,inbound_to_closed_site,DC44,DC14,DC44->DC14,1923,0
min_changed_plus_2,2023-01-01,DC46->DC5,inbound_to_closed_site,DC46,DC12,DC46->DC12,799,0
min_changed_plus_2,2023-01-01,DC47->DC5,inbound_to_closed_site,DC47,DC14,DC47->DC14,1211,0
min_changed_plus_2,2023-01-01,DC48->DC5,inbound_to_closed_site,DC48,DC9,DC48->DC9,1053,0
min_changed_plus_2,2023-01-01,DC5->DC10,outbound_from_closed_site,DC49,DC10,DC49->DC10,222,0
min_changed_plus_2,2023-01-01,DC5->DC14,outbound_from_closed_site,DC59,DC14,DC59->DC14,86,0
min_changed_plus_2,2023-01-01,DC5->DC35,outbound_from_closed_site,DC23,DC35,DC23->DC35,3,0
min_changed_plus_2,2023-01-01,DC5->DC4,outbound_from_closed_site,DC17,DC4,DC17->DC4,756,0
min_changed_plus_2,2023-01-01,DC5->DC62,outbound_from_closed_site,DC14,DC62,DC14->DC62,157,0
min_changed_plus_2,2023-01-01,DC5->DC70,outbound_from_closed_site,DC14,DC70,DC14->DC70,11,0
min_changed_plus_2,2023-01-01,DC5->DC8,outbound_from_closed_site,DC56,DC8,DC56->DC8,6,0
min_changed_plus_2,2023-01-01,DC50->DC5,inbound_to_closed_site,DC50,DC10,DC50->DC10,776,0
min_changed_plus_2,2023-01-01,DC51->DC5,inbound_to_closed_site,DC51,DC8,DC51->DC8,2680,0
