scheme,date,stage1_status,stage2_status,stage3_status,changed_allowance,minimum_unserved_volume,minimum_changed_lines,allowed_changed_lines,actual_changed_lines,affected_volume,unserved_volume,max_line_load_rate,model_max_line_load_rate,average_line_load_rate,line_load_std,candidate_line_count,dc5_related_positive_line_count
min_changed_plus_2,2023-01-01,Optimal,Optimal,Optimal,2,4718,63,65,65,120681,4718,1.1509882452541436,1.1509882,0.06796683440478578,0.181231586298241,858,49
min_changed_plus_2,2023-01-02,Optimal,Optimal,Optimal,2,0,41,43,43,121401,0,1.204369918699187,1.2043699,0.04880937254775783,0.12360817181421958,854,48
min_changed_plus_2,2023-01-03,Optimal,Optimal,Optimal,2,0,41,43,43,120930,0,1.0385855231024714,1.0385855,0.049193887986208454,0.12097588933905758,839,47
min_changed_plus_2,2023-01-04,Optimal,Optimal,Optimal,2,0,43,45,45,116701,0,0.9631744040150565,0.9631744,0.046416888084251956,0.1129143677896389,840,47
min_changed_plus_2,2023-01-05,Optimal,Optimal,Optimal,2,0,41,43,43,125649,0,0.8451043600013025,0.84510436,0.04578970926826174,0.10721271074744307,840,47
min_changed_plus_2,2023-01-06,Optimal,Optimal,Optimal,2,0,41,43,43,121334,0,0.9182592242194891,0.91825922,0.04485464674998494,0.10614055646700848,840,47
min_changed_plus_2,2023-01-07,Optimal,Optimal,Optimal,2,0,41,43,43,118463,0,0.7159974905897114,0.71599749,0.04123565765394067,0.09628494292989874,840,47
min_changed_plus_2,2023-01-08,Optimal,Optimal,Optimal,2,0,42,44,44,122803,0,0.982896603409973,0.9828966,0.04536820110416873,0.11377819310671901,840,47
min_changed_plus_2,2023-01-09,Optimal,Optimal,Optimal,2,0,41,43,43,118314,0,0.6918861533795055,0.69188615,0.04264914444009869,0.0963112458188844,840,47
min_changed_plus_2,2023-01-10,Optimal,Optimal,Optimal,2,0,41,43,43,118503,0,0.838852528410016,0.83885253,0.04611931947125291,0.10992793281217311,840,47
min_changed_plus_2,2023-01-11,Optimal,Optimal,Optimal,2,0,41,43,43,117702,0,0.8989593188268685,0.89895932,0.04492444309074438,0.10485714849056053,840,47
min_changed_plus_2,2023-01-12,Optimal,Optimal,Optimal,2,0,41,43,43,115383,0,1.1662170639899623,1.1662171,0.04592301438937426,0.11115877786236661,839,47
min_changed_plus_2,2023-01-13,Optimal,Optimal,Optimal,2,16196,63,65,65,131176,16196,1.1224329627207326,1.122433,0.06970086055216758,0.18333661833915837,839,47
min_changed_plus_2,2023-01-14,Optimal,Optimal,Optimal,2,0,46,48,48,127723,0,0.9841099280388135,0.98410993,0.05197543392375356,0.13725535490415006,840,47
min_changed_plus_2,2023-01-15,Optimal,Optimal,Optimal,2,0,42,44,44,118927,0,0.9289962062954988,0.92899621,0.04608448657590706,0.11661642541578887,840,47
min_changed_plus_2,2023-01-16,Optimal,Optimal,Optimal,2,2865,41,43,43,126791,2865,0.9626530663141881,0.96265307,0.046043440579391616,0.11062324132462133,840,47
min_changed_plus_2,2023-01-17,Optimal,Optimal,Optimal,2,0,42,44,44,124897,0,0.898306148055207,0.89830615,0.048659299726254164,0.12002144921930107,840,47
min_changed_plus_2,2023-01-18,Optimal,Optimal,Optimal,2,0,41,43,43,117454,0,1.155633684915453,1.1556337,0.04680805181299516,0.11853038082250847,839,47
min_changed_plus_2,2023-01-19,Optimal,Optimal,Optimal,2,0,41,43,43,103072,0,0.8251144538914323,0.82511445,0.042395428798419975,0.1026010096694523,840,47
min_changed_plus_2,2023-01-20,Optimal,Optimal,Optimal,2,0,41,43,43,82427,0,0.7211530740611868,0.72115307,0.033054657346074344,0.07977796596011168,840,47
min_changed_plus_2,2023-01-21,Optimal,Optimal,Optimal,2,0,41,43,43,41054,0,0.19258049838066432,0.1925805,0.015439202020916764,0.0330226442021586,840,47
min_changed_plus_2,2023-01-22,Optimal,Optimal,Optimal,2,0,41,43,43,54179,0,0.5127004095179465,0.51270041,0.021901287372199665,0.05271853219886452,840,47
min_changed_plus_2,2023-01-23,Optimal,Optimal,Optimal,2,0,41,43,43,62034,0,0.9091769157994324,0.90917692,0.025304558226696732,0.06771427003492005,840,47
min_changed_plus_2,2023-01-24,Optimal,Optimal,Optimal,2,0,41,43,43,71637,0,0.6206244087038789,0.62062441,0.029084338578274836,0.07293905851664839,840,47
min_changed_plus_2,2023-01-25,Optimal,Optimal,Optimal,2,0,41,43,43,85008,0,0.8482497634815516,0.84824976,0.03205986732718093,0.08169056385289798,840,47
min_changed_plus_2,2023-01-26,Optimal,Optimal,Optimal,2,0,41,43,43,84075,0,0.6902896623825271,0.69028966,0.03163120298227132,0.07723785262354288,840,47
min_changed_plus_2,2023-01-27,Optimal,Optimal,Optimal,2,0,41,43,43,87628,0,0.6301980704326186,0.63019807,0.03220093975559998,0.07483252662548147,840,47
min_changed_plus_2,2023-01-28,Optimal,Optimal,Optimal,2,0,41,43,43,85543,0,0.8553481067876462,0.85534811,0.03367303731654067,0.08650012636204875,840,47
min_changed_plus_2,2023-01-29,Optimal,Optimal,Optimal,2,0,41,43,43,88080,0,1.204407784508313,1.2044078,0.03539363236147465,0.09521882838438354,839,47
min_changed_plus_2,2023-01-30,Optimal,Optimal,Optimal,2,0,41,43,43,94670,0,1.1292692357262535,1.1292692,0.036705325812162556,0.09781949745647993,838,47
min_changed_plus_2,2023-01-31,Optimal,Optimal,Optimal,2,0,41,43,43,89789,0,1.0286119345276452,1.0286119,0.03640244609222976,0.09218333259195316,839,47
