scheme,date,stage1_status,stage2_status,stage3_status,changed_allowance,minimum_unserved_volume,minimum_changed_lines,allowed_changed_lines,actual_changed_lines,affected_volume,unserved_volume,max_line_load_rate,model_max_line_load_rate,average_line_load_rate,line_load_std,candidate_line_count,dc5_related_positive_line_count
min_changed_plus_0,2023-01-01,Optimal,Optimal,Optimal,0,4718,63,63,63,120681,4718,1.1509882452541436,1.1509882,0.06804010474180305,0.18125380118089793,858,49
min_changed_plus_2,2023-01-01,Optimal,Optimal,Optimal,2,4718,63,65,65,120681,4718,1.1509882452541436,1.1509882,0.06796683440478578,0.181231586298241,858,49
min_changed_plus_5,2023-01-01,Optimal,Optimal,Optimal,5,4718,63,68,66,120681,4718,1.1509882452541436,1.1509882,0.06895213344270239,0.18364983279511612,858,49
min_changed_plus_0,2023-01-02,Optimal,Optimal,Optimal,0,0,41,41,41,121401,0,1.204369918699187,1.2043699,0.04836576630704534,0.12147511521597497,854,48
min_changed_plus_2,2023-01-02,Optimal,Optimal,Optimal,2,0,41,43,43,121401,0,1.204369918699187,1.2043699,0.04880937254775783,0.12360817181421958,854,48
min_changed_plus_5,2023-01-02,Optimal,Optimal,Optimal,5,0,41,46,45,121401,0,1.204369918699187,1.2043699,0.048702423906898565,0.12351040471517599,854,48
min_changed_plus_0,2023-01-03,Optimal,Optimal,Optimal,0,0,41,41,41,120930,0,1.0385855231024714,1.0385855,0.04814336287468843,0.11733475218499095,839,47
min_changed_plus_2,2023-01-03,Optimal,Optimal,Optimal,2,0,41,43,43,120930,0,1.0385855231024714,1.0385855,0.049193887986208454,0.12097588933905758,839,47
min_changed_plus_5,2023-01-03,Optimal,Optimal,Optimal,5,0,41,46,45,120930,0,1.0385855231024714,1.0385855,0.050523037919482774,0.1276953456670129,839,47
min_changed_plus_0,2023-01-04,Optimal,Optimal,Optimal,0,0,43,43,43,116701,0,0.9631728045325779,0.9631728,0.04767360508119933,0.11598745409191442,840,47
min_changed_plus_2,2023-01-04,Optimal,Optimal,Optimal,2,0,43,45,45,116701,0,0.9631744040150565,0.9631744,0.046416888084251956,0.1129143677896389,840,47
min_changed_plus_5,2023-01-04,Optimal,Optimal,Optimal,5,0,43,48,45,116701,0,0.9631728045325779,0.9631728,0.046626758204604074,0.11425695917410293,840,47
min_changed_plus_0,2023-01-05,Optimal,Optimal,Optimal,0,0,41,41,41,125649,0,0.9990557129367328,0.99905571,0.04532737592473626,0.10590528343466098,840,47
min_changed_plus_2,2023-01-05,Optimal,Optimal,Optimal,2,0,41,43,43,125649,0,0.8451043600013025,0.84510436,0.04578970926826174,0.10721271074744307,840,47
min_changed_plus_5,2023-01-05,Optimal,Optimal,Optimal,5,0,41,46,46,125649,0,0.7919637914753671,0.79196379,0.048883268194372956,0.11584270091926648,840,47
min_changed_plus_0,2023-01-06,Optimal,Optimal,Optimal,0,0,41,41,41,121334,0,0.9182592242194891,0.91825922,0.046755185099826096,0.11071741001884594,840,47
min_changed_plus_2,2023-01-06,Optimal,Optimal,Optimal,2,0,41,43,43,121334,0,0.9182592242194891,0.91825922,0.04485464674998494,0.10614055646700848,840,47
min_changed_plus_5,2023-01-06,Optimal,Optimal,Optimal,5,0,41,46,43,121334,0,0.9182592242194891,0.91825922,0.04485464674998494,0.10614055646700848,840,47
min_changed_plus_0,2023-01-07,Optimal,Optimal,Optimal,0,0,41,41,41,118463,0,0.8583437892095358,0.85834379,0.042062384770667274,0.09888342164719409,840,47
min_changed_plus_2,2023-01-07,Optimal,Optimal,Optimal,2,0,41,43,43,118463,0,0.7159974905897114,0.71599749,0.04123565765394067,0.09628494292989874,840,47
min_changed_plus_5,2023-01-07,Optimal,Optimal,Optimal,5,0,41,46,46,118463,0,0.715988647114475,0.71598865,0.04401440422152959,0.10491459787680883,840,47
min_changed_plus_0,2023-01-08,Optimal,Optimal,Optimal,0,0,42,42,42,122803,0,0.982896603409973,0.9828966,0.04500696356068597,0.1128879163259302,840,47
min_changed_plus_2,2023-01-08,Optimal,Optimal,Optimal,2,0,42,44,44,122803,0,0.982896603409973,0.9828966,0.04536820110416873,0.11377819310671901,840,47
min_changed_plus_5,2023-01-08,Optimal,Optimal,Optimal,5,0,42,47,47,122803,0,0.9829046424090339,0.98290464,0.0473297647915282,0.12107471055350072,840,47
min_changed_plus_0,2023-01-09,Optimal,Optimal,Optimal,0,0,41,41,41,118314,0,0.8370290775292241,0.83702908,0.04321481680610025,0.09751356199023731,840,47
min_changed_plus_2,2023-01-09,Optimal,Optimal,Optimal,2,0,41,43,43,118314,0,0.6918861533795055,0.69188615,0.04264914444009869,0.0963112458188844,840,47
min_changed_plus_5,2023-01-09,Optimal,Optimal,Optimal,5,0,41,46,46,118314,0,0.6918861533795055,0.69188615,0.04246660690772025,0.09534060207048714,840,47
min_changed_plus_0,2023-01-10,Optimal,Optimal,Optimal,0,0,41,41,41,118503,0,0.8735884567126725,0.87358846,0.04472303707324709,0.10448405709061592,840,47
min_changed_plus_2,2023-01-10,Optimal,Optimal,Optimal,2,0,41,43,43,118503,0,0.838852528410016,0.83885253,0.04611931947125291,0.10992793281217311,840,47
min_changed_plus_5,2023-01-10,Optimal,Optimal,Optimal,5,0,41,46,44,118503,0,0.838852528410016,0.83885253,0.045391728093794895,0.1062717261235835,840,47
min_changed_plus_0,2023-01-11,Optimal,Optimal,Optimal,0,0,41,41,41,117702,0,0.8989593188268685,0.89895932,0.04546305020945607,0.10554458464042274,840,47
min_changed_plus_2,2023-01-11,Optimal,Optimal,Optimal,2,0,41,43,43,117702,0,0.8989593188268685,0.89895932,0.04492444309074438,0.10485714849056053,840,47
min_changed_plus_5,2023-01-11,Optimal,Optimal,Optimal,5,0,41,46,46,117702,0,0.8989593188268685,0.89895932,0.04480221694347251,0.10480749590835459,840,47
min_changed_plus_0,2023-01-12,Optimal,Optimal,Optimal,0,0,41,41,41,115383,0,1.1662170639899623,1.1662171,0.04613549376361987,0.11157041946111093,839,47
min_changed_plus_2,2023-01-12,Optimal,Optimal,Optimal,2,0,41,43,43,115383,0,1.1662170639899623,1.1662171,0.04592301438937426,0.11115877786236661,839,47
min_changed_plus_5,2023-01-12,Optimal,Optimal,Optimal,5,0,41,46,44,115383,0,1.1662170639899623,1.1662171,0.046959938151129255,0.11502100588009155,839,47
