方案,date,受影响货量,未正常流转货量,正常流转率,关闭线路数,承接变化线路数,总变化线路数,承接线路负荷率标准差,承接线路负荷率变异系数
方案A 最少变化MILP,2023-01-01,461720.0,0.0,1.0,19,18,37,0.3321456569289516,0.9740086005598284
方案A 最少变化MILP,2023-01-02,372509.0,0.0,1.0,19,18,37,0.21662707498166006,0.9982938147532067
方案A 最少变化MILP,2023-01-03,433346.0,0.0,1.0,19,18,37,0.2741769287934074,0.9806225548045905
方案A 最少变化MILP,2023-01-04,321766.0,0.0,1.0,19,18,37,0.31979508645024196,1.0144004386229943
方案A 最少变化MILP,2023-01-05,398957.0,0.0,1.0,19,18,37,0.37560581029414225,1.3661848829736922
方案A 最少变化MILP,2023-01-06,318487.0,0.0,1.0,19,18,37,0.30015945676295397,1.1159868879054446
方案A 最少变化MILP,2023-01-07,482080.0,0.0,1.0,19,18,37,0.2866091312571174,1.1304145798862648
方案A 最少变化MILP,2023-01-08,507668.0,0.0,1.0,19,18,37,0.22140396094037007,1.2858514941194055
方案A 最少变化MILP,2023-01-09,376988.0,0.0,1.0,19,18,37,0.2359643750271463,1.1398830889438702
方案A 最少变化MILP,2023-01-10,458495.0,0.0,1.0,19,18,37,0.26336192697292327,0.9467982234596637
方案A 最少变化MILP,2023-01-11,352975.0,0.0,1.0,19,18,37,0.26441495580935787,1.1667176329755182
方案A 最少变化MILP,2023-01-12,437007.0,0.0,1.0,19,18,37,0.2265641878685801,1.2189451792568404
方案A 最少变化MILP,2023-01-13,644980.0,0.0,1.0,19,19,38,0.2486802509068468,1.4435020462166075
方案A 最少变化MILP,2023-01-14,587533.0,0.0,1.0,19,19,38,0.27350800563891575,1.024449491189217
方案A 最少变化MILP,2023-01-15,588431.0,0.0,1.0,19,19,38,0.2767194178829494,0.9865863045581714
方案A 最少变化MILP,2023-01-16,527623.0,12473.0,0.9763600146316593,19,19,38,0.25495163241146684,1.0327267831322213
方案A 最少变化MILP,2023-01-17,474147.0,0.0,1.0,19,18,37,0.3067417534580972,0.747620380038842
方案A 最少变化MILP,2023-01-18,557907.0,0.0,1.0,19,19,38,0.34673669297060905,1.3826721397172956
