scheme,date,change_type,edge,origin,dest,volume_before,volume_after,capacity,is_new_opened_line
min_changed_plus_2,2023-01-01,close_line,DC14->DC9,DC14,DC9,168355,0,439995,False
min_changed_plus_2,2023-01-01,close_line,DC15->DC9,DC15,DC9,35501,0,80194,False
min_changed_plus_2,2023-01-01,close_line,DC25->DC9,DC25,DC9,58430,0,126037,False
min_changed_plus_2,2023-01-01,close_line,DC26->DC9,DC26,DC9,13019,0,27912,False
min_changed_plus_2,2023-01-01,close_line,DC41->DC9,DC41,DC9,17817,0,29520,False
min_changed_plus_2,2023-01-01,close_line,DC42->DC9,DC42,DC9,31,0,15464,False
min_changed_plus_2,2023-01-01,close_line,DC43->DC9,DC43,DC9,6819,0,27588,False
min_changed_plus_2,2023-01-01,close_line,DC44->DC9,DC44,DC9,1147,0,124459,False
min_changed_plus_2,2023-01-01,close_line,DC45->DC9,DC45,DC9,6608,0,20473,False
min_changed_plus_2,2023-01-01,close_line,DC46->DC9,DC46,DC9,14167,0,37361,False
min_changed_plus_2,2023-01-01,close_line,DC47->DC9,DC47,DC9,617,0,65326,False
min_changed_plus_2,2023-01-01,close_line,DC48->DC9,DC48,DC9,789,0,62978,False
min_changed_plus_2,2023-01-01,close_line,DC50->DC9,DC50,DC9,87,0,21217,False
min_changed_plus_2,2023-01-01,close_line,DC51->DC9,DC51,DC9,36925,0,261337,False
min_changed_plus_2,2023-01-01,close_line,DC58->DC9,DC58,DC9,17227,0,37288,False
min_changed_plus_2,2023-01-01,close_line,DC7->DC9,DC7,DC9,4648,0,7759,False
min_changed_plus_2,2023-01-01,close_line,DC9->DC14,DC9,DC14,35348,0,30711,False
min_changed_plus_2,2023-01-01,close_line,DC9->DC3,DC9,DC3,27706,0,31880,False
min_changed_plus_2,2023-01-01,close_line,DC9->DC5,DC9,DC5,16479,0,21997,False
min_changed_plus_2,2023-01-01,open_line,DC15->DC17,DC15,DC17,0,35501,505833,True
min_changed_plus_2,2023-01-01,open_line,DC26->DC22,DC26,DC22,0,13019,505833,True
min_changed_plus_2,2023-01-01,open_line,DC41->DC17,DC41,DC17,0,17817,505833,True
min_changed_plus_2,2023-01-01,open_line,DC45->DC22,DC45,DC22,0,6608,505833,True
min_changed_plus_2,2023-01-01,open_line,DC48->DC55,DC48,DC55,0,789,505833,True
min_changed_plus_2,2023-01-01,open_line,DC50->DC55,DC50,DC55,0,87,505833,True
min_changed_plus_2,2023-01-01,open_line,DC58->DC17,DC58,DC17,0,17227,505833,True
min_changed_plus_2,2023-01-01,open_line,DC7->DC64,DC7,DC64,0,4648,505833,True
min_changed_plus_2,2023-01-02,close_line,DC14->DC9,DC14,DC9,96619,0,439995,False
min_changed_plus_2,2023-01-02,close_line,DC15->DC9,DC15,DC9,22903,0,80194,False
min_changed_plus_2,2023-01-02,close_line,DC25->DC9,DC25,DC9,80683,0,126037,False
min_changed_plus_2,2023-01-02,close_line,DC26->DC9,DC26,DC9,11378,0,27912,False
min_changed_plus_2,2023-01-02,close_line,DC41->DC9,DC41,DC9,35553,0,29520,False
min_changed_plus_2,2023-01-02,close_line,DC42->DC9,DC42,DC9,20,0,15464,False
min_changed_plus_2,2023-01-02,close_line,DC43->DC9,DC43,DC9,6512,0,27588,False
min_changed_plus_2,2023-01-02,close_line,DC44->DC9,DC44,DC9,462,0,124459,False
min_changed_plus_2,2023-01-02,close_line,DC45->DC9,DC45,DC9,5058,0,20473,False
min_changed_plus_2,2023-01-02,close_line,DC46->DC9,DC46,DC9,15389,0,37361,False
min_changed_plus_2,2023-01-02,close_line,DC47->DC9,DC47,DC9,2199,0,65326,False
min_changed_plus_2,2023-01-02,close_line,DC48->DC9,DC48,DC9,250,0,62978,False
min_changed_plus_2,2023-01-02,close_line,DC50->DC9,DC50,DC9,248,0,21217,False
min_changed_plus_2,2023-01-02,close_line,DC51->DC9,DC51,DC9,27863,0,261337,False
min_changed_plus_2,2023-01-02,close_line,DC58->DC9,DC58,DC9,5968,0,37288,False
min_changed_plus_2,2023-01-02,close_line,DC7->DC9,DC7,DC9,4499,0,7759,False
min_changed_plus_2,2023-01-02,close_line,DC9->DC14,DC9,DC14,29141,0,30711,False
min_changed_plus_2,2023-01-02,close_line,DC9->DC3,DC9,DC3,13775,0,31880,False
min_changed_plus_2,2023-01-02,close_line,DC9->DC5,DC9,DC5,13989,0,21997,False
min_changed_plus_2,2023-01-02,open_line,DC15->DC17,DC15,DC17,0,22903,505833,True
min_changed_plus_2,2023-01-02,open_line,DC25->DC17,DC25,DC17,0,80683,505833,True
min_changed_plus_2,2023-01-02,open_line,DC26->DC22,DC26,DC22,0,11378,505833,True
min_changed_plus_2,2023-01-02,open_line,DC41->DC17,DC41,DC17,0,35553,505833,True
min_changed_plus_2,2023-01-02,open_line,DC42->DC64,DC42,DC64,0,20,505833,True
min_changed_plus_2,2023-01-02,open_line,DC45->DC22,DC45,DC22,0,5058,505833,True
min_changed_plus_2,2023-01-02,open_line,DC58->DC17,DC58,DC17,0,5968,505833,True
min_changed_plus_2,2023-01-02,open_line,DC64->DC3,DC64,DC3,0,9683,505833,True
min_changed_plus_2,2023-01-02,open_line,DC7->DC64,DC7,DC64,0,4499,505833,True
min_changed_plus_2,2023-01-03,close_line,DC14->DC9,DC14,DC9,212788,0,439995,False
min_changed_plus_2,2023-01-03,close_line,DC15->DC9,DC15,DC9,21802,0,80194,False
min_changed_plus_2,2023-01-03,close_line,DC25->DC9,DC25,DC9,46513,0,126037,False
min_changed_plus_2,2023-01-03,close_line,DC26->DC9,DC26,DC9,14084,0,27912,False
min_changed_plus_2,2023-01-03,close_line,DC41->DC9,DC41,DC9,24173,0,29520,False
min_changed_plus_2,2023-01-03,close_line,DC42->DC9,DC42,DC9,16,0,15464,False
