scheme,date,stage1_status,stage2_status,stage3_status,changed_allowance,minimum_unserved_volume,minimum_changed_lines,allowed_changed_lines,actual_changed_lines,existing_changed_lines,new_opened_lines,closed_positive_lines,affected_volume,unserved_volume,max_line_load_rate,model_max_line_load_rate,average_line_load_rate,line_load_std,candidate_line_count,new_candidate_line_count,affected_positive_line_count
min_changed_plus_2,2023-01-01,Optimal,Optimal,Optimal,2,0,16,18,18,10,8,19,461720,0,0.8687583307700195,0.86875833,0.046189266360671,0.10893028106124952,1454,1039,19
min_changed_plus_2,2023-01-02,Optimal,Optimal,Optimal,2,0,16,18,18,9,9,19,372509,0,0.6272787017845407,0.6272787,0.045542471848385356,0.0967213729982766,1454,1039,19
min_changed_plus_2,2023-01-03,Optimal,Optimal,Optimal,2,0,16,18,18,11,7,19,433346,0,0.8267138881861877,0.82671389,0.04693634924274776,0.10299970820996307,1454,1039,19
min_changed_plus_2,2023-01-04,Optimal,Optimal,Optimal,2,0,16,18,18,11,7,19,321766,0,0.8095970470624423,0.80959705,0.046580556395168074,0.1037009262796452,1454,1039,19
min_changed_plus_2,2023-01-05,Optimal,Optimal,Optimal,2,0,16,18,18,7,11,19,398957,0,1.0548636193797485,1.0548636,0.046021999905040176,0.10842299965785161,1453,1039,19
min_changed_plus_2,2023-01-06,Optimal,Optimal,Optimal,2,0,16,18,18,9,9,19,318487,0,0.9182592242194891,0.91825922,0.04621127282120358,0.10341229154718248,1454,1039,19
min_changed_plus_2,2023-01-07,Optimal,Optimal,Optimal,2,0,16,18,18,7,11,19,482080,0,0.715988647114475,0.71598865,0.042469964111380695,0.09584579575967671,1454,1039,19
min_changed_plus_2,2023-01-08,Optimal,Optimal,Optimal,2,0,16,18,18,7,11,19,507668,0,0.6521680897371505,0.65216809,0.041186391030183386,0.0918678519436153,1454,1039,19
min_changed_plus_2,2023-01-09,Optimal,Optimal,Optimal,2,0,16,18,18,8,10,19,376988,0,0.6918861533795055,0.69188615,0.043356160696262844,0.0928430059885773,1454,1039,19
min_changed_plus_2,2023-01-10,Optimal,Optimal,Optimal,2,0,16,18,18,9,9,19,458495,0,0.6586305039343714,0.6586305,0.0454277142794719,0.09881443857672993,1454,1039,19
min_changed_plus_2,2023-01-11,Optimal,Optimal,Optimal,2,0,16,18,18,9,9,19,352975,0,0.8989593188268685,0.89895932,0.04564616118928038,0.10140118927588143,1454,1039,19
min_changed_plus_2,2023-01-12,Optimal,Optimal,Optimal,2,0,16,18,18,7,11,19,437007,0,0.6532914941914808,0.65329149,0.0432220085480182,0.09198516807269572,1454,1039,19
min_changed_plus_2,2023-01-13,Optimal,Optimal,Optimal,2,0,17,19,19,5,14,19,644980,0,1.1224329627207326,1.122433,0.0440387005497317,0.09867408797108981,1453,1039,19
min_changed_plus_2,2023-01-14,Optimal,Optimal,Optimal,2,0,17,19,19,9,10,19,587533,0,0.857441982202059,0.85744198,0.044221780719054464,0.10455301454703639,1454,1039,19
min_changed_plus_2,2023-01-15,Optimal,Optimal,Optimal,2,0,17,19,19,10,9,19,588431,0,0.9289962062954988,0.92899621,0.0430124408835031,0.10199067618257866,1454,1039,19
min_changed_plus_2,2023-01-16,Optimal,Optimal,Optimal,2,12473,17,19,19,9,10,19,527623,12473,0.8154349247874427,0.81543492,0.0446923851927728,0.09987824088364868,1454,1039,19
min_changed_plus_2,2023-01-17,Optimal,Optimal,Optimal,2,0,16,18,18,12,6,19,474147,0,0.8950460675657631,0.89504607,0.048801920180281774,0.11467373545463479,1454,1039,19
min_changed_plus_2,2023-01-18,Optimal,Optimal,Optimal,2,0,17,19,19,5,14,19,557907,0,1.155633684915453,1.1556337,0.044926050273818005,0.10989729404626718,1453,1039,19
min_changed_plus_2,2023-01-19,Optimal,Optimal,Optimal,2,0,16,18,18,9,9,19,477440,0,0.8251182175202373,0.82511822,0.04220060373953313,0.09940021917105545,1454,1039,19
min_changed_plus_2,2023-01-20,Optimal,Optimal,Optimal,2,0,16,18,18,8,10,19,448867,0,0.49163403346386614,0.49163403,0.033490902161935274,0.07598939730834203,1454,1039,19
min_changed_plus_2,2023-01-21,Optimal,Optimal,Optimal,2,0,16,18,18,3,15,19,108999,0,0.4364542541829833,0.43645425,0.016278666495919553,0.03563184754886891,1454,1039,19
min_changed_plus_2,2023-01-22,Optimal,Optimal,Optimal,2,0,16,18,18,6,12,19,237953,0,0.5293698825204699,0.52936988,0.022905215992372188,0.05546679289989472,1454,1039,19
min_changed_plus_2,2023-01-23,Optimal,Optimal,Optimal,2,0,16,18,18,10,8,19,300467,0,0.9091769157994324,0.90917692,0.025896952925190172,0.07124742631397872,1454,1039,19
min_changed_plus_2,2023-01-24,Optimal,Optimal,Optimal,2,0,16,18,18,7,11,19,414648,0,0.6206244087038789,0.62062441,0.02819571275234841,0.07011234959136346,1454,1039,19
min_changed_plus_2,2023-01-25,Optimal,Optimal,Optimal,2,0,16,18,18,12,6,19,446615,0,0.8482497634815516,0.84824976,0.035406262169681096,0.09644709128083685,1454,1039,19
