scheme,date,original_edge,demand_type,alternative_origin,alternative_dest,alternative_edge,is_new_opened_line,allocated_volume,unserved_volume
new_first_min_changed_plus_2,2023-01-01,DC14->DC9,inbound_to_closed_site,DC14,DC73,DC14->DC73,True,168355,0
new_first_min_changed_plus_2,2023-01-01,DC15->DC9,inbound_to_closed_site,DC15,DC17,DC15->DC17,True,35501,0
new_first_min_changed_plus_2,2023-01-01,DC25->DC9,inbound_to_closed_site,DC25,DC17,DC25->DC17,True,58430,0
new_first_min_changed_plus_2,2023-01-01,DC26->DC9,inbound_to_closed_site,DC26,DC22,DC26->DC22,True,13019,0
new_first_min_changed_plus_2,2023-01-01,DC41->DC9,inbound_to_closed_site,DC41,DC17,DC41->DC17,True,17817,0
new_first_min_changed_plus_2,2023-01-01,DC42->DC9,inbound_to_closed_site,DC42,DC7,DC42->DC7,True,31,0
new_first_min_changed_plus_2,2023-01-01,DC43->DC9,inbound_to_closed_site,DC43,DC17,DC43->DC17,True,6819,0
new_first_min_changed_plus_2,2023-01-01,DC44->DC9,inbound_to_closed_site,DC44,DC7,DC44->DC7,True,1147,0
new_first_min_changed_plus_2,2023-01-01,DC45->DC9,inbound_to_closed_site,DC45,DC22,DC45->DC22,True,6608,0
new_first_min_changed_plus_2,2023-01-01,DC46->DC9,inbound_to_closed_site,DC46,DC17,DC46->DC17,True,14167,0
new_first_min_changed_plus_2,2023-01-01,DC47->DC9,inbound_to_closed_site,DC47,DC38,DC47->DC38,True,617,0
new_first_min_changed_plus_2,2023-01-01,DC48->DC9,inbound_to_closed_site,DC48,DC7,DC48->DC7,True,789,0
new_first_min_changed_plus_2,2023-01-01,DC50->DC9,inbound_to_closed_site,DC50,DC43,DC50->DC43,True,87,0
new_first_min_changed_plus_2,2023-01-01,DC51->DC9,inbound_to_closed_site,DC51,DC22,DC51->DC22,True,36925,0
new_first_min_changed_plus_2,2023-01-01,DC58->DC9,inbound_to_closed_site,DC58,DC17,DC58->DC17,True,17227,0
new_first_min_changed_plus_2,2023-01-01,DC7->DC9,inbound_to_closed_site,DC7,DC64,DC7->DC64,True,4648,0
new_first_min_changed_plus_2,2023-01-01,DC9->DC14,outbound_from_closed_site,DC17,DC14,DC17->DC14,False,17313,0
new_first_min_changed_plus_2,2023-01-01,DC9->DC14,outbound_from_closed_site,DC81,DC14,DC81->DC14,True,18035,0
new_first_min_changed_plus_2,2023-01-01,DC9->DC3,outbound_from_closed_site,DC64,DC3,DC64->DC3,True,27706,0
new_first_min_changed_plus_2,2023-01-01,DC9->DC5,outbound_from_closed_site,DC18,DC5,DC18->DC5,True,16479,0
new_first_min_changed_plus_2,2023-01-02,DC14->DC9,inbound_to_closed_site,DC14,DC48,DC14->DC48,True,70755,0
new_first_min_changed_plus_2,2023-01-02,DC14->DC9,inbound_to_closed_site,DC14,DC59,DC14->DC59,True,25864,0
new_first_min_changed_plus_2,2023-01-02,DC15->DC9,inbound_to_closed_site,DC15,DC17,DC15->DC17,True,22903,0
new_first_min_changed_plus_2,2023-01-02,DC25->DC9,inbound_to_closed_site,DC25,DC17,DC25->DC17,True,80683,0
new_first_min_changed_plus_2,2023-01-02,DC26->DC9,inbound_to_closed_site,DC26,DC22,DC26->DC22,True,11378,0
new_first_min_changed_plus_2,2023-01-02,DC41->DC9,inbound_to_closed_site,DC41,DC17,DC41->DC17,True,35553,0
new_first_min_changed_plus_2,2023-01-02,DC42->DC9,inbound_to_closed_site,DC42,DC36,DC42->DC36,True,20,0
new_first_min_changed_plus_2,2023-01-02,DC43->DC9,inbound_to_closed_site,DC43,DC17,DC43->DC17,True,6512,0
new_first_min_changed_plus_2,2023-01-02,DC44->DC9,inbound_to_closed_site,DC44,DC6,DC44->DC6,True,462,0
new_first_min_changed_plus_2,2023-01-02,DC45->DC9,inbound_to_closed_site,DC45,DC22,DC45->DC22,True,5058,0
new_first_min_changed_plus_2,2023-01-02,DC46->DC9,inbound_to_closed_site,DC46,DC17,DC46->DC17,True,15389,0
new_first_min_changed_plus_2,2023-01-02,DC47->DC9,inbound_to_closed_site,DC47,DC22,DC47->DC22,True,2199,0
new_first_min_changed_plus_2,2023-01-02,DC48->DC9,inbound_to_closed_site,DC48,DC22,DC48->DC22,True,250,0
new_first_min_changed_plus_2,2023-01-02,DC50->DC9,inbound_to_closed_site,DC50,DC17,DC50->DC17,True,248,0
new_first_min_changed_plus_2,2023-01-02,DC51->DC9,inbound_to_closed_site,DC51,DC22,DC51->DC22,True,27863,0
new_first_min_changed_plus_2,2023-01-02,DC58->DC9,inbound_to_closed_site,DC58,DC17,DC58->DC17,True,5968,0
new_first_min_changed_plus_2,2023-01-02,DC7->DC9,inbound_to_closed_site,DC7,DC64,DC7->DC64,True,4499,0
new_first_min_changed_plus_2,2023-01-02,DC9->DC14,outbound_from_closed_site,DC47,DC14,DC47->DC14,False,29141,0
new_first_min_changed_plus_2,2023-01-02,DC9->DC3,outbound_from_closed_site,DC64,DC3,DC64->DC3,True,13775,0
new_first_min_changed_plus_2,2023-01-02,DC9->DC5,outbound_from_closed_site,DC18,DC5,DC18->DC5,True,13989,0
new_first_min_changed_plus_2,2023-01-03,DC14->DC9,inbound_to_closed_site,DC14,DC46,DC14->DC46,True,68203,0
new_first_min_changed_plus_2,2023-01-03,DC14->DC9,inbound_to_closed_site,DC14,DC73,DC14->DC73,True,144585,0
new_first_min_changed_plus_2,2023-01-03,DC15->DC9,inbound_to_closed_site,DC15,DC48,DC15->DC48,True,21802,0
new_first_min_changed_plus_2,2023-01-03,DC25->DC9,inbound_to_closed_site,DC25,DC48,DC25->DC48,True,46513,0
new_first_min_changed_plus_2,2023-01-03,DC26->DC9,inbound_to_closed_site,DC26,DC73,DC26->DC73,True,14084,0
new_first_min_changed_plus_2,2023-01-03,DC41->DC9,inbound_to_closed_site,DC41,DC73,DC41->DC73,True,24173,0
new_first_min_changed_plus_2,2023-01-03,DC42->DC9,inbound_to_closed_site,DC42,DC19,DC42->DC19,True,16,0
new_first_min_changed_plus_2,2023-01-03,DC43->DC9,inbound_to_closed_site,DC43,DC59,DC43->DC59,True,7014,0
new_first_min_changed_plus_2,2023-01-03,DC44->DC9,inbound_to_closed_site,DC44,DC14,DC44->DC14,False,2654,0
new_first_min_changed_plus_2,2023-01-03,DC45->DC9,inbound_to_closed_site,DC45,DC59,DC45->DC59,True,5870,0
new_first_min_changed_plus_2,2023-01-03,DC46->DC9,inbound_to_closed_site,DC46,DC73,DC46->DC73,True,16523,0
new_first_min_changed_plus_2,2023-01-03,DC47->DC9,inbound_to_closed_site,DC47,DC59,DC47->DC59,True,4983,0
new_first_min_changed_plus_2,2023-01-03,DC48->DC9,inbound_to_closed_site,DC48,DC81,DC48->DC81,True,72,0
new_first_min_changed_plus_2,2023-01-03,DC50->DC9,inbound_to_closed_site,DC50,DC81,DC50->DC81,True,19,0
new_first_min_changed_plus_2,2023-01-03,DC51->DC9,inbound_to_closed_site,DC51,DC73,DC51->DC73,True,13613,0
new_first_min_changed_plus_2,2023-01-03,DC58->DC9,inbound_to_closed_site,DC58,DC49,DC58->DC49,True,593,0
new_first_min_changed_plus_2,2023-01-03,DC7->DC9,inbound_to_closed_site,DC7,DC59,DC7->DC59,True,2557,0
new_first_min_changed_plus_2,2023-01-03,DC9->DC14,outbound_from_closed_site,DC44,DC14,DC44->DC14,False,13952,0
new_first_min_changed_plus_2,2023-01-03,DC9->DC14,outbound_from_closed_site,DC81,DC14,DC81->DC14,True,17944,0
new_first_min_changed_plus_2,2023-01-03,DC9->DC3,outbound_from_closed_site,DC64,DC3,DC64->DC3,True,14586,0
new_first_min_changed_plus_2,2023-01-03,DC9->DC5,outbound_from_closed_site,DC18,DC5,DC18->DC5,True,13590,0
new_first_min_changed_plus_2,2023-01-04,DC14->DC9,inbound_to_closed_site,DC14,DC73,DC14->DC73,True,107453,0
new_first_min_changed_plus_2,2023-01-04,DC15->DC9,inbound_to_closed_site,DC15,DC17,DC15->DC17,True,10895,0
new_first_min_changed_plus_2,2023-01-04,DC25->DC9,inbound_to_closed_site,DC25,DC17,DC25->DC17,True,4525,0
new_first_min_changed_plus_2,2023-01-04,DC25->DC9,inbound_to_closed_site,DC25,DC59,DC25->DC59,True,786,0
new_first_min_changed_plus_2,2023-01-04,DC26->DC9,inbound_to_closed_site,DC26,DC19,DC26->DC19,True,15219,0
new_first_min_changed_plus_2,2023-01-04,DC41->DC9,inbound_to_closed_site,DC41,DC17,DC41->DC17,True,5551,0
new_first_min_changed_plus_2,2023-01-04,DC42->DC9,inbound_to_closed_site,DC42,DC19,DC42->DC19,True,4002,0
new_first_min_changed_plus_2,2023-01-04,DC43->DC9,inbound_to_closed_site,DC43,DC17,DC43->DC17,True,8318,0
