scheme,date,change_type,edge,origin,dest,volume_before,volume_after,capacity,is_new_opened_line
new_first_min_changed_plus_2,2023-01-01,close_line,DC14->DC9,DC14,DC9,168355,0,439995,False
new_first_min_changed_plus_2,2023-01-01,close_line,DC15->DC9,DC15,DC9,35501,0,80194,False
new_first_min_changed_plus_2,2023-01-01,close_line,DC25->DC9,DC25,DC9,58430,0,126037,False
new_first_min_changed_plus_2,2023-01-01,close_line,DC26->DC9,DC26,DC9,13019,0,27912,False
new_first_min_changed_plus_2,2023-01-01,close_line,DC41->DC9,DC41,DC9,17817,0,29520,False
new_first_min_changed_plus_2,2023-01-01,close_line,DC42->DC9,DC42,DC9,31,0,15464,False
new_first_min_changed_plus_2,2023-01-01,close_line,DC43->DC9,DC43,DC9,6819,0,27588,False
new_first_min_changed_plus_2,2023-01-01,close_line,DC44->DC9,DC44,DC9,1147,0,124459,False
new_first_min_changed_plus_2,2023-01-01,close_line,DC45->DC9,DC45,DC9,6608,0,20473,False
new_first_min_changed_plus_2,2023-01-01,close_line,DC46->DC9,DC46,DC9,14167,0,37361,False
new_first_min_changed_plus_2,2023-01-01,close_line,DC47->DC9,DC47,DC9,617,0,65326,False
new_first_min_changed_plus_2,2023-01-01,close_line,DC48->DC9,DC48,DC9,789,0,62978,False
new_first_min_changed_plus_2,2023-01-01,close_line,DC50->DC9,DC50,DC9,87,0,21217,False
new_first_min_changed_plus_2,2023-01-01,close_line,DC51->DC9,DC51,DC9,36925,0,261337,False
new_first_min_changed_plus_2,2023-01-01,close_line,DC58->DC9,DC58,DC9,17227,0,37288,False
new_first_min_changed_plus_2,2023-01-01,close_line,DC7->DC9,DC7,DC9,4648,0,7759,False
new_first_min_changed_plus_2,2023-01-01,close_line,DC9->DC14,DC9,DC14,35348,0,30711,False
new_first_min_changed_plus_2,2023-01-01,close_line,DC9->DC3,DC9,DC3,27706,0,31880,False
new_first_min_changed_plus_2,2023-01-01,close_line,DC9->DC5,DC9,DC5,16479,0,21997,False
new_first_min_changed_plus_2,2023-01-01,open_line,DC14->DC73,DC14,DC73,0,168355,505833,True
new_first_min_changed_plus_2,2023-01-01,open_line,DC15->DC17,DC15,DC17,0,35501,505833,True
new_first_min_changed_plus_2,2023-01-01,open_line,DC18->DC5,DC18,DC5,0,16479,505833,True
new_first_min_changed_plus_2,2023-01-01,open_line,DC25->DC17,DC25,DC17,0,58430,505833,True
new_first_min_changed_plus_2,2023-01-01,open_line,DC26->DC22,DC26,DC22,0,13019,505833,True
new_first_min_changed_plus_2,2023-01-01,open_line,DC41->DC17,DC41,DC17,0,17817,505833,True
new_first_min_changed_plus_2,2023-01-01,open_line,DC42->DC7,DC42,DC7,0,31,505833,True
new_first_min_changed_plus_2,2023-01-01,open_line,DC43->DC17,DC43,DC17,0,6819,505833,True
new_first_min_changed_plus_2,2023-01-01,open_line,DC44->DC7,DC44,DC7,0,1147,505833,True
new_first_min_changed_plus_2,2023-01-01,open_line,DC45->DC22,DC45,DC22,0,6608,505833,True
new_first_min_changed_plus_2,2023-01-01,open_line,DC46->DC17,DC46,DC17,0,14167,505833,True
new_first_min_changed_plus_2,2023-01-01,open_line,DC47->DC38,DC47,DC38,0,617,505833,True
