scheme,date,origin,dest,edge,line_status_after_shutdown,volume_before_shutdown,volume_after_shutdown,edge_capacity,line_load_rate,is_new_opened_line
new_first_min_changed_plus_2,2023-01-01,DC1,DC8,DC1->DC8,active_existing,0,0,3,0.0,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC12,DC10->DC12,active_existing,0,0,993,0.0,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC13,DC10->DC13,active_existing,0,0,6,0.0,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC14,DC10->DC14,active_existing,9903,9903,31846,0.3109652703636249,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC17,DC10->DC17,active_existing,0,0,5,0.0,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC19,DC10->DC19,active_existing,0,0,14,0.0,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC20,DC10->DC20,active_existing,0,0,11,0.0,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC21,DC10->DC21,active_existing,0,0,29,0.0,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC22,DC10->DC22,active_existing,0,0,27,0.0,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC23,DC10->DC23,active_existing,0,0,991,0.0,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC25,DC10->DC25,active_existing,0,0,4,0.0,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC27,DC10->DC27,active_existing,0,0,6,0.0,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC28,DC10->DC28,active_existing,0,0,8,0.0,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC3,DC10->DC3,active_existing,7689,7689,27671,0.2778721405081132,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC30,DC10->DC30,active_existing,0,0,50,0.0,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC32,DC10->DC32,active_existing,0,0,206,0.0,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC33,DC10->DC33,active_existing,0,0,118,0.0,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC34,DC10->DC34,active_existing,0,0,200,0.0,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC35,DC10->DC35,active_existing,294,294,1914,0.1536050156739812,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC36,DC10->DC36,active_existing,0,0,55,0.0,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC38,DC10->DC38,active_existing,0,0,15,0.0,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC4,DC10->DC4,active_existing,43202,43202,129442,0.3337556589051467,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC40,DC10->DC40,active_existing,0,0,969,0.0,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC47,DC10->DC47,active_existing,0,0,2,0.0,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC5,DC10->DC5,active_existing,6668,6668,32524,0.20501783298487272,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC51,DC10->DC51,active_existing,0,0,1,0.0,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC59,DC10->DC59,active_existing,0,0,32,0.0,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC60,DC10->DC60,active_existing,0,0,59,0.0,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC61,DC10->DC61,active_existing,0,0,3,0.0,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC62,DC10->DC62,active_existing,11656,11656,32318,0.36066588278977657,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC64,DC10->DC64,active_existing,0,0,12,0.0,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC65,DC10->DC65,active_existing,0,0,19,0.0,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC67,DC10->DC67,active_existing,0,0,20,0.0,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC70,DC10->DC70,active_existing,429,429,3842,0.1116605934409162,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC73,DC10->DC73,active_existing,0,0,4,0.0,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC76,DC10->DC76,active_existing,0,0,8,0.0,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC78,DC10->DC78,active_existing,0,0,5,0.0,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC8,DC10->DC8,active_existing,1048,1048,57645,0.018180241131060804,False
new_first_min_changed_plus_2,2023-01-01,DC10,DC80,DC10->DC80,active_existing,0,0,1,0.0,False
new_first_min_changed_plus_2,2023-01-01,DC11,DC10,DC11->DC10,active_existing,0,0,9190,0.0,False
new_first_min_changed_plus_2,2023-01-01,DC11,DC14,DC11->DC14,active_existing,0,0,2947,0.0,False
