scheme,date,original_edge,demand_type,alternative_origin,alternative_dest,alternative_edge,is_new_opened_line,allocated_volume,unserved_volume
flow_heuristic_balanced,2023-01-01,DC14->DC9,inbound_to_closed_site,DC14,DC47,DC14->DC47,True,148230.0,0.0
flow_heuristic_balanced,2023-01-01,DC14->DC9,inbound_to_closed_site,DC14,DC53,DC14->DC53,True,20125.0,0.0
flow_heuristic_balanced,2023-01-01,DC15->DC9,inbound_to_closed_site,DC15,DC62,DC15->DC62,False,18905.567142486572,0.0
flow_heuristic_balanced,2023-01-01,DC15->DC9,inbound_to_closed_site,DC15,DC65,DC15->DC65,False,15.685720443725586,0.0
flow_heuristic_balanced,2023-01-01,DC15->DC9,inbound_to_closed_site,DC15,DC70,DC15->DC70,False,246.48950004577637,0.0
flow_heuristic_balanced,2023-01-01,DC15->DC9,inbound_to_closed_site,DC15,DC8,DC15->DC8,False,16333.257637023926,0.0
flow_heuristic_balanced,2023-01-01,DC25->DC9,inbound_to_closed_site,DC25,DC15,DC25->DC15,True,30096.0,0.0
flow_heuristic_balanced,2023-01-01,DC25->DC9,inbound_to_closed_site,DC25,DC16,DC25->DC16,True,27560.755310058594,0.0
flow_heuristic_balanced,2023-01-01,DC25->DC9,inbound_to_closed_site,DC25,DC5,DC25->DC5,False,773.2446899414062,0.0
flow_heuristic_balanced,2023-01-01,DC26->DC9,inbound_to_closed_site,DC26,DC23,DC26->DC23,True,13019.0,0.0
flow_heuristic_balanced,2023-01-01,DC41->DC9,inbound_to_closed_site,DC41,DC73,DC41->DC73,True,17817.0,0.0
flow_heuristic_balanced,2023-01-01,DC42->DC9,inbound_to_closed_site,DC42,DC74,DC42->DC74,True,31.0,0.0
flow_heuristic_balanced,2023-01-01,DC43->DC9,inbound_to_closed_site,DC43,DC60,DC43->DC60,True,6819.0,0.0
flow_heuristic_balanced,2023-01-01,DC44->DC9,inbound_to_closed_site,DC44,DC41,DC44->DC41,True,1147.0,0.0
flow_heuristic_balanced,2023-01-01,DC45->DC9,inbound_to_closed_site,DC45,DC20,DC45->DC20,True,6608.0,0.0
flow_heuristic_balanced,2023-01-01,DC46->DC9,inbound_to_closed_site,DC46,DC25,DC46->DC25,True,11154.0,0.0
flow_heuristic_balanced,2023-01-01,DC46->DC9,inbound_to_closed_site,DC46,DC55,DC46->DC55,True,3013.0,0.0
flow_heuristic_balanced,2023-01-01,DC47->DC9,inbound_to_closed_site,DC47,DC15,DC47->DC15,True,617.0,0.0
flow_heuristic_balanced,2023-01-01,DC48->DC9,inbound_to_closed_site,DC48,DC7,DC48->DC7,True,789.0,0.0
flow_heuristic_balanced,2023-01-01,DC50->DC9,inbound_to_closed_site,DC50,DC26,DC50->DC26,True,87.0,0.0
flow_heuristic_balanced,2023-01-01,DC51->DC9,inbound_to_closed_site,DC51,DC30,DC51->DC30,True,36925.0,0.0
flow_heuristic_balanced,2023-01-01,DC58->DC9,inbound_to_closed_site,DC58,DC25,DC58->DC25,True,17227.0,0.0
flow_heuristic_balanced,2023-01-01,DC7->DC9,inbound_to_closed_site,DC7,DC25,DC7->DC25,True,4648.0,0.0
flow_heuristic_balanced,2023-01-01,DC9->DC14,outbound_from_closed_site,DC11,DC14,DC11->DC14,False,1491.155424118042,0.0
flow_heuristic_balanced,2023-01-01,DC9->DC14,outbound_from_closed_site,DC16,DC14,DC16->DC14,False,3955.2446899414062,0.0
flow_heuristic_balanced,2023-01-01,DC9->DC14,outbound_from_closed_site,DC21,DC14,DC21->DC14,False,16227.130794525146,0.0
flow_heuristic_balanced,2023-01-01,DC9->DC14,outbound_from_closed_site,DC28,DC14,DC28->DC14,False,4254.320045471191,0.0
flow_heuristic_balanced,2023-01-01,DC9->DC14,outbound_from_closed_site,DC59,DC14,DC59->DC14,False,1347.3408660888672,0.0
flow_heuristic_balanced,2023-01-01,DC9->DC14,outbound_from_closed_site,DC63,DC14,DC63->DC14,False,2.0239639282226562,0.0
flow_heuristic_balanced,2023-01-01,DC9->DC14,outbound_from_closed_site,DC73,DC14,DC73->DC14,False,8062.784215927124,0.0
flow_heuristic_balanced,2023-01-01,DC9->DC14,outbound_from_closed_site,DC78,DC14,DC78->DC14,True,6.0,0.0
flow_heuristic_balanced,2023-01-01,DC9->DC14,outbound_from_closed_site,DC79,DC14,DC79->DC14,True,2.0,0.0
flow_heuristic_balanced,2023-01-01,DC9->DC3,outbound_from_closed_site,DC65,DC3,DC65->DC3,True,27706.0,0.0
flow_heuristic_balanced,2023-01-01,DC9->DC5,outbound_from_closed_site,DC8,DC5,DC8->DC5,False,16479.0,0.0
flow_heuristic_balanced,2023-01-02,DC14->DC9,inbound_to_closed_site,DC14,DC73,DC14->DC73,True,96619.0,0.0
flow_heuristic_balanced,2023-01-02,DC15->DC9,inbound_to_closed_site,DC15,DC51,DC15->DC51,True,22903.0,0.0
flow_heuristic_balanced,2023-01-02,DC25->DC9,inbound_to_closed_site,DC25,DC48,DC25->DC48,True,73614.0,0.0
flow_heuristic_balanced,2023-01-02,DC25->DC9,inbound_to_closed_site,DC25,DC66,DC25->DC66,True,587.0,0.0
flow_heuristic_balanced,2023-01-02,DC25->DC9,inbound_to_closed_site,DC25,DC7,DC25->DC7,True,6482.0,0.0
flow_heuristic_balanced,2023-01-02,DC26->DC9,inbound_to_closed_site,DC26,DC15,DC26->DC15,True,11378.0,0.0
flow_heuristic_balanced,2023-01-02,DC41->DC9,inbound_to_closed_site,DC41,DC43,DC41->DC43,True,35553.0,0.0
flow_heuristic_balanced,2023-01-02,DC42->DC9,inbound_to_closed_site,DC42,DC50,DC42->DC50,True,20.0,0.0
flow_heuristic_balanced,2023-01-02,DC43->DC9,inbound_to_closed_site,DC43,DC42,DC43->DC42,True,6512.0,0.0
flow_heuristic_balanced,2023-01-02,DC44->DC9,inbound_to_closed_site,DC44,DC8,DC44->DC8,False,462.0,0.0
flow_heuristic_balanced,2023-01-02,DC45->DC9,inbound_to_closed_site,DC45,DC58,DC45->DC58,True,5058.0,0.0
flow_heuristic_balanced,2023-01-02,DC46->DC9,inbound_to_closed_site,DC46,DC18,DC46->DC18,True,15389.0,0.0
flow_heuristic_balanced,2023-01-02,DC47->DC9,inbound_to_closed_site,DC47,DC58,DC47->DC58,True,2199.0,0.0
flow_heuristic_balanced,2023-01-02,DC48->DC9,inbound_to_closed_site,DC48,DC42,DC48->DC42,True,250.0,0.0
flow_heuristic_balanced,2023-01-02,DC50->DC9,inbound_to_closed_site,DC50,DC58,DC50->DC58,True,248.0,0.0
flow_heuristic_balanced,2023-01-02,DC51->DC9,inbound_to_closed_site,DC51,DC58,DC51->DC58,True,27863.0,0.0
flow_heuristic_balanced,2023-01-02,DC58->DC9,inbound_to_closed_site,DC58,DC42,DC58->DC42,True,5968.0,0.0
flow_heuristic_balanced,2023-01-02,DC7->DC9,inbound_to_closed_site,DC7,DC11,DC7->DC11,True,2727.779776573181,0.0
flow_heuristic_balanced,2023-01-02,DC7->DC9,inbound_to_closed_site,DC7,DC6,DC7->DC6,True,1771.2202234268188,0.0
flow_heuristic_balanced,2023-01-02,DC9->DC14,outbound_from_closed_site,DC16,DC14,DC16->DC14,False,3659.3358087539673,0.0
flow_heuristic_balanced,2023-01-02,DC9->DC14,outbound_from_closed_site,DC2,DC14,DC2->DC14,False,15.916261672973633,0.0
flow_heuristic_balanced,2023-01-02,DC9->DC14,outbound_from_closed_site,DC23,DC14,DC23->DC14,False,5524.445620536804,0.0
flow_heuristic_balanced,2023-01-02,DC9->DC14,outbound_from_closed_site,DC24,DC14,DC24->DC14,False,2.3406267166137695,0.0
