scheme,date,affected_volume,served_volume,unserved_volume,normal_flow_rate,closed_lines,receiver_changed_lines,total_changed_lines_including_closed,average_line_load_rate_after_shutdown,max_line_load_rate_after_shutdown
min_changed_milp,2023-01-01,461720.0,461720.0,0.0,1.0,19,18,37,0.046189266360671,0.8687583307700195
min_changed_milp,2023-01-02,372509.0,372509.0,0.0,1.0,19,18,37,0.0455424718483853,0.6272787017845407
min_changed_milp,2023-01-03,433346.0,433346.0,0.0,1.0,19,18,37,0.0469363492427477,0.8267138881861877
min_changed_milp,2023-01-04,321766.0,321766.0,0.0,1.0,19,18,37,0.046580556395168,0.8095970470624423
min_changed_milp,2023-01-05,398957.0,398957.0,0.0,1.0,19,18,37,0.0460219999050401,1.0548636193797485
min_changed_milp,2023-01-06,318487.0,318487.0,0.0,1.0,19,18,37,0.0462112728212035,0.9182592242194892
min_changed_milp,2023-01-07,482080.0,482080.0,0.0,1.0,19,18,37,0.0424699641113806,0.715988647114475
min_changed_milp,2023-01-08,507668.0,507668.0,0.0,1.0,19,18,37,0.0411863910301833,0.6521680897371505
min_changed_milp,2023-01-09,376988.0,376988.0,0.0,1.0,19,18,37,0.0433561606962628,0.6918861533795055
min_changed_milp,2023-01-10,458495.0,458495.0,0.0,1.0,19,18,37,0.0454277142794719,0.6586305039343714
min_changed_milp,2023-01-11,352975.0,352975.0,0.0,1.0,19,18,37,0.0456461611892803,0.8989593188268685
min_changed_milp,2023-01-12,437007.0,437007.0,0.0,1.0,19,18,37,0.0432220085480182,0.6532914941914808
min_changed_milp,2023-01-13,644980.0,644980.0,0.0,1.0,19,19,38,0.0440387005497317,1.1224329627207326
min_changed_milp,2023-01-14,587533.0,587533.0,0.0,1.0,19,19,38,0.0442217807190544,0.857441982202059
min_changed_milp,2023-01-15,588431.0,588431.0,0.0,1.0,19,19,38,0.0430124408835031,0.9289962062954988
min_changed_milp,2023-01-16,527623.0,515150.0,12473.0,0.9763600146316593,19,19,38,0.0446923851927728,0.8154349247874427
min_changed_milp,2023-01-17,474147.0,474147.0,0.0,1.0,19,18,37,0.0488019201802817,0.8950460675657631
min_changed_milp,2023-01-18,557907.0,557907.0,0.0,1.0,19,19,38,0.044926050273818,1.155633684915453
min_changed_milp,2023-01-19,477440.0,477440.0,0.0,1.0,19,18,37,0.0422006037395331,0.8251182175202373
min_changed_milp,2023-01-20,448867.0,448867.0,0.0,1.0,19,18,37,0.0334909021619352,0.4916340334638661
min_changed_milp,2023-01-21,108999.0,108999.0,0.0,1.0,19,18,37,0.0162786664959195,0.4364542541829833
min_changed_milp,2023-01-22,237953.0,237953.0,0.0,1.0,19,18,37,0.0229052159923721,0.5293698825204699
min_changed_milp,2023-01-23,300467.0,300467.0,0.0,1.0,19,18,37,0.0258969529251901,0.9091769157994324
min_changed_milp,2023-01-24,414648.0,414648.0,0.0,1.0,19,18,37,0.0281957127523484,0.6206244087038789
min_changed_milp,2023-01-25,446615.0,446615.0,0.0,1.0,19,18,37,0.035406262169681,0.8482497634815516
min_changed_milp,2023-01-26,526791.0,526791.0,0.0,1.0,19,18,37,0.031619165651222,0.5457512389701439
min_changed_milp,2023-01-27,462948.0,462948.0,0.0,1.0,19,18,37,0.0334019380031657,0.584755262174617
min_changed_milp,2023-01-28,405346.0,405346.0,0.0,1.0,19,18,37,0.0326546610578561,0.8553481067876462
min_changed_milp,2023-01-29,538754.0,538754.0,0.0,1.0,19,18,37,0.0327136377455714,0.5446823291650877
min_changed_milp,2023-01-30,512096.0,512096.0,0.0,1.0,19,18,37,0.0335434541118303,0.5838376646493414
min_changed_milp,2023-01-31,517423.0,517423.0,0.0,1.0,19,18,37,0.0346064256688097,0.5973656105375579
new_first_milp,2023-01-01,461720.0,461720.0,0.0,1.0,19,20,39,0.0421897758972633,0.8687583307700195
new_first_milp,2023-01-02,372509.0,372509.0,0.0,1.0,19,20,39,0.0430081749817178,0.6272787017845407
new_first_milp,2023-01-03,433346.0,433346.0,0.0,1.0,19,20,39,0.0437875058216564,0.8267138881861877
new_first_milp,2023-01-04,321766.0,321766.0,0.0,1.0,19,20,39,0.0421513867223317,0.8095970470624423
new_first_milp,2023-01-05,398957.0,398957.0,0.0,1.0,19,21,40,0.0422755117647611,1.0548636193797485
new_first_milp,2023-01-06,318487.0,318487.0,0.0,1.0,19,21,40,0.0422487122853272,0.9182592242194892
new_first_milp,2023-01-07,482080.0,482080.0,0.0,1.0,19,21,40,0.0394634112318472,0.715988647114475
new_first_milp,2023-01-08,507668.0,507668.0,0.0,1.0,19,21,40,0.0393669007898576,0.6521680897371505
new_first_milp,2023-01-09,376988.0,376988.0,0.0,1.0,19,20,39,0.0407454591824987,0.6918861533795055
new_first_milp,2023-01-10,458495.0,458495.0,0.0,1.0,19,20,39,0.0422370878515685,0.6586305039343714
new_first_milp,2023-01-11,352975.0,352975.0,0.0,1.0,19,21,40,0.0422693119610786,0.8989593188268685
new_first_milp,2023-01-12,437007.0,437007.0,0.0,1.0,19,21,40,0.0409062489662671,0.6532914941914808
new_first_milp,2023-01-13,644980.0,644980.0,0.0,1.0,19,22,41,0.0429001567931559,1.1224329627207326
new_first_milp,2023-01-14,587533.0,587533.0,0.0,1.0,19,21,40,0.0409960959815222,0.857441982202059
new_first_milp,2023-01-15,588431.0,588431.0,0.0,1.0,19,21,40,0.0396809638299532,0.9289962062954988
new_first_milp,2023-01-16,527623.0,515150.0,12473.0,0.9763600146316593,19,21,40,0.0413004776618124,0.8154349247874427
new_first_milp,2023-01-17,474147.0,474147.0,0.0,1.0,19,20,39,0.0429464096930796,0.8950460675657631
new_first_milp,2023-01-18,557907.0,557907.0,0.0,1.0,19,21,40,0.0416466198616416,1.155633684915453
new_first_milp,2023-01-19,477440.0,477440.0,0.0,1.0,19,21,40,0.038560940699171,0.8251144538914323
new_first_milp,2023-01-20,448867.0,448867.0,0.0,1.0,19,21,40,0.0305552992264696,0.4916340334638661
new_first_milp,2023-01-21,108999.0,108999.0,0.0,1.0,19,21,40,0.0158467471070197,0.4364542541829833
new_first_milp,2023-01-22,237953.0,237953.0,0.0,1.0,19,19,38,0.0212184058439012,0.5293698825204699
new_first_milp,2023-01-23,300467.0,300467.0,0.0,1.0,19,21,40,0.0227686784596554,0.9091769157994324
new_first_milp,2023-01-24,414648.0,414648.0,0.0,1.0,19,21,40,0.0258390519012785,0.6206244087038789
new_first_milp,2023-01-25,446615.0,446615.0,0.0,1.0,19,21,40,0.0292056369763221,0.8482497634815516
new_first_milp,2023-01-26,526791.0,526791.0,0.0,1.0,19,21,40,0.0291453155593819,0.545745817016732
new_first_milp,2023-01-27,462948.0,462948.0,0.0,1.0,19,21,40,0.0304397973790949,0.584755262174617
new_first_milp,2023-01-28,405346.0,405346.0,0.0,1.0,19,21,40,0.030158203222803,0.8553481067876462
new_first_milp,2023-01-29,538754.0,538754.0,0.0,1.0,19,21,40,0.0304060758694888,0.5446778212887149
new_first_milp,2023-01-30,512096.0,512096.0,0.0,1.0,19,20,39,0.0318495107309661,0.5838376646493414
new_first_milp,2023-01-31,517423.0,517423.0,0.0,1.0,19,21,40,0.0324884778249536,0.5973656105375579
flow_heuristic_balanced,2023-01-01,461720.0,461720.0,0.0,1.0,19,34,53,0.0464993140534039,0.8687583307700195
flow_heuristic_balanced,2023-01-02,372509.0,372509.0,0.0,1.0,19,35,54,0.0477995496746921,0.6272787017845407
flow_heuristic_balanced,2023-01-03,433346.0,433346.0,0.0,1.0,19,30,49,0.0488166297462585,0.8267138881861877
flow_heuristic_balanced,2023-01-04,321766.0,321766.0,0.0,1.0,19,32,51,0.0450306381364341,0.8095970470624423
flow_heuristic_balanced,2023-01-05,398957.0,398957.0,0.0,1.0,19,17,36,0.047539637873639,1.0548636193797485
flow_heuristic_balanced,2023-01-06,318487.0,318487.0,0.0,1.0,19,22,41,0.0430522385031755,0.9182592242194892
flow_heuristic_balanced,2023-01-07,482080.0,482080.0,0.0,1.0,19,25,44,0.042154273433028,0.715988647114475
flow_heuristic_balanced,2023-01-08,507668.0,507668.0,0.0,1.0,19,32,51,0.0394933162224985,0.6521680897371505
flow_heuristic_balanced,2023-01-09,376988.0,376988.0,0.0,1.0,19,30,49,0.044050397800544,0.6918861533795055
flow_heuristic_balanced,2023-01-10,458495.0,458495.0,0.0,1.0,19,18,37,0.0465524643320291,0.6586305039343714
flow_heuristic_balanced,2023-01-11,352975.0,352975.0,0.0,1.0,19,33,52,0.0457985211853828,0.8989593188268685
flow_heuristic_balanced,2023-01-12,437007.0,437007.0,0.0,1.0,19,24,43,0.0410025316000166,0.6532914941914808
flow_heuristic_balanced,2023-01-13,644980.0,644980.0,0.0,1.0,19,36,55,0.0453292588093058,1.1224329627207326
flow_heuristic_balanced,2023-01-14,587533.0,587533.0,0.0,1.0,19,40,59,0.0445871472932237,0.857441982202059
flow_heuristic_balanced,2023-01-15,588431.0,588431.0,0.0,1.0,19,23,42,0.0414183037427363,0.9289962062954988
flow_heuristic_balanced,2023-01-16,527623.0,515150.0,12473.0,0.9763600146316593,19,42,61,0.0465830456294621,0.8154349247874427
flow_heuristic_balanced,2023-01-17,474147.0,474147.0,0.0,1.0,19,27,46,0.0442679806868197,0.8950460675657631
flow_heuristic_balanced,2023-01-18,557907.0,557907.0,0.0,1.0,19,30,49,0.0427969680954206,1.155633684915453
flow_heuristic_balanced,2023-01-19,477440.0,477440.0,0.0,1.0,19,26,45,0.0417263210405052,0.8251144538914323
flow_heuristic_balanced,2023-01-20,448867.0,448867.0,0.0,1.0,19,27,46,0.0321952687533962,0.4916340334638661
flow_heuristic_balanced,2023-01-21,108999.0,108999.0,0.0,1.0,19,17,36,0.0172417520247034,0.4364542541829833
flow_heuristic_balanced,2023-01-22,237953.0,237953.0,0.0,1.0,19,17,36,0.0237789609670936,0.5293698825204699
flow_heuristic_balanced,2023-01-23,300467.0,300467.0,0.0,1.0,19,17,36,0.025879045054896,0.9091769157994324
flow_heuristic_balanced,2023-01-24,414648.0,414648.0,0.0,1.0,19,20,39,0.0266014974867089,0.6206244087038789
flow_heuristic_balanced,2023-01-25,446615.0,446615.0,0.0,1.0,19,35,54,0.0311889036072397,0.8482497634815516
flow_heuristic_balanced,2023-01-26,526791.0,526791.0,0.0,1.0,19,27,46,0.0295504613925721,0.545745817016732
flow_heuristic_balanced,2023-01-27,462948.0,462948.0,0.0,1.0,19,24,43,0.0311795157496405,0.584755262174617
flow_heuristic_balanced,2023-01-28,405346.0,405346.0,0.0,1.0,19,28,47,0.0312930758865006,0.8553481067876462
flow_heuristic_balanced,2023-01-29,538754.0,538754.0,0.0,1.0,19,26,45,0.0315097855848157,0.5446778212887149
flow_heuristic_balanced,2023-01-30,512096.0,512096.0,0.0,1.0,19,34,53,0.0337445836998045,0.5838376646493414
flow_heuristic_balanced,2023-01-31,517423.0,517423.0,0.0,1.0,19,28,47,0.0334667715681698,0.5973656105375579
