origin,dest,edge,forecast_total_volume,forecast_daily_mean,forecast_daily_max,forecast_daily_std,historical_total_volume,edge_capacity,forecast_max_load_rate,forecast_volume_cv,high_load_day_ratio,origin_total_capacity,dest_total_capacity,same_origin_alternative_capacity,same_dest_alternative_capacity,alternative_capacity_ratio,origin_site_importance,dest_site_importance,endpoint_importance_score,volume_score,connection_score,volatility_score,substitution_risk_score,importance_score
DC14,DC9,DC14->DC9,6370402.0,205496.83870967742,308711.0,69612.13769539312,30216221.0,439995.0,0.7016238820895676,0.33875040673370005,0.0,1575798.0,1447351.0,1135803.0,1007356.0,4.87087125990067,0.9246913580246913,0.9165123456790123,0.9206018518518517,0.9997616777883699,0.9995233555767398,0.8846520495710201,0.9990467111534795,0.9822569113441374
DC25,DC9,DC25->DC9,787486.0,25402.774193548386,80683.0,22117.590581764547,4443800.0,126037.0,0.6401532883200913,0.8706761873032333,0.0,535975.0,1447351.0,409938.0,1321314.0,13.736061632695051,0.8162037037037037,0.9165123456790123,0.866358024691358,0.9792659675881793,0.9432793136320305,0.9866539561487131,0.9799809342230696,0.9715562440419447
DC14,DC3,DC14->DC3,1136643.0,36665.903225806454,78043.0,14973.836436791875,7808524.0,98905.0,0.7890703200040363,0.4083858604157466,0.0,1575798.0,727980.0,1476893.0,629075.0,21.29283656033546,0.9246913580246913,0.8919753086419754,0.9083333333333333,0.9890371782650142,0.9957102001906578,0.90371782650143,0.9542421353670162,0.9692087702573879
DC9,DC3,DC9->DC3,432918.0,13965.09677419355,37179.0,8855.09783321427,1888830.0,31880.0,1.1662170639899259,0.634087824552508,0.12903225806451613,92175.0,727980.0,60295.0,696100.0,23.726317440400763,0.9165123456790123,0.8919753086419754,0.9042438271604938,0.9542421353670162,0.9899904671115348,0.9637750238322211,0.9485224022878932,0.9631792183031458
DC9,DC14,DC9->DC14,478037.0,15420.548387096775,35348.0,9191.10802698933,2245424.0,30711.0,1.150988245254106,0.5960299073850993,0.22580645161290322,92175.0,902659.0,61464.0,871948.0,30.39340952752986,0.9165123456790123,0.9246913580246913,0.9206018518518517,0.9623450905624404,0.9995233555767398,0.9571020019065777,0.9246901811248809,0.961439466158246
DC51,DC9,DC51->DC9,1061965.0,34256.93548387097,74935.0,16054.232668566969,5269056.0,261337.0,0.28673704833222896,0.4686418222121836,0.0,715715.0,1447351.0,454378.0,1186014.0,6.276922135021041,0.775,0.9165123456790123,0.8457561728395062,0.9845090562440418,0.9099142040038132,0.9304099142040038,0.996186844613918,0.960664918970448
DC9,DC5,DC9->DC5,376848.0,12156.387096774193,26492.0,7033.801696221538,1684056.0,21997.0,1.2043460471881982,0.5786095523469668,0.1935483870967742,92175.0,693070.0,70178.0,671073.0,33.69782243032988,0.9165123456790123,0.8759259259259259,0.8962191358024691,0.9492373689227837,0.9785510009532888,0.9551954242135366,0.9170638703527169,0.9494161105815062
DC14,DC8,DC14->DC8,3066693.0,98925.58064516129,118231.0,10358.23541073196,72995976.0,505833.0,0.2337352446360751,0.1047073501431958,0.0,1575798.0,2130508.0,1069965.0,1624675.0,5.327133658737162,0.9246913580246913,0.8814814814814814,0.9030864197530863,0.9992850333651097,0.9880838894184938,0.6863679694947569,0.9971401334604385,0.9490109628217349
DC62,DC8,DC62->DC8,785486.0,25338.25806451613,34742.0,6098.900498306347,7824737.0,114449.0,0.3035587903782444,0.2406992810151795,0.0,195979.0,2130508.0,81530.0,2016059.0,18.327718022874656,0.8708333333333331,0.8814814814814814,0.8761574074074072,0.9842707340324118,0.9509056244041945,0.8198284080076264,0.9694947569113441,0.9475691134413728
DC10,DC3,DC10->DC3,246739.0,7959.322580645161,22876.0,5771.058735466118,2184367.0,27671.0,0.8267138881861578,0.7250690843337583,0.03225806451612903,336532.0,727980.0,308861.0,700309.0,36.470311878861025,0.8976851851851853,0.8919753086419754,0.8948302469135803,0.9323164918970449,0.9766444232602478,0.9761677788369876,0.9113441372735939,0.9447330791229742
DC15,DC9,DC15->DC9,853403.0,27529.129032258064,77199.0,13007.088253028054,4334484.0,80194.0,0.962653066314176,0.4724845540077256,0.03225806451612903,357552.0,1447351.0,277358.0,1367157.0,20.506708731326277,0.7561728395061729,0.9165123456790123,0.8363425925925926,0.9795042897998094,0.8856053384175405,0.9313632030505243,0.9599618684461392,0.9439227836034318
