date,origin,dest,edge,base_volume,diverted_to_new_site,adjusted_volume,line_type
2023-01-01,DC1,DC8,DC1->DC8,0.0,0.0,0.0,existing
2023-01-01,DC10,DC12,DC10->DC12,0.0,0.0,0.0,existing
2023-01-01,DC10,DC13,DC10->DC13,0.0,0.0,0.0,existing
2023-01-01,DC10,DC14,DC10->DC14,9903.0,0.0,9903.0,existing
2023-01-01,DC10,DC17,DC10->DC17,0.0,0.0,0.0,existing
2023-01-01,DC10,DC19,DC10->DC19,0.0,0.0,0.0,existing
2023-01-01,DC10,DC20,DC10->DC20,0.0,0.0,0.0,existing
2023-01-01,DC10,DC21,DC10->DC21,0.0,0.0,0.0,existing
2023-01-01,DC10,DC22,DC10->DC22,0.0,0.0,0.0,existing
2023-01-01,DC10,DC23,DC10->DC23,0.0,0.0,0.0,existing
2023-01-01,DC10,DC25,DC10->DC25,0.0,0.0,0.0,existing
2023-01-01,DC10,DC27,DC10->DC27,0.0,0.0,0.0,existing
2023-01-01,DC10,DC28,DC10->DC28,0.0,0.0,0.0,existing
2023-01-01,DC10,DC3,DC10->DC3,7689.0,0.0,7689.0,existing
2023-01-01,DC10,DC30,DC10->DC30,0.0,0.0,0.0,existing
2023-01-01,DC10,DC32,DC10->DC32,0.0,0.0,0.0,existing
2023-01-01,DC10,DC33,DC10->DC33,0.0,0.0,0.0,existing
2023-01-01,DC10,DC34,DC10->DC34,0.0,0.0,0.0,existing
2023-01-01,DC10,DC35,DC10->DC35,294.0,0.0,294.0,existing
2023-01-01,DC10,DC36,DC10->DC36,0.0,0.0,0.0,existing
2023-01-01,DC10,DC38,DC10->DC38,0.0,0.0,0.0,existing
2023-01-01,DC10,DC4,DC10->DC4,43202.0,0.0,43202.0,existing
2023-01-01,DC10,DC40,DC10->DC40,0.0,0.0,0.0,existing
2023-01-01,DC10,DC47,DC10->DC47,0.0,0.0,0.0,existing
2023-01-01,DC10,DC5,DC10->DC5,6668.0,0.0,6668.0,existing
2023-01-01,DC10,DC51,DC10->DC51,0.0,0.0,0.0,existing
2023-01-01,DC10,DC59,DC10->DC59,0.0,0.0,0.0,existing
2023-01-01,DC10,DC60,DC10->DC60,0.0,0.0,0.0,existing
2023-01-01,DC10,DC61,DC10->DC61,0.0,0.0,0.0,existing
2023-01-01,DC10,DC62,DC10->DC62,11656.0,0.0,11656.0,existing
2023-01-01,DC10,DC64,DC10->DC64,0.0,0.0,0.0,existing
2023-01-01,DC10,DC65,DC10->DC65,0.0,0.0,0.0,existing
2023-01-01,DC10,DC67,DC10->DC67,0.0,0.0,0.0,existing
2023-01-01,DC10,DC70,DC10->DC70,429.0,0.0,429.0,existing
2023-01-01,DC10,DC73,DC10->DC73,0.0,0.0,0.0,existing
2023-01-01,DC10,DC76,DC10->DC76,0.0,0.0,0.0,existing
2023-01-01,DC10,DC78,DC10->DC78,0.0,0.0,0.0,existing
2023-01-01,DC10,DC8,DC10->DC8,1048.0,0.0,1048.0,existing
2023-01-01,DC10,DC80,DC10->DC80,0.0,0.0,0.0,existing
2023-01-01,DC10,DC9,DC10->DC9,0.0,0.0,0.0,existing
2023-01-01,DC11,DC10,DC11->DC10,0.0,0.0,0.0,existing
2023-01-01,DC11,DC14,DC11->DC14,0.0,0.0,0.0,existing
2023-01-01,DC11,DC22,DC11->DC22,0.0,0.0,0.0,existing
2023-01-01,DC11,DC3,DC11->DC3,0.0,0.0,0.0,existing
2023-01-01,DC11,DC5,DC11->DC5,0.0,0.0,0.0,existing
2023-01-01,DC11,DC9,DC11->DC9,0.0,0.0,0.0,existing
2023-01-01,DC12,DC10,DC12->DC10,0.0,0.0,0.0,existing
2023-01-01,DC12,DC14,DC12->DC14,0.0,0.0,0.0,existing
2023-01-01,DC12,DC23,DC12->DC23,0.0,0.0,0.0,existing
2023-01-01,DC12,DC3,DC12->DC3,0.0,0.0,0.0,existing
2023-01-01,DC12,DC32,DC12->DC32,0.0,0.0,0.0,existing
2023-01-01,DC12,DC35,DC12->DC35,0.0,0.0,0.0,existing
2023-01-01,DC12,DC36,DC12->DC36,0.0,0.0,0.0,existing
2023-01-01,DC12,DC38,DC12->DC38,0.0,0.0,0.0,existing
2023-01-01,DC12,DC40,DC12->DC40,0.0,0.0,0.0,existing
2023-01-01,DC12,DC5,DC12->DC5,0.0,0.0,0.0,existing
2023-01-01,DC12,DC67,DC12->DC67,0.0,0.0,0.0,existing
2023-01-01,DC12,DC9,DC12->DC9,0.0,0.0,0.0,existing
2023-01-01,DC13,DC10,DC13->DC10,0.0,0.0,0.0,existing
2023-01-01,DC13,DC14,DC13->DC14,0.0,0.0,0.0,existing
2023-01-01,DC13,DC15,DC13->DC15,0.0,0.0,0.0,existing
2023-01-01,DC13,DC3,DC13->DC3,0.0,0.0,0.0,existing
2023-01-01,DC13,DC4,DC13->DC4,0.0,0.0,0.0,existing
2023-01-01,DC13,DC5,DC13->DC5,0.0,0.0,0.0,existing
2023-01-01,DC13,DC62,DC13->DC62,0.0,0.0,0.0,existing
2023-01-01,DC13,DC8,DC13->DC8,0.0,0.0,0.0,existing
2023-01-01,DC13,DC9,DC13->DC9,0.0,0.0,0.0,existing
2023-01-01,DC14,DC10,DC14->DC10,27061.0,5412.200000000001,21648.8,existing
2023-01-01,DC14,DC11,DC14->DC11,0.0,0.0,0.0,existing
2023-01-01,DC14,DC12,DC14->DC12,0.0,0.0,0.0,existing
2023-01-01,DC14,DC13,DC14->DC13,0.0,0.0,0.0,existing
2023-01-01,DC14,DC17,DC14->DC17,0.0,0.0,0.0,existing
2023-01-01,DC14,DC19,DC14->DC19,0.0,0.0,0.0,existing
2023-01-01,DC14,DC20,DC14->DC20,0.0,0.0,0.0,existing
2023-01-01,DC14,DC21,DC14->DC21,0.0,0.0,0.0,existing
2023-01-01,DC14,DC22,DC14->DC22,0.0,0.0,0.0,existing
2023-01-01,DC14,DC23,DC14->DC23,0.0,0.0,0.0,existing
2023-01-01,DC14,DC25,DC14->DC25,0.0,0.0,0.0,existing
2023-01-01,DC14,DC3,DC14->DC3,59397.0,11879.400000000001,47517.6,existing
2023-01-01,DC14,DC30,DC14->DC30,0.0,0.0,0.0,existing
2023-01-01,DC14,DC32,DC14->DC32,0.0,0.0,0.0,existing
2023-01-01,DC14,DC33,DC14->DC33,0.0,0.0,0.0,existing
2023-01-01,DC14,DC34,DC14->DC34,0.0,0.0,0.0,existing
2023-01-01,DC14,DC35,DC14->DC35,420.0,0.0,420.0,existing
2023-01-01,DC14,DC36,DC14->DC36,0.0,0.0,0.0,existing
2023-01-01,DC14,DC38,DC14->DC38,0.0,0.0,0.0,existing
2023-01-01,DC14,DC4,DC14->DC4,258.0,51.6,206.4,existing
2023-01-01,DC14,DC40,DC14->DC40,0.0,0.0,0.0,existing
2023-01-01,DC14,DC43,DC14->DC43,0.0,0.0,0.0,existing
2023-01-01,DC14,DC5,DC14->DC5,13918.0,2783.6000000000004,11134.4,existing
2023-01-01,DC14,DC61,DC14->DC61,0.0,0.0,0.0,existing
2023-01-01,DC14,DC62,DC14->DC62,25338.0,5067.6,20270.4,existing
