site,historical_total_throughput,site_capacity,forecast_total_throughput,forecast_daily_mean,forecast_daily_max,forecast_daily_std,in_degree,out_degree,total_degree,forecast_max_load_rate,high_load_day_ratio,forecast_throughput_cv,direct_shutdown_affected_volume,volume_score,structure_score,volatility_score,failure_impact_score,importance_score,selection_order,selection_reason,forecast_inbound,forecast_outbound,forecast_total_io,inbound_share,outbound_share,site_role
DC14,263331187.0,1057686.0,16888698.0,544796.7096774194,689563.0,94718.12755927489,71.0,34.0,105.0,0.6519543607460053,0.0,0.173859580788141,16888698.0,1.0,0.9876543209876544,0.5185185185185185,1.0,0.9246913580246912,1,core_importance,4365269.0,12523429.0,16888698.0,0.25847279642279114,0.7415272035772088,source
DC9,69124097.0,1165289.0,13700966.0,441966.6451612903,644980.0,108421.37601180612,56.0,24.0,80.0,0.5534935968673861,0.0,0.2453157431648237,13700966.0,0.9660493827160492,0.925925925925926,0.6666666666666666,0.9876543209876544,0.9165123456790124,2,core_importance,12413163.0,1287803.0,13700966.0,0.9060064085992183,0.0939935914007815,sink
DC10,262421043.0,1293910.0,7887321.0,254429.70967741936,301457.0,42708.59195358292,71.0,39.0,110.0,0.2329814283837359,0.0,0.1678600820939157,7887321.0,0.9598765432098766,1.0,0.4938271604938271,0.9506172839506172,0.8976851851851853,3,core_importance,5604528.0,2282793.0,7887321.0,0.7105743509107845,0.2894256490892154,sink
DC3,41854535.0,560156.0,5108060.0,164776.12903225806,272968.0,47084.067997669415,62.0,17.0,79.0,0.487307107305821,0.0,0.2857456858235305,5108060.0,0.9012345679012346,0.9135802469135802,0.7777777777777778,0.925925925925926,0.8919753086419754,4,core_importance,5108060.0,0.0,5108060.0,0.9999999999999998,0.0,sink
DC4,222782122.0,1272995.0,9031602.0,291342.0,322057.0,41914.88876051625,64.0,22.0,86.0,0.2529915671310569,0.0,0.1438683360466946,9031602.0,0.9753086419753086,0.9506172839506172,0.4320987654320987,0.9753086419753086,0.8876543209876543,5,core_importance,9022640.0,8962.0,9031602.0,0.9990077064954809,0.0009922935045189102,sink
DC8,187854350.0,1091858.0,8904700.0,287248.3870967742,337763.0,41068.71972106722,64.0,25.0,89.0,0.3093470029985581,0.0,0.1429728470754859,8904700.0,0.9629629629629628,0.9629629629629628,0.419753086419753,0.9629629629629628,0.8814814814814814,6,core_importance,7523872.0,1380828.0,8904700.0,0.8449326760025603,0.15506732399743953,sink
DC5,40200592.0,458693.0,3214028.0,103678.32258064517,131176.0,23677.54462720662,67.0,23.0,90.0,0.2859777672648148,0.0,0.2283750743439067,3214028.0,0.8888888888888888,0.9753086419753086,0.6172839506172839,0.9135802469135802,0.8759259259259259,7,core_importance,3161350.0,52678.0,3214028.0,0.9836099747730882,0.016390025226911523,sink
DC62,90391451.0,749572.0,6671447.0,215207.96774193548,249778.0,35814.63381706663,57.0,26.0,83.0,0.3332274951572359,0.0,0.1664187167085432,6671447.0,0.941358024691358,0.9382716049382716,0.4814814814814814,0.9382716049382716,0.8708333333333331,8,core_importance,5221888.0,1449559.0,6671447.0,0.7827219492263071,0.2172780507736927,sink
DC25,44178185.0,159822.0,2447316.0,78945.67741935483,139005.0,25321.460505942505,5.0,19.0,24.0,0.8697488455907143,0.064516129032258,0.3207453699008251,2447316.0,0.8611111111111112,0.691358024691358,0.8395061728395061,0.8641975308641975,0.8162037037037037,9,high_failure_neighbor,0.0,2447316.0,2447316.0,0.0,0.9999999999999997,source
DC51,29966893.0,400791.0,2224369.0,71753.83870967742,120421.0,20826.04194674384,3.0,18.0,21.0,0.3004583436254798,0.0,0.2902428960073845,2224369.0,0.8209876543209876,0.6419753086419753,0.8024691358024691,0.8271604938271605,0.775,10,high_failure_neighbor,0.0,2224369.0,2224369.0,0.0,0.9999999999999996,source
DC15,26100946.0,109833.0,2046882.0,66028.45161290323,122306.0,16382.04522825407,4.0,19.0,23.0,1.1135633188567997,0.032258064516129,0.2481058517666716,2046882.0,0.802469135802469,0.6790123456790124,0.6790123456790124,0.8148148148148148,0.7561728395061729,11,high_failure_neighbor,0.0,2046882.0,2046882.0,0.0,0.9999999999999996,source
DC36,73670459.0,369686.0,3174596.0,102406.32258064517,127663.0,16463.16828048069,11.0,21.0,32.0,0.3453281974432347,0.0,0.1607632015837279,3174596.0,0.9074074074074074,0.7777777777777778,0.4567901234567901,0.9012345679012346,0.8058641975308642,12,high_failure_neighbor,0.0,3174596.0,3174596.0,0.0,0.9999999999999997,source
DC44,27338864.0,257960.0,1654731.0,53378.41935483871,76696.0,14500.987358539716,1.0,18.0,19.0,0.2973174135524876,0.0,0.2716638584245552,1654731.0,0.7962962962962963,0.5617283950617284,0.7160493827160493,0.8024691358024691,0.7271604938271605,13,high_failure_neighbor,0.0,1654731.0,1654731.0,0.0,0.9999999999999994,source
DC23,74400256.0,286082.0,2983140.0,96230.32258064517,113761.0,16602.683864629988,15.0,22.0,37.0,0.3976517222334841,0.0,0.1725306890737693,2983140.0,0.9012345679012346,0.8024691358024691,0.5061728395061729,0.8888888888888888,0.8141975308641975,14,high_failure_neighbor,0.0,2983140.0,2983140.0,0.0,0.9999999999999997,source
