date,site,new_site_load,new_site_capacity
2023-01-01,DC_NEW,378046.80000000005,800000
2023-01-02,DC_NEW,342643.60000000003,800000
2023-01-03,DC_NEW,368930.4,800000
2023-01-04,DC_NEW,305058.0,800000
2023-01-05,DC_NEW,351148.3999999999,800000
2023-01-06,DC_NEW,326076.8,800000
2023-01-07,DC_NEW,370712.80000000005,800000
2023-01-08,DC_NEW,362077.6,800000
2023-01-09,DC_NEW,336269.6000000001,800000
2023-01-10,DC_NEW,366246.0000000001,800000
2023-01-11,DC_NEW,319633.6,800000
2023-01-12,DC_NEW,343354.0,800000
2023-01-13,DC_NEW,427962.4,800000
2023-01-14,DC_NEW,405399.20000000007,800000
2023-01-15,DC_NEW,397415.6000000001,800000
2023-01-16,DC_NEW,381868.40000000014,800000
2023-01-17,DC_NEW,390388.0,800000
2023-01-18,DC_NEW,403525.99999999994,800000
2023-01-19,DC_NEW,359273.60000000003,800000
2023-01-20,DC_NEW,336314.8,800000
2023-01-21,DC_NEW,130201.59999999999,800000
2023-01-22,DC_NEW,212916.80000000005,800000
2023-01-23,DC_NEW,246372.8,800000
2023-01-24,DC_NEW,307367.9999999999,800000
2023-01-25,DC_NEW,331386.0,800000
2023-01-26,DC_NEW,367284.8,800000
2023-01-27,DC_NEW,345739.99999999994,800000
2023-01-28,DC_NEW,319646.00000000006,800000
2023-01-29,DC_NEW,380454.8,800000
2023-01-30,DC_NEW,357713.2,800000
2023-01-31,DC_NEW,363447.20000000007,800000
