scenario,run,before_edge_overload_rows,after_edge_overload_rows,before_edge_overload_total_amount,after_edge_overload_total_amount,before_edge_load_rate_std,after_edge_load_rate_std,before_edge_load_rate_cv,after_edge_load_rate_cv,new_site_max_load,new_site_capacity,new_site_max_load_rate
base,0,15,8,42203.0,17385.0,0.12850389793099173,0.11929431342277995,1.0530303025699268,1.018199254414669,427962.4,800000,0.534953
random_10pct,0,14,9,49324.31964670618,18984.954730324233,0.12902737689511937,0.11980286747778664,1.0582713301413122,1.0232578572658848,442251.6544714471,800000,0.5528145680893088
random_10pct,1,21,11,53856.41149462691,20392.171655783335,0.12993123123737962,0.12049520964039676,1.0645605588907585,1.0288329804059198,430593.1071529515,800000,0.5382413839411894
random_10pct,2,19,8,45671.10075320861,21710.969308438405,0.12975784995442946,0.12047001993120014,1.062562344444374,1.0274604206523725,444850.2311075921,800000,0.5560627888844901
random_10pct,3,19,10,67179.14290627284,28972.804259130447,0.13018550875018495,0.1206606568060991,1.0665810839596634,1.0297392069117637,446315.4675295133,800000,0.5578943344118916
random_10pct,4,20,14,54702.96374679525,30713.596546126988,0.12990668884544798,0.12066338529615743,1.064037769443178,1.0294480036154612,433372.8289737006,800000,0.5417160362171257
random_10pct,5,16,9,54821.378762457105,33535.78598835818,0.1307319502338681,0.12146969455117079,1.0682854389301801,1.033833084233663,449169.130709981,800000,0.5614614133874762
random_10pct,6,13,10,58554.754819973736,18119.859425077284,0.1297392545448203,0.12020183798970638,1.0635587150523516,1.026282847248772,422945.61338097433,800000,0.528682016726218
random_10pct,7,19,11,56184.24895797993,17904.170257744216,0.12896249885141262,0.11966337218886197,1.0590449176749095,1.0235715327158934,413301.72953855153,800000,0.5166271619231894
random_10pct,8,21,12,52153.45112931913,25967.294189870718,0.13006228817161386,0.12086050241316693,1.06644282072417,1.0319885721970605,430686.11063972174,800000,0.5383576382996522
random_10pct,9,15,9,49771.95954852535,20314.292529657505,0.12959108730654895,0.12034996801286998,1.0613950685428883,1.0264701550342086,435084.3376326895,800000,0.5438554220408619
random_10pct,10,18,9,65146.81384575591,28105.5150649099,0.12991752230946055,0.1205189009674101,1.065272698428251,1.0293811582697507,407805.65428537084,800000,0.5097570678567136
random_10pct,11,18,11,50074.53820530532,25546.182606498158,0.12990959762328083,0.12077723141118961,1.0662382760876177,1.0323448479330644,423170.690067949,800000,0.5289633625849363
random_10pct,12,18,11,64249.562930151435,34148.01428415567,0.13067545199886663,0.12146766844660346,1.0690221842288934,1.0347658021816755,446005.02637110464,800000,0.5575062829638808
random_10pct,13,13,10,43396.74335492569,19471.653173808212,0.12864031990491015,0.1194324674439961,1.0544948664296419,1.0196350026555276,427464.07712529995,800000,0.534330096406625
random_10pct,14,14,9,44149.99087897162,22711.106036438054,0.12957999835923906,0.12042993339004841,1.06177753808092,1.0276509794558906,439165.4630387278,800000,0.5489568287984098
random_10pct,15,20,12,55883.29561917924,22520.4876193058,0.13004238749365307,0.1206841073974636,1.065697336668203,1.030358229369953,422216.43120550923,800000,0.5277705390068865
