site,historical_total_throughput,site_capacity,forecast_total_throughput,forecast_daily_mean,forecast_daily_max,forecast_daily_std,in_degree,out_degree,total_degree,forecast_max_load_rate,high_load_day_ratio,forecast_throughput_cv,direct_shutdown_affected_volume,volume_score,structure_score,volatility_score,failure_impact_score,importance_score
DC14,263331187.0,1057686.0,16888698.0,544796.7096774194,689563.0,94718.12755927489,71.0,34.0,105.0,0.6519543607460053,0.0,0.173859580788141,16888698.0,1.0,0.9876543209876543,0.5185185185185185,1.0,0.9246913580246913
DC9,69124097.0,1165289.0,13700966.0,441966.6451612903,644980.0,108421.37601180612,56.0,24.0,80.0,0.5534935968673861,0.0,0.24531574316482374,13700966.0,0.9660493827160493,0.9259259259259259,0.6666666666666666,0.9876543209876543,0.9165123456790123
DC10,262421043.0,1293910.0,7887321.0,254429.70967741936,301457.0,42708.59195358292,71.0,39.0,110.0,0.23298142838373595,0.0,0.16786008209391573,7887321.0,0.9598765432098766,1.0,0.49382716049382713,0.9506172839506173,0.8976851851851853
DC3,41854535.0,560156.0,5108060.0,164776.12903225806,272968.0,47084.067997669415,62.0,17.0,79.0,0.48730710730582105,0.0,0.2857456858235305,5108060.0,0.9012345679012346,0.9135802469135802,0.7777777777777778,0.9259259259259259,0.8919753086419754
DC4,222782122.0,1272995.0,9031602.0,291342.0,322057.0,41914.88876051625,64.0,22.0,86.0,0.2529915671310569,0.0,0.14386833604669463,9031602.0,0.9753086419753086,0.9506172839506173,0.43209876543209874,0.9753086419753086,0.8876543209876543
DC8,187854350.0,1091858.0,8904700.0,287248.3870967742,337763.0,41068.71972106722,64.0,25.0,89.0,0.30934700299855816,0.0,0.1429728470754859,8904700.0,0.9629629629629629,0.9629629629629629,0.41975308641975306,0.9629629629629629,0.8814814814814814
DC5,40200592.0,458693.0,3214028.0,103678.32258064517,131176.0,23677.54462720662,67.0,23.0,90.0,0.28597776726481483,0.0,0.22837507434390678,3214028.0,0.8888888888888888,0.9753086419753086,0.6172839506172839,0.9135802469135802,0.8759259259259259
DC62,90391451.0,749572.0,6671447.0,215207.96774193548,249778.0,35814.63381706663,57.0,26.0,83.0,0.33322749515723593,0.0,0.1664187167085432,6671447.0,0.941358024691358,0.9382716049382716,0.48148148148148145,0.9382716049382716,0.8708333333333331
DC25,44178185.0,159822.0,2447316.0,78945.67741935483,139005.0,25321.460505942505,5.0,19.0,24.0,0.8697488455907143,0.06451612903225806,0.32074536990082514,2447316.0,0.8611111111111112,0.691358024691358,0.8395061728395061,0.8641975308641975,0.8162037037037037
DC23,74400256.0,286082.0,2983140.0,96230.32258064517,113761.0,16602.683864629988,15.0,22.0,37.0,0.3976517222334841,0.0,0.1725306890737693,2983140.0,0.9012345679012346,0.8024691358024691,0.5061728395061729,0.8888888888888888,0.8141975308641975
