origin,dest,edge,date,forecast_volume,is_long_shutdown_corrected,raw_forecast_volume
DC1,DC8,DC1->DC8,2023-01-01,0,False,0
DC10,DC12,DC10->DC12,2023-01-01,0,False,0
DC10,DC13,DC10->DC13,2023-01-01,0,False,0
DC10,DC14,DC10->DC14,2023-01-01,9903,False,10689
DC10,DC17,DC10->DC17,2023-01-01,0,False,0
DC10,DC19,DC10->DC19,2023-01-01,0,False,0
DC10,DC20,DC10->DC20,2023-01-01,0,False,0
DC10,DC21,DC10->DC21,2023-01-01,0,False,0
DC10,DC22,DC10->DC22,2023-01-01,0,False,0
DC10,DC23,DC10->DC23,2023-01-01,0,False,0
DC10,DC25,DC10->DC25,2023-01-01,0,False,0
DC10,DC27,DC10->DC27,2023-01-01,0,False,0
DC10,DC28,DC10->DC28,2023-01-01,0,False,0
DC10,DC3,DC10->DC3,2023-01-01,7689,True,8300
DC10,DC30,DC10->DC30,2023-01-01,0,False,0
DC10,DC32,DC10->DC32,2023-01-01,0,False,0
DC10,DC33,DC10->DC33,2023-01-01,0,False,0
DC10,DC34,DC10->DC34,2023-01-01,0,False,0
DC10,DC35,DC10->DC35,2023-01-01,294,False,317
DC10,DC36,DC10->DC36,2023-01-01,0,False,0
DC10,DC38,DC10->DC38,2023-01-01,0,False,0
DC10,DC4,DC10->DC4,2023-01-01,43202,False,46632
DC10,DC40,DC10->DC40,2023-01-01,0,False,0
DC10,DC47,DC10->DC47,2023-01-01,0,False,0
DC10,DC5,DC10->DC5,2023-01-01,6668,False,7198
DC10,DC51,DC10->DC51,2023-01-01,0,False,0
DC10,DC59,DC10->DC59,2023-01-01,0,False,0
DC10,DC60,DC10->DC60,2023-01-01,0,False,0
DC10,DC61,DC10->DC61,2023-01-01,0,False,0
DC10,DC62,DC10->DC62,2023-01-01,11656,False,12582
DC10,DC64,DC10->DC64,2023-01-01,0,False,0
DC10,DC65,DC10->DC65,2023-01-01,0,False,0
DC10,DC67,DC10->DC67,2023-01-01,0,False,0
DC10,DC70,DC10->DC70,2023-01-01,429,False,463
DC10,DC73,DC10->DC73,2023-01-01,0,False,0
DC10,DC76,DC10->DC76,2023-01-01,0,False,0
DC10,DC78,DC10->DC78,2023-01-01,0,False,0
DC10,DC8,DC10->DC8,2023-01-01,1048,False,1131
DC10,DC80,DC10->DC80,2023-01-01,0,False,0
DC10,DC9,DC10->DC9,2023-01-01,0,False,0
DC11,DC10,DC11->DC10,2023-01-01,0,False,0
DC11,DC14,DC11->DC14,2023-01-01,0,False,0
DC11,DC22,DC11->DC22,2023-01-01,0,False,0
DC11,DC3,DC11->DC3,2023-01-01,0,False,0
DC11,DC5,DC11->DC5,2023-01-01,0,False,0
DC11,DC9,DC11->DC9,2023-01-01,0,False,0
DC12,DC10,DC12->DC10,2023-01-01,0,False,0
DC12,DC14,DC12->DC14,2023-01-01,0,False,0
DC12,DC23,DC12->DC23,2023-01-01,0,False,0
DC12,DC3,DC12->DC3,2023-01-01,0,False,0
DC12,DC32,DC12->DC32,2023-01-01,0,False,0
DC12,DC35,DC12->DC35,2023-01-01,0,False,0
DC12,DC36,DC12->DC36,2023-01-01,0,False,0
DC12,DC38,DC12->DC38,2023-01-01,0,False,0
DC12,DC40,DC12->DC40,2023-01-01,0,False,0
DC12,DC5,DC12->DC5,2023-01-01,0,False,0
DC12,DC67,DC12->DC67,2023-01-01,0,False,0
DC12,DC9,DC12->DC9,2023-01-01,0,False,0
DC13,DC10,DC13->DC10,2023-01-01,0,False,0
DC13,DC14,DC13->DC14,2023-01-01,0,False,0
DC13,DC15,DC13->DC15,2023-01-01,0,False,0
DC13,DC3,DC13->DC3,2023-01-01,0,False,0
DC13,DC4,DC13->DC4,2023-01-01,0,False,0
DC13,DC5,DC13->DC5,2023-01-01,0,False,0
DC13,DC62,DC13->DC62,2023-01-01,0,False,0
DC13,DC8,DC13->DC8,2023-01-01,0,False,0
DC13,DC9,DC13->DC9,2023-01-01,0,False,0
DC14,DC10,DC14->DC10,2023-01-01,27061,False,29210
DC14,DC11,DC14->DC11,2023-01-01,0,False,0
DC14,DC12,DC14->DC12,2023-01-01,0,False,0
DC14,DC13,DC14->DC13,2023-01-01,0,False,0
DC14,DC17,DC14->DC17,2023-01-01,0,False,0
DC14,DC19,DC14->DC19,2023-01-01,0,False,0
DC14,DC20,DC14->DC20,2023-01-01,0,False,0
DC14,DC21,DC14->DC21,2023-01-01,0,False,0
DC14,DC22,DC14->DC22,2023-01-01,0,False,0
DC14,DC23,DC14->DC23,2023-01-01,0,False,0
DC14,DC25,DC14->DC25,2023-01-01,0,False,0
DC14,DC3,DC14->DC3,2023-01-01,59397,True,64113
DC14,DC30,DC14->DC30,2023-01-01,0,False,0
DC14,DC32,DC14->DC32,2023-01-01,0,False,0
DC14,DC33,DC14->DC33,2023-01-01,0,False,0
DC14,DC34,DC14->DC34,2023-01-01,0,False,0
DC14,DC35,DC14->DC35,2023-01-01,420,False,453
DC14,DC36,DC14->DC36,2023-01-01,0,False,0
DC14,DC38,DC14->DC38,2023-01-01,0,False,0
DC14,DC4,DC14->DC4,2023-01-01,258,False,278
DC14,DC40,DC14->DC40,2023-01-01,0,False,0
DC14,DC43,DC14->DC43,2023-01-01,0,False,0
DC14,DC5,DC14->DC5,2023-01-01,13918,False,15023
DC14,DC61,DC14->DC61,2023-01-01,0,False,0
DC14,DC62,DC14->DC62,2023-01-01,25338,False,27350
DC14,DC64,DC14->DC64,2023-01-01,0,False,0
DC14,DC65,DC14->DC65,2023-01-01,0,False,0
DC14,DC67,DC14->DC67,2023-01-01,0,False,0
DC14,DC70,DC14->DC70,2023-01-01,275,False,297
DC14,DC76,DC14->DC76,2023-01-01,0,False,0
DC14,DC78,DC14->DC78,2023-01-01,0,False,0
DC14,DC8,DC14->DC8,2023-01-01,102508,False,110648
DC14,DC81,DC14->DC81,2023-01-01,0,False,0
DC14,DC9,DC14->DC9,2023-01-01,168355,True,181723
DC15,DC10,DC15->DC10,2023-01-01,6782,False,7321
DC15,DC12,DC15->DC12,2023-01-01,0,False,0
DC15,DC13,DC15->DC13,2023-01-01,0,False,0
DC15,DC14,DC15->DC14,2023-01-01,5466,False,5900
DC15,DC3,DC15->DC3,2023-01-01,6475,True,6989
DC15,DC32,DC15->DC32,2023-01-01,0,False,0
DC15,DC33,DC15->DC33,2023-01-01,0,False,0
DC15,DC34,DC15->DC34,2023-01-01,0,False,0
DC15,DC35,DC15->DC35,2023-01-01,3,False,3
DC15,DC4,DC15->DC4,2023-01-01,48,False,52
DC15,DC40,DC15->DC40,2023-01-01,0,False,0
DC15,DC5,DC15->DC5,2023-01-01,2766,False,2986
DC15,DC62,DC15->DC62,2023-01-01,6628,False,7154
DC15,DC64,DC15->DC64,2023-01-01,0,False,0
DC15,DC65,DC15->DC65,2023-01-01,0,False,0
DC15,DC70,DC15->DC70,2023-01-01,6,False,6
DC15,DC8,DC15->DC8,2023-01-01,15445,False,16671
DC15,DC81,DC15->DC81,2023-01-01,0,False,0
DC15,DC9,DC15->DC9,2023-01-01,35501,True,38320
DC16,DC10,DC16->DC10,2023-01-01,0,False,0
DC16,DC14,DC16->DC14,2023-01-01,0,False,0
DC16,DC35,DC16->DC35,2023-01-01,0,False,0
DC16,DC4,DC16->DC4,2023-01-01,0,False,0
DC16,DC5,DC16->DC5,2023-01-01,0,False,0
DC16,DC62,DC16->DC62,2023-01-01,0,False,0
DC16,DC70,DC16->DC70,2023-01-01,0,False,0
DC16,DC8,DC16->DC8,2023-01-01,0,False,0
DC17,DC10,DC17->DC10,2023-01-01,13847,False,14947
DC17,DC12,DC17->DC12,2023-01-01,0,False,0
DC17,DC14,DC17->DC14,2023-01-01,10293,False,11110
DC17,DC20,DC17->DC20,2023-01-01,0,False,0
DC17,DC29,DC17->DC29,2023-01-01,0,False,0
DC17,DC3,DC17->DC3,2023-01-01,13927,True,15033
DC17,DC32,DC17->DC32,2023-01-01,0,False,0
DC17,DC34,DC17->DC34,2023-01-01,0,False,0
DC17,DC35,DC17->DC35,2023-01-01,93,False,100
