方案,日期,原线路,需求类型,替代场地1,替代场地2,替代线路,分流货量
min_changed_plus_0,2023-01-01,DC10->DC5,入DC5,DC10,DC3,DC10->DC3,7657
min_changed_plus_0,2023-01-01,DC14->DC5,入DC5,DC14,DC9,DC14->DC9,15971
min_changed_plus_0,2023-01-01,DC15->DC5,入DC5,DC15,DC3,DC15->DC3,3118
min_changed_plus_0,2023-01-01,DC17->DC5,入DC5,DC17,DC62,DC17->DC62,8486
min_changed_plus_0,2023-01-01,DC19->DC5,入DC5,DC19,DC12,DC19->DC12,5906
min_changed_plus_0,2023-01-01,DC20->DC5,入DC5,DC20,DC3,DC20->DC3,5162
min_changed_plus_0,2023-01-01,DC22->DC5,入DC5,DC22,DC3,DC22->DC3,5328
min_changed_plus_0,2023-01-01,DC23->DC5,入DC5,DC23,DC4,DC23->DC4,6984
min_changed_plus_0,2023-01-01,DC25->DC5,入DC5,DC25,DC62,DC25->DC62,3307
min_changed_plus_0,2023-01-01,DC26->DC5,入DC5,DC26,DC62,DC26->DC62,1295
min_changed_plus_0,2023-01-01,DC27->DC5,入DC5,DC27,DC8,DC27->DC8,2355
min_changed_plus_0,2023-01-01,DC28->DC5,入DC5,DC28,DC64,DC28->DC64,2304
min_changed_plus_0,2023-01-01,DC30->DC5,入DC5,DC30,DC3,DC30->DC3,1875
min_changed_plus_0,2023-01-01,DC31->DC5,入DC5,DC31,DC4,DC31->DC4,176
min_changed_plus_0,2023-01-01,DC34->DC5,入DC5,DC34,DC4,DC34->DC4,15
min_changed_plus_0,2023-01-01,DC36->DC5,入DC5,DC36,DC14,DC36->DC14,8784
min_changed_plus_0,2023-01-01,DC38->DC5,入DC5,DC38,DC62,DC38->DC62,2387
min_changed_plus_0,2023-01-01,DC4->DC5,入DC5,DC4,DC62,DC4->DC62,6
min_changed_plus_0,2023-01-01,DC40->DC5,入DC5,DC40,DC9,DC40->DC9,4
min_changed_plus_0,2023-01-01,DC42->DC5,入DC5,DC42,DC9,DC42->DC9,435
min_changed_plus_0,2023-01-01,DC43->DC5,入DC5,DC43,DC14,DC43->DC14,576
min_changed_plus_0,2023-01-01,DC44->DC5,入DC5,DC44,DC3,DC44->DC3,2266
min_changed_plus_0,2023-01-01,DC46->DC5,入DC5,DC46,DC35,DC46->DC35,925
min_changed_plus_0,2023-01-01,DC47->DC5,入DC5,DC47,DC62,DC47->DC62,1428
min_changed_plus_0,2023-01-01,DC48->DC5,入DC5,DC48,DC8,DC48->DC8,1376
min_changed_plus_0,2023-01-01,DC5->DC10,出DC5,DC53,DC10,DC53->DC10,237
min_changed_plus_0,2023-01-01,DC5->DC14,出DC5,DC62,DC14,DC62->DC14,93
min_changed_plus_0,2023-01-01,DC5->DC35,出DC5,DC46,DC35,DC46->DC35,2
min_changed_plus_0,2023-01-01,DC5->DC4,出DC5,DC7,DC4,DC7->DC4,722
min_changed_plus_0,2023-01-01,DC5->DC62,出DC5,DC26,DC62,DC26->DC62,171
