scheme,date,original_edge,demand_type,alternative_origin,alternative_dest,alternative_edge,is_new_opened_line,allocated_volume,unserved_volume
min_changed_plus_2,2023-01-01,DC14->DC9,inbound_to_closed_site,DC14,DC8,DC14->DC8,False,168355,0
min_changed_plus_2,2023-01-01,DC15->DC9,inbound_to_closed_site,DC15,DC17,DC15->DC17,True,35501,0
min_changed_plus_2,2023-01-01,DC25->DC9,inbound_to_closed_site,DC25,DC8,DC25->DC8,False,58430,0
min_changed_plus_2,2023-01-01,DC26->DC9,inbound_to_closed_site,DC26,DC22,DC26->DC22,True,13019,0
min_changed_plus_2,2023-01-01,DC41->DC9,inbound_to_closed_site,DC41,DC17,DC41->DC17,True,17817,0
min_changed_plus_2,2023-01-01,DC42->DC9,inbound_to_closed_site,DC42,DC5,DC42->DC5,False,31,0
min_changed_plus_2,2023-01-01,DC43->DC9,inbound_to_closed_site,DC43,DC62,DC43->DC62,False,6819,0
min_changed_plus_2,2023-01-01,DC44->DC9,inbound_to_closed_site,DC44,DC3,DC44->DC3,False,1147,0
min_changed_plus_2,2023-01-01,DC45->DC9,inbound_to_closed_site,DC45,DC22,DC45->DC22,True,6608,0
min_changed_plus_2,2023-01-01,DC46->DC9,inbound_to_closed_site,DC46,DC10,DC46->DC10,False,14167,0
min_changed_plus_2,2023-01-01,DC47->DC9,inbound_to_closed_site,DC47,DC3,DC47->DC3,False,617,0
min_changed_plus_2,2023-01-01,DC48->DC9,inbound_to_closed_site,DC48,DC55,DC48->DC55,True,789,0
min_changed_plus_2,2023-01-01,DC50->DC9,inbound_to_closed_site,DC50,DC55,DC50->DC55,True,87,0
min_changed_plus_2,2023-01-01,DC51->DC9,inbound_to_closed_site,DC51,DC8,DC51->DC8,False,36925,0
min_changed_plus_2,2023-01-01,DC58->DC9,inbound_to_closed_site,DC58,DC17,DC58->DC17,True,17227,0
min_changed_plus_2,2023-01-01,DC7->DC9,inbound_to_closed_site,DC7,DC64,DC7->DC64,True,4648,0
min_changed_plus_2,2023-01-01,DC9->DC14,outbound_from_closed_site,DC17,DC14,DC17->DC14,False,35348,0
min_changed_plus_2,2023-01-01,DC9->DC3,outbound_from_closed_site,DC44,DC3,DC44->DC3,False,22547,0
min_changed_plus_2,2023-01-01,DC9->DC3,outbound_from_closed_site,DC47,DC3,DC47->DC3,False,5159,0
min_changed_plus_2,2023-01-01,DC9->DC5,outbound_from_closed_site,DC8,DC5,DC8->DC5,False,16479,0
min_changed_plus_2,2023-01-02,DC14->DC9,inbound_to_closed_site,DC14,DC4,DC14->DC4,False,96619,0
min_changed_plus_2,2023-01-02,DC15->DC9,inbound_to_closed_site,DC15,DC17,DC15->DC17,True,22903,0
min_changed_plus_2,2023-01-02,DC25->DC9,inbound_to_closed_site,DC25,DC17,DC25->DC17,True,80683,0
min_changed_plus_2,2023-01-02,DC26->DC9,inbound_to_closed_site,DC26,DC22,DC26->DC22,True,11378,0
min_changed_plus_2,2023-01-02,DC41->DC9,inbound_to_closed_site,DC41,DC17,DC41->DC17,True,35553,0
min_changed_plus_2,2023-01-02,DC42->DC9,inbound_to_closed_site,DC42,DC64,DC42->DC64,True,20,0
min_changed_plus_2,2023-01-02,DC43->DC9,inbound_to_closed_site,DC43,DC14,DC43->DC14,False,6512,0
min_changed_plus_2,2023-01-02,DC44->DC9,inbound_to_closed_site,DC44,DC14,DC44->DC14,False,462,0
min_changed_plus_2,2023-01-02,DC45->DC9,inbound_to_closed_site,DC45,DC22,DC45->DC22,True,5058,0
min_changed_plus_2,2023-01-02,DC46->DC9,inbound_to_closed_site,DC46,DC8,DC46->DC8,False,15389,0
min_changed_plus_2,2023-01-02,DC47->DC9,inbound_to_closed_site,DC47,DC14,DC47->DC14,False,2199,0
min_changed_plus_2,2023-01-02,DC48->DC9,inbound_to_closed_site,DC48,DC14,DC48->DC14,False,250,0
min_changed_plus_2,2023-01-02,DC50->DC9,inbound_to_closed_site,DC50,DC3,DC50->DC3,False,248,0
min_changed_plus_2,2023-01-02,DC51->DC9,inbound_to_closed_site,DC51,DC8,DC51->DC8,False,27863,0
min_changed_plus_2,2023-01-02,DC58->DC9,inbound_to_closed_site,DC58,DC17,DC58->DC17,True,5968,0
min_changed_plus_2,2023-01-02,DC7->DC9,inbound_to_closed_site,DC7,DC64,DC7->DC64,True,4499,0
min_changed_plus_2,2023-01-02,DC9->DC14,outbound_from_closed_site,DC47,DC14,DC47->DC14,False,29141,0
min_changed_plus_2,2023-01-02,DC9->DC3,outbound_from_closed_site,DC50,DC3,DC50->DC3,False,4092,0
min_changed_plus_2,2023-01-02,DC9->DC3,outbound_from_closed_site,DC64,DC3,DC64->DC3,True,9683,0
min_changed_plus_2,2023-01-02,DC9->DC5,outbound_from_closed_site,DC51,DC5,DC51->DC5,False,13989,0
min_changed_plus_2,2023-01-03,DC14->DC9,inbound_to_closed_site,DC14,DC8,DC14->DC8,False,212788,0
min_changed_plus_2,2023-01-03,DC15->DC9,inbound_to_closed_site,DC15,DC17,DC15->DC17,True,21802,0
min_changed_plus_2,2023-01-03,DC25->DC9,inbound_to_closed_site,DC25,DC8,DC25->DC8,False,46513,0
min_changed_plus_2,2023-01-03,DC26->DC9,inbound_to_closed_site,DC26,DC19,DC26->DC19,True,14084,0
min_changed_plus_2,2023-01-03,DC41->DC9,inbound_to_closed_site,DC41,DC17,DC41->DC17,True,24173,0
min_changed_plus_2,2023-01-03,DC42->DC9,inbound_to_closed_site,DC42,DC19,DC42->DC19,True,16,0
min_changed_plus_2,2023-01-03,DC43->DC9,inbound_to_closed_site,DC43,DC62,DC43->DC62,False,7014,0
min_changed_plus_2,2023-01-03,DC44->DC9,inbound_to_closed_site,DC44,DC14,DC44->DC14,False,2654,0
min_changed_plus_2,2023-01-03,DC45->DC9,inbound_to_closed_site,DC45,DC22,DC45->DC22,True,5870,0
min_changed_plus_2,2023-01-03,DC46->DC9,inbound_to_closed_site,DC46,DC8,DC46->DC8,False,16523,0
min_changed_plus_2,2023-01-03,DC47->DC9,inbound_to_closed_site,DC47,DC14,DC47->DC14,False,4983,0
min_changed_plus_2,2023-01-03,DC48->DC9,inbound_to_closed_site,DC48,DC22,DC48->DC22,True,72,0
min_changed_plus_2,2023-01-03,DC50->DC9,inbound_to_closed_site,DC50,DC14,DC50->DC14,False,19,0
min_changed_plus_2,2023-01-03,DC51->DC9,inbound_to_closed_site,DC51,DC19,DC51->DC19,True,13613,0
min_changed_plus_2,2023-01-03,DC58->DC9,inbound_to_closed_site,DC58,DC4,DC58->DC4,False,593,0
min_changed_plus_2,2023-01-03,DC7->DC9,inbound_to_closed_site,DC7,DC4,DC7->DC4,False,2557,0
min_changed_plus_2,2023-01-03,DC9->DC14,outbound_from_closed_site,DC47,DC14,DC47->DC14,False,31896,0
min_changed_plus_2,2023-01-03,DC9->DC3,outbound_from_closed_site,DC22,DC3,DC22->DC3,False,14586,0
min_changed_plus_2,2023-01-03,DC9->DC5,outbound_from_closed_site,DC8,DC5,DC8->DC5,False,13590,0
min_changed_plus_2,2023-01-04,DC14->DC9,inbound_to_closed_site,DC14,DC4,DC14->DC4,False,107453,0
min_changed_plus_2,2023-01-04,DC15->DC9,inbound_to_closed_site,DC15,DC17,DC15->DC17,True,10895,0
min_changed_plus_2,2023-01-04,DC25->DC9,inbound_to_closed_site,DC25,DC8,DC25->DC8,False,5311,0
min_changed_plus_2,2023-01-04,DC26->DC9,inbound_to_closed_site,DC26,DC19,DC26->DC19,True,15219,0
min_changed_plus_2,2023-01-04,DC41->DC9,inbound_to_closed_site,DC41,DC5,DC41->DC5,False,5551,0
min_changed_plus_2,2023-01-04,DC42->DC9,inbound_to_closed_site,DC42,DC19,DC42->DC19,True,4002,0
min_changed_plus_2,2023-01-04,DC43->DC9,inbound_to_closed_site,DC43,DC62,DC43->DC62,False,8318,0
min_changed_plus_2,2023-01-04,DC44->DC9,inbound_to_closed_site,DC44,DC8,DC44->DC8,False,19460,0
