origin,dest,edge,connected_existing_site,direction_type,new_line_capacity,site_importance_score,site_forecast_daily_max,site_forecast_total,site_role,inbound_share,outbound_share,selection_reason
DC14,DC_NEW,DC14->DC_NEW,DC14,to_new_site,380000,0.9246913580246912,689563.0,16888698.0,source,0.25847279642279114,0.7415272035772088,core_importance
DC_NEW,DC9,DC_NEW->DC9,DC9,from_new_site,355000,0.9165123456790124,644980.0,13700966.0,sink,0.9060064085992183,0.0939935914007815,core_importance+overload_path
DC_NEW,DC10,DC_NEW->DC10,DC10,from_new_site,166000,0.8976851851851853,301457.0,7887321.0,sink,0.7105743509107845,0.2894256490892154,core_importance
DC_NEW,DC3,DC_NEW->DC3,DC3,from_new_site,151000,0.8919753086419754,272968.0,5108060.0,sink,0.9999999999999998,0.0,core_importance+overload_path
DC_NEW,DC4,DC_NEW->DC4,DC4,from_new_site,178000,0.8876543209876543,322057.0,9031602.0,sink,0.9990077064954809,0.0009922935045189102,core_importance
DC_NEW,DC8,DC_NEW->DC8,DC8,from_new_site,186000,0.8814814814814814,337763.0,8904700.0,sink,0.8449326760025603,0.15506732399743953,core_importance
DC_NEW,DC5,DC_NEW->DC5,DC5,from_new_site,100000,0.8759259259259259,131176.0,3214028.0,sink,0.9836099747730882,0.016390025226911523,core_importance+overload_path
DC_NEW,DC62,DC_NEW->DC62,DC62,from_new_site,138000,0.8708333333333331,249778.0,6671447.0,sink,0.7827219492263071,0.2172780507736927,core_importance
DC25,DC_NEW,DC25->DC_NEW,DC25,to_new_site,100000,0.8162037037037037,139005.0,2447316.0,source,0.0,0.9999999999999997,high_failure_neighbor
DC51,DC_NEW,DC51->DC_NEW,DC51,to_new_site,100000,0.775,120421.0,2224369.0,source,0.0,0.9999999999999996,high_failure_neighbor
DC15,DC_NEW,DC15->DC_NEW,DC15,to_new_site,100000,0.7561728395061729,122306.0,2046882.0,source,0.0,0.9999999999999996,high_failure_neighbor
DC36,DC_NEW,DC36->DC_NEW,DC36,to_new_site,100000,0.8058641975308642,127663.0,3174596.0,source,0.0,0.9999999999999997,high_failure_neighbor
DC44,DC_NEW,DC44->DC_NEW,DC44,to_new_site,100000,0.7271604938271605,76696.0,1654731.0,source,0.0,0.9999999999999994,high_failure_neighbor
DC23,DC_NEW,DC23->DC_NEW,DC23,to_new_site,100000,0.8141975308641975,113761.0,2983140.0,source,0.0,0.9999999999999997,high_failure_neighbor
DC9,DC_NEW,DC9->DC_NEW,DC9,to_new_site,355000,0.9165123456790124,644980.0,13700966.0,sink,0.9060064085992183,0.0939935914007815,overload_path
DC_NEW,DC14,DC_NEW->DC14,DC14,from_new_site,380000,0.9246913580246912,689563.0,16888698.0,source,0.25847279642279114,0.7415272035772088,overload_path
