场地1,场地2,edge,日期,预测货量,原LightGBM预测货量
DC14,DC10,DC14->DC10,2023-01-01,30157,28138
DC20,DC35,DC20->DC35,2023-01-01,12,11
DC25,DC62,DC25->DC62,2023-01-01,7739,7221
DC14,DC10,DC14->DC10,2023-01-02,32838,30639
DC20,DC35,DC20->DC35,2023-01-02,24,22
DC25,DC62,DC25->DC62,2023-01-02,9930,9265
DC14,DC10,DC14->DC10,2023-01-03,33098,30882
DC20,DC35,DC20->DC35,2023-01-03,21,20
DC25,DC62,DC25->DC62,2023-01-03,10894,10165
DC14,DC10,DC14->DC10,2023-01-04,31117,29033
DC20,DC35,DC20->DC35,2023-01-04,24,22
DC25,DC62,DC25->DC62,2023-01-04,10155,9475
DC14,DC10,DC14->DC10,2023-01-05,32956,30749
DC20,DC35,DC20->DC35,2023-01-05,24,22
DC25,DC62,DC25->DC62,2023-01-05,10075,9400
DC14,DC10,DC14->DC10,2023-01-06,33331,31099
DC20,DC35,DC20->DC35,2023-01-06,20,19
DC25,DC62,DC25->DC62,2023-01-06,10620,9909
DC14,DC10,DC14->DC10,2023-01-07,30630,28579
DC20,DC35,DC20->DC35,2023-01-07,11,10
DC25,DC62,DC25->DC62,2023-01-07,9138,8526
DC14,DC10,DC14->DC10,2023-01-08,30218,28195
DC20,DC35,DC20->DC35,2023-01-08,10,9
DC25,DC62,DC25->DC62,2023-01-08,8917,8320
DC14,DC10,DC14->DC10,2023-01-09,28866,26933
DC20,DC35,DC20->DC35,2023-01-09,14,13
DC25,DC62,DC25->DC62,2023-01-09,10669,9955
DC14,DC10,DC14->DC10,2023-01-10,28788,26860
DC20,DC35,DC20->DC35,2023-01-10,14,13
DC25,DC62,DC25->DC62,2023-01-10,10430,9732
DC14,DC10,DC14->DC10,2023-01-11,28866,26933
DC20,DC35,DC20->DC35,2023-01-11,14,13
DC25,DC62,DC25->DC62,2023-01-11,10367,9673
DC14,DC10,DC14->DC10,2023-01-12,28741,26817
DC20,DC35,DC20->DC35,2023-01-12,13,12
DC25,DC62,DC25->DC62,2023-01-12,10237,9552
DC14,DC10,DC14->DC10,2023-01-13,28834,26903
DC20,DC35,DC20->DC35,2023-01-13,13,12
DC25,DC62,DC25->DC62,2023-01-13,10437,9738
DC14,DC10,DC14->DC10,2023-01-14,30272,28245
DC20,DC35,DC20->DC35,2023-01-14,9,8
DC25,DC62,DC25->DC62,2023-01-14,9143,8531
DC14,DC10,DC14->DC10,2023-01-15,30218,28195
DC20,DC35,DC20->DC35,2023-01-15,8,7
DC25,DC62,DC25->DC62,2023-01-15,8956,8356
DC14,DC10,DC14->DC10,2023-01-16,30539,28494
DC20,DC35,DC20->DC35,2023-01-16,8,7
DC25,DC62,DC25->DC62,2023-01-16,10486,9784
DC14,DC10,DC14->DC10,2023-01-17,29471,27498
DC20,DC35,DC20->DC35,2023-01-17,6,6
DC25,DC62,DC25->DC62,2023-01-17,10313,9622
DC14,DC10,DC14->DC10,2023-01-18,27509,25667
DC20,DC35,DC20->DC35,2023-01-18,6,6
DC25,DC62,DC25->DC62,2023-01-18,10196,9513
DC14,DC10,DC14->DC10,2023-01-19,29236,27278
DC20,DC35,DC20->DC35,2023-01-19,5,5
DC25,DC62,DC25->DC62,2023-01-19,9896,9233
DC14,DC10,DC14->DC10,2023-01-20,28015,26139
DC20,DC35,DC20->DC35,2023-01-20,8,7
DC25,DC62,DC25->DC62,2023-01-20,7865,7338
DC14,DC10,DC14->DC10,2023-01-21,15489,14452
DC20,DC35,DC20->DC35,2023-01-21,5,5
DC25,DC62,DC25->DC62,2023-01-21,2662,2484
DC14,DC10,DC14->DC10,2023-01-22,19308,18015
DC20,DC35,DC20->DC35,2023-01-22,6,6
DC25,DC62,DC25->DC62,2023-01-22,4171,3892
DC14,DC10,DC14->DC10,2023-01-23,21492,20053
DC20,DC35,DC20->DC35,2023-01-23,6,6
DC25,DC62,DC25->DC62,2023-01-23,4987,4653
DC14,DC10,DC14->DC10,2023-01-24,25956,24218
DC20,DC35,DC20->DC35,2023-01-24,8,7
DC25,DC62,DC25->DC62,2023-01-24,8869,8275
DC14,DC10,DC14->DC10,2023-01-25,26408,24640
DC20,DC35,DC20->DC35,2023-01-25,8,7
DC25,DC62,DC25->DC62,2023-01-25,10341,9649
DC14,DC10,DC14->DC10,2023-01-26,26093,24346
DC20,DC35,DC20->DC35,2023-01-26,9,8
DC25,DC62,DC25->DC62,2023-01-26,10092,9416
DC14,DC10,DC14->DC10,2023-01-27,26416,24647
DC20,DC35,DC20->DC35,2023-01-27,9,8
DC25,DC62,DC25->DC62,2023-01-27,9943,9277
DC14,DC10,DC14->DC10,2023-01-28,26686,24899
DC20,DC35,DC20->DC35,2023-01-28,9,8
DC25,DC62,DC25->DC62,2023-01-28,8668,8088
DC14,DC10,DC14->DC10,2023-01-29,27388,25554
DC20,DC35,DC20->DC35,2023-01-29,9,8
DC25,DC62,DC25->DC62,2023-01-29,7584,7076
DC14,DC10,DC14->DC10,2023-01-30,28171,26285
DC20,DC35,DC20->DC35,2023-01-30,9,8
DC25,DC62,DC25->DC62,2023-01-30,9539,8900
DC14,DC10,DC14->DC10,2023-01-31,28303,26408
DC20,DC35,DC20->DC35,2023-01-31,9,8
DC25,DC62,DC25->DC62,2023-01-31,11011,10274
