场地1,场地2,edge,日期,预测货量
DC1,DC8,DC1->DC8,2023-01-01,0
DC1,DC8,DC1->DC8,2023-01-02,0
DC1,DC8,DC1->DC8,2023-01-03,0
DC1,DC8,DC1->DC8,2023-01-04,0
DC1,DC8,DC1->DC8,2023-01-05,0
DC1,DC8,DC1->DC8,2023-01-06,0
DC1,DC8,DC1->DC8,2023-01-07,0
DC1,DC8,DC1->DC8,2023-01-08,0
DC1,DC8,DC1->DC8,2023-01-09,0
DC1,DC8,DC1->DC8,2023-01-10,0
DC1,DC8,DC1->DC8,2023-01-11,0
DC1,DC8,DC1->DC8,2023-01-12,0
DC1,DC8,DC1->DC8,2023-01-13,0
DC1,DC8,DC1->DC8,2023-01-14,0
DC1,DC8,DC1->DC8,2023-01-15,0
DC1,DC8,DC1->DC8,2023-01-16,0
DC1,DC8,DC1->DC8,2023-01-17,0
DC1,DC8,DC1->DC8,2023-01-18,0
DC1,DC8,DC1->DC8,2023-01-19,0
DC1,DC8,DC1->DC8,2023-01-20,0
DC1,DC8,DC1->DC8,2023-01-21,0
DC1,DC8,DC1->DC8,2023-01-22,0
DC1,DC8,DC1->DC8,2023-01-23,0
DC1,DC8,DC1->DC8,2023-01-24,0
DC1,DC8,DC1->DC8,2023-01-25,0
DC1,DC8,DC1->DC8,2023-01-26,0
DC1,DC8,DC1->DC8,2023-01-27,0
DC1,DC8,DC1->DC8,2023-01-28,0
DC1,DC8,DC1->DC8,2023-01-29,0
DC1,DC8,DC1->DC8,2023-01-30,0
DC1,DC8,DC1->DC8,2023-01-31,0
DC10,DC12,DC10->DC12,2023-01-01,34
DC10,DC12,DC10->DC12,2023-01-02,58
DC10,DC12,DC10->DC12,2023-01-03,64
DC10,DC12,DC10->DC12,2023-01-04,51
DC10,DC12,DC10->DC12,2023-01-05,124
DC10,DC12,DC10->DC12,2023-01-06,107
DC10,DC12,DC10->DC12,2023-01-07,49
DC10,DC12,DC10->DC12,2023-01-08,60
DC10,DC12,DC10->DC12,2023-01-09,55
DC10,DC12,DC10->DC12,2023-01-10,33
DC10,DC12,DC10->DC12,2023-01-11,26
DC10,DC12,DC10->DC12,2023-01-12,67
DC10,DC12,DC10->DC12,2023-01-13,65
DC10,DC12,DC10->DC12,2023-01-14,35
DC10,DC12,DC10->DC12,2023-01-15,38
DC10,DC12,DC10->DC12,2023-01-16,37
DC10,DC12,DC10->DC12,2023-01-17,29
DC10,DC12,DC10->DC12,2023-01-18,57
DC10,DC12,DC10->DC12,2023-01-19,17
DC10,DC12,DC10->DC12,2023-01-20,12
DC10,DC12,DC10->DC12,2023-01-21,14
DC10,DC12,DC10->DC12,2023-01-22,4
DC10,DC12,DC10->DC12,2023-01-23,9
DC10,DC12,DC10->DC12,2023-01-24,12
DC10,DC12,DC10->DC12,2023-01-25,9
DC10,DC12,DC10->DC12,2023-01-26,20
DC10,DC12,DC10->DC12,2023-01-27,34
DC10,DC12,DC10->DC12,2023-01-28,26
DC10,DC12,DC10->DC12,2023-01-29,19
DC10,DC12,DC10->DC12,2023-01-30,25
DC10,DC12,DC10->DC12,2023-01-31,15
DC10,DC13,DC10->DC13,2023-01-01,0
DC10,DC13,DC10->DC13,2023-01-02,0
DC10,DC13,DC10->DC13,2023-01-03,0
DC10,DC13,DC10->DC13,2023-01-04,0
DC10,DC13,DC10->DC13,2023-01-05,0
DC10,DC13,DC10->DC13,2023-01-06,0
DC10,DC13,DC10->DC13,2023-01-07,0
DC10,DC13,DC10->DC13,2023-01-08,0
DC10,DC13,DC10->DC13,2023-01-09,1
DC10,DC13,DC10->DC13,2023-01-10,0
DC10,DC13,DC10->DC13,2023-01-11,0
DC10,DC13,DC10->DC13,2023-01-12,0
DC10,DC13,DC10->DC13,2023-01-13,0
DC10,DC13,DC10->DC13,2023-01-14,0
DC10,DC13,DC10->DC13,2023-01-15,0
DC10,DC13,DC10->DC13,2023-01-16,0
DC10,DC13,DC10->DC13,2023-01-17,0
DC10,DC13,DC10->DC13,2023-01-18,0
DC10,DC13,DC10->DC13,2023-01-19,0
DC10,DC13,DC10->DC13,2023-01-20,0
DC10,DC13,DC10->DC13,2023-01-21,0
DC10,DC13,DC10->DC13,2023-01-22,0
DC10,DC13,DC10->DC13,2023-01-23,0
