日期,预测货量
2023-01-01,1448755
2023-01-02,1416749
2023-01-03,1370470
2023-01-04,1348414
2023-01-05,1345378
2023-01-06,1508216
2023-01-07,1471470
2023-01-08,1465271
2023-01-09,1473042
2023-01-10,1681243
2023-01-11,1513193
2023-01-12,1706064
2023-01-13,1603655
2023-01-14,1556999
2023-01-15,1585834
2023-01-16,1578629
2023-01-17,1555331
2023-01-18,1536712
2023-01-19,1570583
2023-01-20,1479423
2023-01-21,1019585
2023-01-22,1279825
2023-01-23,1240165
2023-01-24,1309553
2023-01-25,1302077
2023-01-26,1333222
2023-01-27,1312464
2023-01-28,1412412
2023-01-29,1385980
2023-01-30,1307534
2023-01-31,1012159
