日期,预测货量
2023-01-01,1340411
2023-01-02,1388783
2023-01-03,1399971
2023-01-04,1390924
2023-01-05,1392851
2023-01-06,1393167
2023-01-07,1358258
2023-01-08,1326094
2023-01-09,1379629
2023-01-10,1373012
2023-01-11,1367107
2023-01-12,1362485
2023-01-13,1359874
2023-01-14,1325670
2023-01-15,1309360
2023-01-16,1352349
2023-01-17,1317889
2023-01-18,1299139
2023-01-19,1256669
2023-01-20,1093604
2023-01-21,550224
2023-01-22,735473
2023-01-23,829114
2023-01-24,948791
2023-01-25,1039646
2023-01-26,1067325
2023-01-27,1083457
2023-01-28,1054557
2023-01-29,1064766
2023-01-30,1116530
2023-01-31,1124825
