场地1,场地2,edge,日期,预测货量
DC14,DC10,DC14->DC10,2023-01-01,28138
DC20,DC35,DC20->DC35,2023-01-01,11
DC25,DC62,DC25->DC62,2023-01-01,7221
DC14,DC10,DC14->DC10,2023-01-02,30639
DC20,DC35,DC20->DC35,2023-01-02,22
DC25,DC62,DC25->DC62,2023-01-02,9265
DC14,DC10,DC14->DC10,2023-01-03,30882
DC20,DC35,DC20->DC35,2023-01-03,20
DC25,DC62,DC25->DC62,2023-01-03,10165
DC14,DC10,DC14->DC10,2023-01-04,29033
DC20,DC35,DC20->DC35,2023-01-04,22
DC25,DC62,DC25->DC62,2023-01-04,9475
DC14,DC10,DC14->DC10,2023-01-05,30749
DC20,DC35,DC20->DC35,2023-01-05,22
DC25,DC62,DC25->DC62,2023-01-05,9400
DC14,DC10,DC14->DC10,2023-01-06,31099
DC20,DC35,DC20->DC35,2023-01-06,19
DC25,DC62,DC25->DC62,2023-01-06,9909
DC14,DC10,DC14->DC10,2023-01-07,28579
DC20,DC35,DC20->DC35,2023-01-07,10
DC25,DC62,DC25->DC62,2023-01-07,8526
DC14,DC10,DC14->DC10,2023-01-08,28195
DC20,DC35,DC20->DC35,2023-01-08,9
DC25,DC62,DC25->DC62,2023-01-08,8320
DC14,DC10,DC14->DC10,2023-01-09,26933
DC20,DC35,DC20->DC35,2023-01-09,13
DC25,DC62,DC25->DC62,2023-01-09,9955
DC14,DC10,DC14->DC10,2023-01-10,26860
DC20,DC35,DC20->DC35,2023-01-10,13
DC25,DC62,DC25->DC62,2023-01-10,9732
DC14,DC10,DC14->DC10,2023-01-11,26933
DC20,DC35,DC20->DC35,2023-01-11,13
DC25,DC62,DC25->DC62,2023-01-11,9673
DC14,DC10,DC14->DC10,2023-01-12,26817
DC20,DC35,DC20->DC35,2023-01-12,12
DC25,DC62,DC25->DC62,2023-01-12,9552
DC14,DC10,DC14->DC10,2023-01-13,26903
DC20,DC35,DC20->DC35,2023-01-13,12
DC25,DC62,DC25->DC62,2023-01-13,9738
DC14,DC10,DC14->DC10,2023-01-14,28245
DC20,DC35,DC20->DC35,2023-01-14,8
DC25,DC62,DC25->DC62,2023-01-14,8531
DC14,DC10,DC14->DC10,2023-01-15,28195
DC20,DC35,DC20->DC35,2023-01-15,7
DC25,DC62,DC25->DC62,2023-01-15,8356
DC14,DC10,DC14->DC10,2023-01-16,28494
DC20,DC35,DC20->DC35,2023-01-16,7
DC25,DC62,DC25->DC62,2023-01-16,9784
DC14,DC10,DC14->DC10,2023-01-17,27498
DC20,DC35,DC20->DC35,2023-01-17,6
DC25,DC62,DC25->DC62,2023-01-17,9622
DC14,DC10,DC14->DC10,2023-01-18,25667
DC20,DC35,DC20->DC35,2023-01-18,6
DC25,DC62,DC25->DC62,2023-01-18,9513
DC14,DC10,DC14->DC10,2023-01-19,27278
DC20,DC35,DC20->DC35,2023-01-19,5
DC25,DC62,DC25->DC62,2023-01-19,9233
DC14,DC10,DC14->DC10,2023-01-20,26139
DC20,DC35,DC20->DC35,2023-01-20,7
DC25,DC62,DC25->DC62,2023-01-20,7338
DC14,DC10,DC14->DC10,2023-01-21,14452
DC20,DC35,DC20->DC35,2023-01-21,5
DC25,DC62,DC25->DC62,2023-01-21,2484
DC14,DC10,DC14->DC10,2023-01-22,18015
DC20,DC35,DC20->DC35,2023-01-22,6
DC25,DC62,DC25->DC62,2023-01-22,3892
DC14,DC10,DC14->DC10,2023-01-23,20053
DC20,DC35,DC20->DC35,2023-01-23,6
DC25,DC62,DC25->DC62,2023-01-23,4653
DC14,DC10,DC14->DC10,2023-01-24,24218
DC20,DC35,DC20->DC35,2023-01-24,7
DC25,DC62,DC25->DC62,2023-01-24,8275
DC14,DC10,DC14->DC10,2023-01-25,24640
DC20,DC35,DC20->DC35,2023-01-25,7
DC25,DC62,DC25->DC62,2023-01-25,9649
DC14,DC10,DC14->DC10,2023-01-26,24346
DC20,DC35,DC20->DC35,2023-01-26,8
DC25,DC62,DC25->DC62,2023-01-26,9416
DC14,DC10,DC14->DC10,2023-01-27,24647
DC20,DC35,DC20->DC35,2023-01-27,8
DC25,DC62,DC25->DC62,2023-01-27,9277
DC14,DC10,DC14->DC10,2023-01-28,24899
DC20,DC35,DC20->DC35,2023-01-28,8
DC25,DC62,DC25->DC62,2023-01-28,8088
DC14,DC10,DC14->DC10,2023-01-29,25554
DC20,DC35,DC20->DC35,2023-01-29,8
DC25,DC62,DC25->DC62,2023-01-29,7076
DC14,DC10,DC14->DC10,2023-01-30,26285
DC20,DC35,DC20->DC35,2023-01-30,8
DC25,DC62,DC25->DC62,2023-01-30,8900
DC14,DC10,DC14->DC10,2023-01-31,26408
DC20,DC35,DC20->DC35,2023-01-31,8
DC25,DC62,DC25->DC62,2023-01-31,10274
