日期,预测货量
2023-01-01,1863153
2023-01-02,1966123
2023-01-03,2054611
2023-01-04,2065622
2023-01-05,2153255
2023-01-06,2198810
2023-01-07,2155597
2023-01-08,2216670
2023-01-09,2453939
2023-01-10,2523267
2023-01-11,2497220
2023-01-12,2495983
2023-01-13,2586832
2023-01-14,2519577
2023-01-15,2487812
2023-01-16,2685630
2023-01-17,2598126
2023-01-18,2551196
2023-01-19,2422759
2023-01-20,2063057
2023-01-21,1421886
2023-01-22,1663663
2023-01-23,1635558
2023-01-24,1930349
2023-01-25,2101625
2023-01-26,2184727
2023-01-27,2286579
2023-01-28,2350840
2023-01-29,2309226
2023-01-30,2473965
2023-01-31,2472736
