场地1,场地2,edge,日期,预测货量
DC14,DC10,DC14->DC10,2023-01-01,37144
DC20,DC35,DC20->DC35,2023-01-01,97
DC25,DC62,DC25->DC62,2023-01-01,7950
DC14,DC10,DC14->DC10,2023-01-02,41865
DC20,DC35,DC20->DC35,2023-01-02,258
DC25,DC62,DC25->DC62,2023-01-02,11829
DC14,DC10,DC14->DC10,2023-01-03,46857
DC20,DC35,DC20->DC35,2023-01-03,117
DC25,DC62,DC25->DC62,2023-01-03,13269
DC14,DC10,DC14->DC10,2023-01-04,45437
DC20,DC35,DC20->DC35,2023-01-04,182
DC25,DC62,DC25->DC62,2023-01-04,13691
DC14,DC10,DC14->DC10,2023-01-05,48157
DC20,DC35,DC20->DC35,2023-01-05,123
DC25,DC62,DC25->DC62,2023-01-05,14112
DC14,DC10,DC14->DC10,2023-01-06,48203
DC20,DC35,DC20->DC35,2023-01-06,120
DC25,DC62,DC25->DC62,2023-01-06,15033
DC14,DC10,DC14->DC10,2023-01-07,48290
DC20,DC35,DC20->DC35,2023-01-07,105
DC25,DC62,DC25->DC62,2023-01-07,10582
DC14,DC10,DC14->DC10,2023-01-08,49481
DC20,DC35,DC20->DC35,2023-01-08,106
DC25,DC62,DC25->DC62,2023-01-08,11073
DC14,DC10,DC14->DC10,2023-01-09,54064
DC20,DC35,DC20->DC35,2023-01-09,281
DC25,DC62,DC25->DC62,2023-01-09,18615
DC14,DC10,DC14->DC10,2023-01-10,56077
DC20,DC35,DC20->DC35,2023-01-10,218
DC25,DC62,DC25->DC62,2023-01-10,19007
DC14,DC10,DC14->DC10,2023-01-11,54287
DC20,DC35,DC20->DC35,2023-01-11,192
DC25,DC62,DC25->DC62,2023-01-11,19555
DC14,DC10,DC14->DC10,2023-01-12,54368
DC20,DC35,DC20->DC35,2023-01-12,193
DC25,DC62,DC25->DC62,2023-01-12,19838
DC14,DC10,DC14->DC10,2023-01-13,56094
DC20,DC35,DC20->DC35,2023-01-13,183
DC25,DC62,DC25->DC62,2023-01-13,20035
DC14,DC10,DC14->DC10,2023-01-14,56101
DC20,DC35,DC20->DC35,2023-01-14,94
DC25,DC62,DC25->DC62,2023-01-14,16466
DC14,DC10,DC14->DC10,2023-01-15,55949
DC20,DC35,DC20->DC35,2023-01-15,84
DC25,DC62,DC25->DC62,2023-01-15,14618
DC14,DC10,DC14->DC10,2023-01-16,59769
DC20,DC35,DC20->DC35,2023-01-16,163
DC25,DC62,DC25->DC62,2023-01-16,19918
DC14,DC10,DC14->DC10,2023-01-17,58458
DC20,DC35,DC20->DC35,2023-01-17,163
DC25,DC62,DC25->DC62,2023-01-17,17483
DC14,DC10,DC14->DC10,2023-01-18,59650
DC20,DC35,DC20->DC35,2023-01-18,150
DC25,DC62,DC25->DC62,2023-01-18,17503
DC14,DC10,DC14->DC10,2023-01-19,58738
DC20,DC35,DC20->DC35,2023-01-19,141
DC25,DC62,DC25->DC62,2023-01-19,17450
DC14,DC10,DC14->DC10,2023-01-20,51514
DC20,DC35,DC20->DC35,2023-01-20,88
DC25,DC62,DC25->DC62,2023-01-20,13856
DC14,DC10,DC14->DC10,2023-01-21,27113
DC20,DC35,DC20->DC35,2023-01-21,70
DC25,DC62,DC25->DC62,2023-01-21,8712
DC14,DC10,DC14->DC10,2023-01-22,38044
DC20,DC35,DC20->DC35,2023-01-22,71
DC25,DC62,DC25->DC62,2023-01-22,8829
DC14,DC10,DC14->DC10,2023-01-23,43387
DC20,DC35,DC20->DC35,2023-01-23,74
DC25,DC62,DC25->DC62,2023-01-23,9319
DC14,DC10,DC14->DC10,2023-01-24,55536
DC20,DC35,DC20->DC35,2023-01-24,82
DC25,DC62,DC25->DC62,2023-01-24,12906
DC14,DC10,DC14->DC10,2023-01-25,56224
DC20,DC35,DC20->DC35,2023-01-25,76
DC25,DC62,DC25->DC62,2023-01-25,13752
DC14,DC10,DC14->DC10,2023-01-26,56952
DC20,DC35,DC20->DC35,2023-01-26,88
DC25,DC62,DC25->DC62,2023-01-26,13419
DC14,DC10,DC14->DC10,2023-01-27,57543
DC20,DC35,DC20->DC35,2023-01-27,93
DC25,DC62,DC25->DC62,2023-01-27,15072
DC14,DC10,DC14->DC10,2023-01-28,58670
DC20,DC35,DC20->DC35,2023-01-28,75
DC25,DC62,DC25->DC62,2023-01-28,11439
DC14,DC10,DC14->DC10,2023-01-29,58463
DC20,DC35,DC20->DC35,2023-01-29,76
DC25,DC62,DC25->DC62,2023-01-29,11056
DC14,DC10,DC14->DC10,2023-01-30,63317
DC20,DC35,DC20->DC35,2023-01-30,110
DC25,DC62,DC25->DC62,2023-01-30,16361
DC14,DC10,DC14->DC10,2023-01-31,60353
DC20,DC35,DC20->DC35,2023-01-31,93
DC25,DC62,DC25->DC62,2023-01-31,16726
