日期,预测货量
2023-01-01,1607144
2023-01-02,1629705
2023-01-03,1628123
2023-01-04,1641609
2023-01-05,1649904
2023-01-06,1658913
2023-01-07,1630289
2023-01-08,1616075
2023-01-09,1707745
2023-01-10,1721310
2023-01-11,1717709
2023-01-12,1721052
2023-01-13,1720352
2023-01-14,1666559
2023-01-15,1646240
2023-01-16,1730335
2023-01-17,1697087
2023-01-18,1670099
2023-01-19,1634532
2023-01-20,1361939
2023-01-21,1007810
2023-01-22,1012094
2023-01-23,1019224
2023-01-24,1160653
2023-01-25,1322609
2023-01-26,1396490
2023-01-27,1402115
2023-01-28,1392087
2023-01-29,1371438
2023-01-30,1434223
2023-01-31,1453509
