场地1,场地2,edge,日期,预测货量
DC14,DC10,DC14->DC10,2023-01-01,29927
DC20,DC35,DC20->DC35,2023-01-01,77
DC25,DC62,DC25->DC62,2023-01-01,8348
DC14,DC10,DC14->DC10,2023-01-02,30813
DC20,DC35,DC20->DC35,2023-01-02,87
DC25,DC62,DC25->DC62,2023-01-02,10820
DC14,DC10,DC14->DC10,2023-01-03,30598
DC20,DC35,DC20->DC35,2023-01-03,109
DC25,DC62,DC25->DC62,2023-01-03,11308
DC14,DC10,DC14->DC10,2023-01-04,29239
DC20,DC35,DC20->DC35,2023-01-04,111
DC25,DC62,DC25->DC62,2023-01-04,11489
DC14,DC10,DC14->DC10,2023-01-05,29473
DC20,DC35,DC20->DC35,2023-01-05,126
DC25,DC62,DC25->DC62,2023-01-05,10439
DC14,DC10,DC14->DC10,2023-01-06,30147
DC20,DC35,DC20->DC35,2023-01-06,126
DC25,DC62,DC25->DC62,2023-01-06,11735
DC14,DC10,DC14->DC10,2023-01-07,29940
DC20,DC35,DC20->DC35,2023-01-07,95
DC25,DC62,DC25->DC62,2023-01-07,8869
DC14,DC10,DC14->DC10,2023-01-08,29229
DC20,DC35,DC20->DC35,2023-01-08,110
DC25,DC62,DC25->DC62,2023-01-08,9186
DC14,DC10,DC14->DC10,2023-01-09,31327
DC20,DC35,DC20->DC35,2023-01-09,150
DC25,DC62,DC25->DC62,2023-01-09,12043
DC14,DC10,DC14->DC10,2023-01-10,30799
DC20,DC35,DC20->DC35,2023-01-10,249
DC25,DC62,DC25->DC62,2023-01-10,12303
DC14,DC10,DC14->DC10,2023-01-11,31179
DC20,DC35,DC20->DC35,2023-01-11,267
DC25,DC62,DC25->DC62,2023-01-11,11896
DC14,DC10,DC14->DC10,2023-01-12,28781
DC20,DC35,DC20->DC35,2023-01-12,279
DC25,DC62,DC25->DC62,2023-01-12,11574
DC14,DC10,DC14->DC10,2023-01-13,28713
DC20,DC35,DC20->DC35,2023-01-13,281
DC25,DC62,DC25->DC62,2023-01-13,12084
DC14,DC10,DC14->DC10,2023-01-14,28665
DC20,DC35,DC20->DC35,2023-01-14,213
DC25,DC62,DC25->DC62,2023-01-14,9513
DC14,DC10,DC14->DC10,2023-01-15,28284
DC20,DC35,DC20->DC35,2023-01-15,224
DC25,DC62,DC25->DC62,2023-01-15,10117
DC14,DC10,DC14->DC10,2023-01-16,29300
DC20,DC35,DC20->DC35,2023-01-16,352
DC25,DC62,DC25->DC62,2023-01-16,12116
DC14,DC10,DC14->DC10,2023-01-17,28681
DC20,DC35,DC20->DC35,2023-01-17,310
DC25,DC62,DC25->DC62,2023-01-17,12402
DC14,DC10,DC14->DC10,2023-01-18,28483
DC20,DC35,DC20->DC35,2023-01-18,299
DC25,DC62,DC25->DC62,2023-01-18,11911
DC14,DC10,DC14->DC10,2023-01-19,26967
DC20,DC35,DC20->DC35,2023-01-19,292
DC25,DC62,DC25->DC62,2023-01-19,11949
DC14,DC10,DC14->DC10,2023-01-20,21526
DC20,DC35,DC20->DC35,2023-01-20,240
DC25,DC62,DC25->DC62,2023-01-20,9031
DC14,DC10,DC14->DC10,2023-01-21,18075
DC20,DC35,DC20->DC35,2023-01-21,176
DC25,DC62,DC25->DC62,2023-01-21,4962
DC14,DC10,DC14->DC10,2023-01-22,18037
DC20,DC35,DC20->DC35,2023-01-22,179
DC25,DC62,DC25->DC62,2023-01-22,5244
DC14,DC10,DC14->DC10,2023-01-23,18068
DC20,DC35,DC20->DC35,2023-01-23,226
DC25,DC62,DC25->DC62,2023-01-23,6149
DC14,DC10,DC14->DC10,2023-01-24,21343
DC20,DC35,DC20->DC35,2023-01-24,243
DC25,DC62,DC25->DC62,2023-01-24,7837
DC14,DC10,DC14->DC10,2023-01-25,26135
DC20,DC35,DC20->DC35,2023-01-25,303
DC25,DC62,DC25->DC62,2023-01-25,8801
DC14,DC10,DC14->DC10,2023-01-26,26446
DC20,DC35,DC20->DC35,2023-01-26,304
DC25,DC62,DC25->DC62,2023-01-26,10681
DC14,DC10,DC14->DC10,2023-01-27,26205
DC20,DC35,DC20->DC35,2023-01-27,302
DC25,DC62,DC25->DC62,2023-01-27,11004
DC14,DC10,DC14->DC10,2023-01-28,26782
DC20,DC35,DC20->DC35,2023-01-28,291
DC25,DC62,DC25->DC62,2023-01-28,9046
DC14,DC10,DC14->DC10,2023-01-29,25749
DC20,DC35,DC20->DC35,2023-01-29,294
DC25,DC62,DC25->DC62,2023-01-29,8856
DC14,DC10,DC14->DC10,2023-01-30,26528
DC20,DC35,DC20->DC35,2023-01-30,374
DC25,DC62,DC25->DC62,2023-01-30,10478
DC14,DC10,DC14->DC10,2023-01-31,26784
DC20,DC35,DC20->DC35,2023-01-31,366
DC25,DC62,DC25->DC62,2023-01-31,10547
