场地1,场地2,edge,日期,预测货量
DC14,DC10,DC14->DC10,2023-01-01,33585
DC14,DC10,DC14->DC10,2023-01-02,54388
DC14,DC10,DC14->DC10,2023-01-03,45494
DC14,DC10,DC14->DC10,2023-01-04,25832
DC14,DC10,DC14->DC10,2023-01-05,23548
DC14,DC10,DC14->DC10,2023-01-06,36067
DC14,DC10,DC14->DC10,2023-01-07,31964
DC14,DC10,DC14->DC10,2023-01-08,39290
DC14,DC10,DC14->DC10,2023-01-09,47385
DC14,DC10,DC14->DC10,2023-01-10,62752
DC14,DC10,DC14->DC10,2023-01-11,34356
DC14,DC10,DC14->DC10,2023-01-12,52764
DC14,DC10,DC14->DC10,2023-01-13,56874
DC14,DC10,DC14->DC10,2023-01-14,49072
DC14,DC10,DC14->DC10,2023-01-15,32726
DC14,DC10,DC14->DC10,2023-01-16,32191
DC14,DC10,DC14->DC10,2023-01-17,38517
DC14,DC10,DC14->DC10,2023-01-18,41431
DC14,DC10,DC14->DC10,2023-01-19,49203
DC14,DC10,DC14->DC10,2023-01-20,37730
DC14,DC10,DC14->DC10,2023-01-21,21819
DC14,DC10,DC14->DC10,2023-01-22,29453
DC14,DC10,DC14->DC10,2023-01-23,34800
DC14,DC10,DC14->DC10,2023-01-24,64945
DC14,DC10,DC14->DC10,2023-01-25,25679
DC14,DC10,DC14->DC10,2023-01-26,28263
DC14,DC10,DC14->DC10,2023-01-27,43191
DC14,DC10,DC14->DC10,2023-01-28,40984
DC14,DC10,DC14->DC10,2023-01-29,43347
DC14,DC10,DC14->DC10,2023-01-30,46044
DC14,DC10,DC14->DC10,2023-01-31,20222
DC20,DC35,DC20->DC35,2023-01-01,131
DC20,DC35,DC20->DC35,2023-01-02,101
DC20,DC35,DC20->DC35,2023-01-03,60
DC20,DC35,DC20->DC35,2023-01-04,65
DC20,DC35,DC20->DC35,2023-01-05,44
DC20,DC35,DC20->DC35,2023-01-06,153
DC20,DC35,DC20->DC35,2023-01-07,120
DC20,DC35,DC20->DC35,2023-01-08,51
DC20,DC35,DC20->DC35,2023-01-09,83
DC20,DC35,DC20->DC35,2023-01-10,65
DC20,DC35,DC20->DC35,2023-01-11,112
DC20,DC35,DC20->DC35,2023-01-12,66
DC20,DC35,DC20->DC35,2023-01-13,60
DC20,DC35,DC20->DC35,2023-01-14,148
DC20,DC35,DC20->DC35,2023-01-15,51
DC20,DC35,DC20->DC35,2023-01-16,101
DC20,DC35,DC20->DC35,2023-01-17,113
DC20,DC35,DC20->DC35,2023-01-18,123
DC20,DC35,DC20->DC35,2023-01-19,44
DC20,DC35,DC20->DC35,2023-01-20,41
DC20,DC35,DC20->DC35,2023-01-21,49
DC20,DC35,DC20->DC35,2023-01-22,62
DC20,DC35,DC20->DC35,2023-01-23,78
DC20,DC35,DC20->DC35,2023-01-24,109
DC20,DC35,DC20->DC35,2023-01-25,109
DC20,DC35,DC20->DC35,2023-01-26,93
DC20,DC35,DC20->DC35,2023-01-27,215
DC20,DC35,DC20->DC35,2023-01-28,139
DC20,DC35,DC20->DC35,2023-01-29,32
DC20,DC35,DC20->DC35,2023-01-30,70
DC20,DC35,DC20->DC35,2023-01-31,17
DC25,DC62,DC25->DC62,2023-01-01,4012
DC25,DC62,DC25->DC62,2023-01-02,5761
DC25,DC62,DC25->DC62,2023-01-03,5816
DC25,DC62,DC25->DC62,2023-01-04,4488
DC25,DC62,DC25->DC62,2023-01-05,4175
DC25,DC62,DC25->DC62,2023-01-06,5640
DC25,DC62,DC25->DC62,2023-01-07,9706
DC25,DC62,DC25->DC62,2023-01-08,8490
DC25,DC62,DC25->DC62,2023-01-09,6552
DC25,DC62,DC25->DC62,2023-01-10,11977
DC25,DC62,DC25->DC62,2023-01-11,12198
DC25,DC62,DC25->DC62,2023-01-12,11041
DC25,DC62,DC25->DC62,2023-01-13,10826
DC25,DC62,DC25->DC62,2023-01-14,7874
DC25,DC62,DC25->DC62,2023-01-15,7697
DC25,DC62,DC25->DC62,2023-01-16,7795
DC25,DC62,DC25->DC62,2023-01-17,11706
DC25,DC62,DC25->DC62,2023-01-18,11164
DC25,DC62,DC25->DC62,2023-01-19,7312
DC25,DC62,DC25->DC62,2023-01-20,8519
DC25,DC62,DC25->DC62,2023-01-21,11898
DC25,DC62,DC25->DC62,2023-01-22,7428
DC25,DC62,DC25->DC62,2023-01-23,8120
DC25,DC62,DC25->DC62,2023-01-24,6917
DC25,DC62,DC25->DC62,2023-01-25,7417
DC25,DC62,DC25->DC62,2023-01-26,9612
DC25,DC62,DC25->DC62,2023-01-27,9270
DC25,DC62,DC25->DC62,2023-01-28,8109
DC25,DC62,DC25->DC62,2023-01-29,6472
DC25,DC62,DC25->DC62,2023-01-30,6536
DC25,DC62,DC25->DC62,2023-01-31,5848
