场地1,场地2,edge,日期,预测货量,原LightGBM预测货量
DC1,DC8,DC1->DC8,2023-01-01,0,0
DC10,DC12,DC10->DC12,2023-01-01,0,0
DC10,DC13,DC10->DC13,2023-01-01,0,0
DC10,DC14,DC10->DC14,2023-01-01,11856,11062
DC10,DC17,DC10->DC17,2023-01-01,0,0
DC10,DC19,DC10->DC19,2023-01-01,0,0
DC10,DC20,DC10->DC20,2023-01-01,0,0
DC10,DC21,DC10->DC21,2023-01-01,0,0
DC10,DC22,DC10->DC22,2023-01-01,0,0
DC10,DC23,DC10->DC23,2023-01-01,0,0
DC10,DC25,DC10->DC25,2023-01-01,0,0
DC10,DC27,DC10->DC27,2023-01-01,0,0
DC10,DC28,DC10->DC28,2023-01-01,0,0
DC10,DC3,DC10->DC3,2023-01-01,4,4
DC10,DC30,DC10->DC30,2023-01-01,0,0
DC10,DC32,DC10->DC32,2023-01-01,0,0
DC10,DC33,DC10->DC33,2023-01-01,0,0
DC10,DC34,DC10->DC34,2023-01-01,0,0
DC10,DC35,DC10->DC35,2023-01-01,349,326
DC10,DC36,DC10->DC36,2023-01-01,0,0
DC10,DC38,DC10->DC38,2023-01-01,0,0
DC10,DC4,DC10->DC4,2023-01-01,50074,46721
DC10,DC40,DC10->DC40,2023-01-01,0,0
DC10,DC47,DC10->DC47,2023-01-01,0,0
DC10,DC5,DC10->DC5,2023-01-01,7657,7144
DC10,DC51,DC10->DC51,2023-01-01,0,0
DC10,DC59,DC10->DC59,2023-01-01,0,0
DC10,DC60,DC10->DC60,2023-01-01,0,0
DC10,DC61,DC10->DC61,2023-01-01,0,0
DC10,DC62,DC10->DC62,2023-01-01,13702,12785
DC10,DC64,DC10->DC64,2023-01-01,0,0
DC10,DC65,DC10->DC65,2023-01-01,0,0
DC10,DC67,DC10->DC67,2023-01-01,0,0
DC10,DC70,DC10->DC70,2023-01-01,542,506
DC10,DC73,DC10->DC73,2023-01-01,0,0
DC10,DC76,DC10->DC76,2023-01-01,0,0
DC10,DC78,DC10->DC78,2023-01-01,0,0
DC10,DC8,DC10->DC8,2023-01-01,1179,1100
DC10,DC80,DC10->DC80,2023-01-01,0,0
DC10,DC9,DC10->DC9,2023-01-01,0,0
DC11,DC10,DC11->DC10,2023-01-01,0,0
DC11,DC14,DC11->DC14,2023-01-01,0,0
DC11,DC22,DC11->DC22,2023-01-01,0,0
DC11,DC3,DC11->DC3,2023-01-01,0,0
DC11,DC5,DC11->DC5,2023-01-01,0,0
DC11,DC9,DC11->DC9,2023-01-01,0,0
DC12,DC10,DC12->DC10,2023-01-01,0,0
DC12,DC14,DC12->DC14,2023-01-01,0,0
DC12,DC23,DC12->DC23,2023-01-01,0,0
DC12,DC3,DC12->DC3,2023-01-01,0,0
DC12,DC32,DC12->DC32,2023-01-01,0,0
DC12,DC35,DC12->DC35,2023-01-01,0,0
DC12,DC36,DC12->DC36,2023-01-01,0,0
DC12,DC38,DC12->DC38,2023-01-01,0,0
DC12,DC40,DC12->DC40,2023-01-01,0,0
DC12,DC5,DC12->DC5,2023-01-01,0,0
DC12,DC67,DC12->DC67,2023-01-01,0,0
DC12,DC9,DC12->DC9,2023-01-01,0,0
DC13,DC10,DC13->DC10,2023-01-01,0,0
DC13,DC14,DC13->DC14,2023-01-01,0,0
DC13,DC15,DC13->DC15,2023-01-01,0,0
DC13,DC3,DC13->DC3,2023-01-01,0,0
DC13,DC4,DC13->DC4,2023-01-01,0,0
DC13,DC5,DC13->DC5,2023-01-01,0,0
DC13,DC62,DC13->DC62,2023-01-01,0,0
DC13,DC8,DC13->DC8,2023-01-01,0,0
DC13,DC9,DC13->DC9,2023-01-01,0,0
DC14,DC10,DC14->DC10,2023-01-01,30157,28138
DC14,DC11,DC14->DC11,2023-01-01,0,0
DC14,DC12,DC14->DC12,2023-01-01,0,0
DC14,DC13,DC14->DC13,2023-01-01,0,0
DC14,DC17,DC14->DC17,2023-01-01,0,0
DC14,DC19,DC14->DC19,2023-01-01,0,0
DC14,DC20,DC14->DC20,2023-01-01,0,0
DC14,DC21,DC14->DC21,2023-01-01,0,0
DC14,DC22,DC14->DC22,2023-01-01,0,0
DC14,DC23,DC14->DC23,2023-01-01,0,0
DC14,DC25,DC14->DC25,2023-01-01,0,0
DC14,DC3,DC14->DC3,2023-01-01,1,1
DC14,DC30,DC14->DC30,2023-01-01,0,0
DC14,DC32,DC14->DC32,2023-01-01,0,0
DC14,DC33,DC14->DC33,2023-01-01,0,0
DC14,DC34,DC14->DC34,2023-01-01,0,0
DC14,DC35,DC14->DC35,2023-01-01,478,446
DC14,DC36,DC14->DC36,2023-01-01,0,0
DC14,DC38,DC14->DC38,2023-01-01,0,0
DC14,DC4,DC14->DC4,2023-01-01,238,222
DC14,DC40,DC14->DC40,2023-01-01,0,0
DC14,DC43,DC14->DC43,2023-01-01,0,0
DC14,DC5,DC14->DC5,2023-01-01,15971,14902
DC14,DC61,DC14->DC61,2023-01-01,0,0
DC14,DC62,DC14->DC62,2023-01-01,29236,27278
DC14,DC64,DC14->DC64,2023-01-01,0,0
DC14,DC65,DC14->DC65,2023-01-01,0,0
DC14,DC67,DC14->DC67,2023-01-01,0,0
DC14,DC70,DC14->DC70,2023-01-01,328,306
DC14,DC76,DC14->DC76,2023-01-01,0,0
DC14,DC78,DC14->DC78,2023-01-01,0,0
DC14,DC8,DC14->DC8,2023-01-01,129973,121270
DC14,DC81,DC14->DC81,2023-01-01,0,0
DC14,DC9,DC14->DC9,2023-01-01,0,0
DC15,DC10,DC15->DC10,2023-01-01,7222,6738
DC15,DC12,DC15->DC12,2023-01-01,0,0
DC15,DC13,DC15->DC13,2023-01-01,0,0
