日期,预测货量,原LightGBM预测货量
2023-01-01,1436604,1340411
2023-01-02,1488453,1388783
2023-01-03,1500421,1399971
2023-01-04,1490744,1390924
2023-01-05,1492806,1392851
2023-01-06,1493146,1393167
2023-01-07,1455719,1358258
2023-01-08,1421262,1326094
2023-01-09,1478638,1379629
2023-01-10,1471541,1373012
2023-01-11,1465213,1367107
2023-01-12,1460267,1362485
2023-01-13,1457459,1359874
2023-01-14,1420806,1325670
2023-01-15,1403329,1309360
2023-01-16,1449396,1352349
2023-01-17,1412461,1317889
2023-01-18,1392364,1299139
2023-01-19,1346859,1256669
2023-01-20,1172075,1093604
2023-01-21,589698,550224
2023-01-22,788263,735473
2023-01-23,888607,829114
2023-01-24,1016878,948791
2023-01-25,1114253,1039646
2023-01-26,1143926,1067325
2023-01-27,1161216,1083457
2023-01-28,1130235,1054557
2023-01-29,1141181,1064766
2023-01-30,1196667,1116530
2023-01-31,1205553,1124825
