场地1,场地2,edge,日期,预测货量,线路能力,分流增加货量,调整后货量,线路负荷率
DC1,DC8,DC1->DC8,2023-01-01,0,3,0.0,0.0,0.0
DC10,DC12,DC10->DC12,2023-01-01,0,993,0.0,0.0,0.0
DC10,DC13,DC10->DC13,2023-01-01,0,6,0.0,0.0,0.0
DC10,DC14,DC10->DC14,2023-01-01,11856,31846,0.0,11856.0,0.37229165358286753
DC10,DC17,DC10->DC17,2023-01-01,0,5,0.0,0.0,0.0
DC10,DC19,DC10->DC19,2023-01-01,0,14,0.0,0.0,0.0
DC10,DC20,DC10->DC20,2023-01-01,0,11,0.0,0.0,0.0
DC10,DC21,DC10->DC21,2023-01-01,0,29,0.0,0.0,0.0
DC10,DC22,DC10->DC22,2023-01-01,0,27,0.0,0.0,0.0
DC10,DC23,DC10->DC23,2023-01-01,0,991,0.0,0.0,0.0
DC10,DC25,DC10->DC25,2023-01-01,0,4,0.0,0.0,0.0
DC10,DC27,DC10->DC27,2023-01-01,0,6,0.0,0.0,0.0
DC10,DC28,DC10->DC28,2023-01-01,0,8,0.0,0.0,0.0
DC10,DC3,DC10->DC3,2023-01-01,4,27671,0.0,4.0,0.00014455567200318022
DC10,DC30,DC10->DC30,2023-01-01,0,50,0.0,0.0,0.0
DC10,DC32,DC10->DC32,2023-01-01,0,206,0.0,0.0,0.0
DC10,DC33,DC10->DC33,2023-01-01,0,118,0.0,0.0,0.0
DC10,DC34,DC10->DC34,2023-01-01,0,200,0.0,0.0,0.0
DC10,DC35,DC10->DC35,2023-01-01,349,1914,0.0,349.0,0.18234064785788923
DC10,DC36,DC10->DC36,2023-01-01,0,55,0.0,0.0,0.0
DC10,DC38,DC10->DC38,2023-01-01,0,15,0.0,0.0,0.0
DC10,DC4,DC10->DC4,2023-01-01,50074,129442,0.0,50074.0,0.38684507346919855
DC10,DC40,DC10->DC40,2023-01-01,0,969,0.0,0.0,0.0
DC10,DC47,DC10->DC47,2023-01-01,0,2,0.0,0.0,0.0
DC10,DC51,DC10->DC51,2023-01-01,0,1,0.0,0.0,0.0
DC10,DC59,DC10->DC59,2023-01-01,0,32,0.0,0.0,0.0
DC10,DC60,DC10->DC60,2023-01-01,0,59,0.0,0.0,0.0
DC10,DC61,DC10->DC61,2023-01-01,0,3,0.0,0.0,0.0
DC10,DC62,DC10->DC62,2023-01-01,13702,32318,0.0,13702.0,0.4239742558326629
DC10,DC64,DC10->DC64,2023-01-01,0,12,0.0,0.0,0.0
DC10,DC65,DC10->DC65,2023-01-01,0,19,0.0,0.0,0.0
DC10,DC67,DC10->DC67,2023-01-01,0,20,0.0,0.0,0.0
DC10,DC70,DC10->DC70,2023-01-01,542,3842,0.0,542.0,0.14107235814679855
DC10,DC73,DC10->DC73,2023-01-01,0,4,0.0,0.0,0.0
DC10,DC76,DC10->DC76,2023-01-01,0,8,0.0,0.0,0.0
DC10,DC78,DC10->DC78,2023-01-01,0,5,0.0,0.0,0.0
DC10,DC8,DC10->DC8,2023-01-01,1179,57645,7657.0,8836.0,0.15328302541417296
DC10,DC80,DC10->DC80,2023-01-01,0,1,0.0,0.0,0.0
DC10,DC9,DC10->DC9,2023-01-01,0,15457,0.0,0.0,0.0
DC11,DC10,DC11->DC10,2023-01-01,0,9190,0.0,0.0,0.0
DC11,DC14,DC11->DC14,2023-01-01,0,2947,0.0,0.0,0.0
DC11,DC22,DC11->DC22,2023-01-01,0,2,0.0,0.0,0.0
DC11,DC3,DC11->DC3,2023-01-01,0,1920,0.0,0.0,0.0
