日期,原线路,替代场地1,替代场地2,替代线路,分流货量
2023-01-01,DC10->DC5,DC10,DC8,DC10->DC8,7657.0
2023-01-01,DC14->DC5,DC14,DC9,DC14->DC9,15971.0
2023-01-01,DC15->DC5,DC15,DC10,DC15->DC10,3118.0
2023-01-01,DC17->DC5,DC17,DC10,DC17->DC10,8486.0
2023-01-01,DC19->DC5,DC19,DC14,DC19->DC14,5906.0
2023-01-01,DC20->DC5,DC20,DC62,DC20->DC62,5162.0
2023-01-01,DC22->DC5,DC22,DC14,DC22->DC14,5328.0
2023-01-01,DC23->DC5,DC23,DC12,DC23->DC12,6984.0
2023-01-01,DC25->DC5,DC25,DC9,DC25->DC9,3307.0
2023-01-01,DC26->DC5,DC26,DC3,DC26->DC3,1295.0
2023-01-01,DC27->DC5,DC27,DC62,DC27->DC62,2355.0
2023-01-01,DC28->DC5,DC28,DC62,DC28->DC62,2304.0
2023-01-01,DC30->DC5,DC30,DC35,DC30->DC35,1875.0
2023-01-01,DC31->DC5,DC31,DC70,DC31->DC70,176.0
2023-01-01,DC34->DC5,DC34,DC4,DC34->DC4,15.0
2023-01-01,DC36->DC5,DC36,DC4,DC36->DC4,8784.0
2023-01-01,DC38->DC5,DC38,DC65,DC38->DC65,2387.0
2023-01-01,DC4->DC5,DC4,DC8,DC4->DC8,6.0
2023-01-01,DC40->DC5,DC40,DC12,DC40->DC12,4.0
2023-01-01,DC42->DC5,DC42,DC3,DC42->DC3,435.0
2023-01-01,DC43->DC5,DC43,DC4,DC43->DC4,576.0
2023-01-01,DC44->DC5,DC44,DC10,DC44->DC10,2266.0
2023-01-01,DC46->DC5,DC46,DC14,DC46->DC14,925.0
2023-01-01,DC47->DC5,DC47,DC10,DC47->DC10,1428.0
2023-01-01,DC48->DC5,DC48,DC8,DC48->DC8,1376.0
2023-01-01,DC5->DC10,DC62,DC10,DC62->DC10,237.0
2023-01-01,DC5->DC14,DC46,DC14,DC46->DC14,93.0
2023-01-01,DC5->DC35,DC30,DC35,DC30->DC35,2.0
2023-01-01,DC5->DC4,DC43,DC4,DC43->DC4,722.0
2023-01-01,DC5->DC62,DC60,DC62,DC60->DC62,171.0
2023-01-01,DC5->DC70,DC31,DC70,DC31->DC70,8.0
2023-01-01,DC5->DC8,DC69,DC8,DC69->DC8,9.0
2023-01-01,DC50->DC5,DC50,DC10,DC50->DC10,866.0
2023-01-01,DC51->DC5,DC51,DC10,DC51->DC10,3070.0
2023-01-01,DC52->DC5,DC52,DC10,DC52->DC10,46.0
2023-01-01,DC53->DC5,DC53,DC62,DC53->DC62,592.0
2023-01-01,DC55->DC5,DC55,DC3,DC55->DC3,40.0
2023-01-01,DC56->DC5,DC56,DC9,DC56->DC9,1.0
2023-01-01,DC59->DC5,DC59,DC8,DC59->DC8,317.0
2023-01-01,DC60->DC5,DC60,DC62,DC60->DC62,1838.0
2023-01-01,DC62->DC5,DC62,DC10,DC62->DC10,5243.0
2023-01-01,DC68->DC5,DC68,DC8,DC68->DC8,90.0
2023-01-01,DC69->DC5,DC69,DC8,DC69->DC8,206.0
2023-01-01,DC7->DC5,DC7,DC10,DC7->DC10,102.0
2023-01-01,DC71->DC5,DC71,DC12,DC71->DC12,18.0
2023-01-01,DC73->DC5,DC73,DC8,DC73->DC8,3694.0
2023-01-01,DC8->DC5,DC8,DC10,DC8->DC10,7009.0
2023-01-02,DC10->DC5,DC10,DC8,DC10->DC8,8017.0
2023-01-02,DC14->DC5,DC14,DC62,DC14->DC62,15378.0
2023-01-02,DC15->DC5,DC15,DC8,DC15->DC8,3152.0
2023-01-02,DC17->DC5,DC17,DC8,DC17->DC8,8895.0
2023-01-02,DC19->DC5,DC19,DC14,DC19->DC14,6019.0
2023-01-02,DC20->DC5,DC20,DC10,DC20->DC10,5323.0
2023-01-02,DC22->DC5,DC22,DC8,DC22->DC8,5743.0
2023-01-02,DC23->DC5,DC23,DC4,DC23->DC4,7421.0
2023-01-02,DC25->DC5,DC25,DC65,DC25->DC65,4422.0
2023-01-02,DC26->DC5,DC26,DC62,DC26->DC62,1413.0
2023-01-02,DC27->DC5,DC27,DC8,DC27->DC8,2481.0
2023-01-02,DC28->DC5,DC28,DC62,DC28->DC62,2544.0
2023-01-02,DC30->DC5,DC30,DC35,DC30->DC35,1787.0
2023-01-02,DC31->DC5,DC31,DC9,DC31->DC9,244.0
2023-01-02,DC34->DC5,DC34,DC12,DC34->DC12,24.0
2023-01-02,DC36->DC5,DC36,DC3,DC36->DC3,8085.0
2023-01-02,DC38->DC5,DC38,DC70,DC38->DC70,2915.0
2023-01-02,DC4->DC5,DC4,DC10,DC4->DC10,8.0
2023-01-02,DC40->DC5,DC40,DC12,DC40->DC12,4.0
2023-01-02,DC42->DC5,DC42,DC62,DC42->DC62,443.0
2023-01-02,DC43->DC5,DC43,DC9,DC43->DC9,795.0
2023-01-02,DC44->DC5,DC44,DC4,DC44->DC4,3012.0
2023-01-02,DC46->DC5,DC46,DC9,DC46->DC9,959.0
2023-01-02,DC47->DC5,DC47,DC12,DC47->DC12,1823.0
2023-01-02,DC48->DC5,DC48,DC8,DC48->DC8,1454.0
2023-01-02,DC5->DC10,DC59,DC10,DC59->DC10,184.0
2023-01-02,DC5->DC14,DC69,DC14,DC69->DC14,109.0
2023-01-02,DC5->DC35,DC30,DC35,DC30->DC35,1.0
2023-01-02,DC5->DC4,DC44,DC4,DC44->DC4,956.0
2023-01-02,DC5->DC62,DC51,DC62,DC51->DC62,179.0
2023-01-02,DC5->DC70,DC38,DC70,DC38->DC70,9.0
2023-01-02,DC5->DC8,DC17,DC8,DC17->DC8,6.0
2023-01-02,DC50->DC5,DC50,DC10,DC50->DC10,868.0
2023-01-02,DC51->DC5,DC51,DC62,DC51->DC62,3412.0
2023-01-02,DC52->DC5,DC52,DC8,DC52->DC8,49.0
2023-01-02,DC53->DC5,DC53,DC62,DC53->DC62,632.0
2023-01-02,DC55->DC5,DC55,DC3,DC55->DC3,40.0
2023-01-02,DC59->DC5,DC59,DC10,DC59->DC10,401.0
2023-01-02,DC60->DC5,DC60,DC62,DC60->DC62,1565.0
2023-01-02,DC62->DC5,DC62,DC14,DC62->DC14,5199.0
