日期,第一阶段状态,第二阶段状态,第三阶段状态,受影响货量,未正常流转货量,变化线路数,最大线路负荷率,平均线路负荷率,负荷率标准差,候选分流线路数,DC5相关线路数
2023-01-01,Optimal,Optimal,Optimal,112500.0,0.0,40,0.50993165,0.036901380645839255,0.08959133943039466,832,47
2023-01-02,Optimal,Optimal,Optimal,118221.0,0.0,39,0.49600198,0.03847894194104148,0.08912404007704704,827,46
2023-01-03,Optimal,Optimal,Optimal,119511.0,0.0,39,0.49240791,0.03951058109961139,0.09125783951430079,811,45
2023-01-04,Optimal,Optimal,Optimal,118565.0,0.0001,39,0.49200265,0.03874994282330332,0.09041716589845261,811,45
2023-01-05,Optimal,Optimal,Optimal,116794.0,0.0,39,0.49162806,0.03865159494788333,0.08977749342966944,811,45
2023-01-06,Optimal,Optimal,Optimal,118713.0,0.0,39,0.49649066,0.039041174307109315,0.09116192518642717,811,45
2023-01-07,Optimal,Optimal,Optimal,113559.0,0.0,39,0.49122916,0.036490209396183755,0.0877049711504089,811,45
2023-01-08,Optimal,Optimal,Optimal,110088.0,0.0,39,0.48162152,0.035058074024794175,0.08422653779650247,811,45
2023-01-09,Optimal,Optimal,Optimal,118126.0,0.0,39,0.48980351,0.038816036617122796,0.09063766539811631,811,45
2023-01-10,Optimal,Optimal,Optimal,118323.0,0.0,39,0.48980351,0.03942775500039135,0.09117745598177299,811,45
2023-01-11,Optimal,Optimal,Optimal,118426.0,0.0,39,0.49395649,0.039081567409817726,0.09080835071370152,811,45
2023-01-12,Optimal,Optimal,Optimal,117663.0,0.0001,39,0.5097798,0.03919257800614319,0.0910160091618931,811,45
2023-01-13,Optimal,Optimal,Optimal,118032.0,0.0,39,0.49377053,0.03904048395797717,0.09060814330603345,811,45
2023-01-14,Optimal,Optimal,Optimal,114044.0,0.0,39,0.49420443,0.03663184859808409,0.08756604176298231,811,45
2023-01-15,Optimal,Optimal,Optimal,110756.0,0.0,39,0.4845348,0.035030466075100644,0.08408736979803179,811,45
2023-01-16,Optimal,Optimal,Optimal,117049.0,0.0001,39,0.49717648,0.038552616403021836,0.0894469358772421,811,45
2023-01-17,Optimal,Optimal,Optimal,115180.0,0.0,39,0.48540259,0.037678143789425106,0.0877594109919611,811,45
2023-01-18,Optimal,Optimal,Optimal,111904.0,0.0001,39,0.4832797,0.03605044660397243,0.08536448470800044,811,45
2023-01-19,Optimal,Optimal,Optimal,106574.0,0.0001,39,0.47793236,0.033610190804513294,0.08019885196090118,811,45
2023-01-20,Optimal,Optimal,Optimal,89004.0,0.0001,39,0.41079701,0.028522607732494022,0.06806433097269012,811,45
2023-01-21,Optimal,Optimal,Optimal,39997.0,0.0,39,0.20253165,0.013774926337984753,0.03297080733564708,811,45
2023-01-22,Optimal,Optimal,Optimal,52154.0,0.0,39,0.27557411,0.017574220526347505,0.042710257499287335,811,45
2023-01-23,Optimal,Optimal,Optimal,60715.0,0.0,39,0.29936104,0.020422451989846255,0.04999791157792906,811,45
2023-01-24,Optimal,Optimal,Optimal,71144.0,0.0,39,0.36461694,0.02291050232717559,0.05716530627655567,811,45
2023-01-25,Optimal,Optimal,Optimal,85243.0,0.0,39,0.41907891,0.02576206378993544,0.06345203927084853,811,45
2023-01-26,Optimal,Optimal,Optimal,89104.0,0.0,39,0.45273663,0.026381716929908084,0.06677602504686894,811,45
2023-01-27,Optimal,Optimal,Optimal,87650.0,0.0,39,0.44071158,0.027761361100152725,0.06808165537147963,811,45
2023-01-28,Optimal,Optimal,Optimal,83491.0,0.0,39,0.44814976,0.026367229841459658,0.06559973188360715,811,45
2023-01-29,Optimal,Optimal,Optimal,85657.0,0.0,39,0.43940991,0.02627785315348322,0.06545181531881687,811,45
2023-01-30,Optimal,Optimal,Optimal,92782.0,0.0,39,0.4459183,0.029688241800991156,0.07075192494714762,811,45
2023-01-31,Optimal,Optimal,Optimal,93092.0,0.0,39,0.44616624,0.02968709777601209,0.07043688378063735,811,45
