方案,场地1,场地2,edge,日期,原预测货量,分流增加货量,调整后货量,线路能力,线路负荷率
min_changed_plus_0,DC1,DC8,DC1->DC8,2023-01-01,0,0,0,3,0.0
min_changed_plus_0,DC10,DC12,DC10->DC12,2023-01-01,0,0,0,993,0.0
min_changed_plus_0,DC10,DC13,DC10->DC13,2023-01-01,0,0,0,6,0.0
min_changed_plus_0,DC10,DC14,DC10->DC14,2023-01-01,11856,0,11856,31846,0.3722916535828675
min_changed_plus_0,DC10,DC17,DC10->DC17,2023-01-01,0,0,0,5,0.0
min_changed_plus_0,DC10,DC19,DC10->DC19,2023-01-01,0,0,0,14,0.0
min_changed_plus_0,DC10,DC20,DC10->DC20,2023-01-01,0,0,0,11,0.0
min_changed_plus_0,DC10,DC21,DC10->DC21,2023-01-01,0,0,0,29,0.0
min_changed_plus_0,DC10,DC22,DC10->DC22,2023-01-01,0,0,0,27,0.0
min_changed_plus_0,DC10,DC23,DC10->DC23,2023-01-01,0,0,0,991,0.0
min_changed_plus_0,DC10,DC25,DC10->DC25,2023-01-01,0,0,0,4,0.0
min_changed_plus_0,DC10,DC27,DC10->DC27,2023-01-01,0,0,0,6,0.0
min_changed_plus_0,DC10,DC28,DC10->DC28,2023-01-01,0,0,0,8,0.0
min_changed_plus_0,DC10,DC3,DC10->DC3,2023-01-01,4,7657,7661,27671,0.2768602508040909
min_changed_plus_0,DC10,DC30,DC10->DC30,2023-01-01,0,0,0,50,0.0
min_changed_plus_0,DC10,DC32,DC10->DC32,2023-01-01,0,0,0,206,0.0
min_changed_plus_0,DC10,DC33,DC10->DC33,2023-01-01,0,0,0,118,0.0
min_changed_plus_0,DC10,DC34,DC10->DC34,2023-01-01,0,0,0,200,0.0
min_changed_plus_0,DC10,DC35,DC10->DC35,2023-01-01,349,0,349,1914,0.1823406478578892
min_changed_plus_0,DC10,DC36,DC10->DC36,2023-01-01,0,0,0,55,0.0
min_changed_plus_0,DC10,DC38,DC10->DC38,2023-01-01,0,0,0,15,0.0
min_changed_plus_0,DC10,DC4,DC10->DC4,2023-01-01,50074,0,50074,129442,0.3868450734691985
min_changed_plus_0,DC10,DC40,DC10->DC40,2023-01-01,0,0,0,969,0.0
min_changed_plus_0,DC10,DC47,DC10->DC47,2023-01-01,0,0,0,2,0.0
min_changed_plus_0,DC10,DC51,DC10->DC51,2023-01-01,0,0,0,1,0.0
min_changed_plus_0,DC10,DC59,DC10->DC59,2023-01-01,0,0,0,32,0.0
min_changed_plus_0,DC10,DC60,DC10->DC60,2023-01-01,0,0,0,59,0.0
min_changed_plus_0,DC10,DC61,DC10->DC61,2023-01-01,0,0,0,3,0.0
min_changed_plus_0,DC10,DC62,DC10->DC62,2023-01-01,13702,0,13702,32318,0.4239742558326629
min_changed_plus_0,DC10,DC64,DC10->DC64,2023-01-01,0,0,0,12,0.0
min_changed_plus_0,DC10,DC65,DC10->DC65,2023-01-01,0,0,0,19,0.0
min_changed_plus_0,DC10,DC67,DC10->DC67,2023-01-01,0,0,0,20,0.0
min_changed_plus_0,DC10,DC70,DC10->DC70,2023-01-01,542,0,542,3842,0.1410723581467985
min_changed_plus_0,DC10,DC73,DC10->DC73,2023-01-01,0,0,0,4,0.0
min_changed_plus_0,DC10,DC76,DC10->DC76,2023-01-01,0,0,0,8,0.0
min_changed_plus_0,DC10,DC78,DC10->DC78,2023-01-01,0,0,0,5,0.0
min_changed_plus_0,DC10,DC8,DC10->DC8,2023-01-01,1179,0,1179,57645,0.0204527712724434
min_changed_plus_0,DC10,DC80,DC10->DC80,2023-01-01,0,0,0,1,0.0
min_changed_plus_0,DC10,DC9,DC10->DC9,2023-01-01,0,0,0,15457,0.0
min_changed_plus_0,DC11,DC10,DC11->DC10,2023-01-01,0,0,0,9190,0.0
min_changed_plus_0,DC11,DC14,DC11->DC14,2023-01-01,0,0,0,2947,0.0
min_changed_plus_0,DC11,DC22,DC11->DC22,2023-01-01,0,0,0,2,0.0
min_changed_plus_0,DC11,DC3,DC11->DC3,2023-01-01,0,0,0,1920,0.0
min_changed_plus_0,DC11,DC9,DC11->DC9,2023-01-01,0,0,0,99,0.0
min_changed_plus_0,DC12,DC10,DC12->DC10,2023-01-01,0,0,0,32,0.0
min_changed_plus_0,DC12,DC14,DC12->DC14,2023-01-01,0,0,0,48,0.0
min_changed_plus_0,DC12,DC23,DC12->DC23,2023-01-01,0,0,0,11,0.0
min_changed_plus_0,DC12,DC3,DC12->DC3,2023-01-01,0,0,0,21,0.0
min_changed_plus_0,DC12,DC32,DC12->DC32,2023-01-01,0,0,0,58,0.0
min_changed_plus_0,DC12,DC35,DC12->DC35,2023-01-01,0,0,0,548,0.0
min_changed_plus_0,DC12,DC36,DC12->DC36,2023-01-01,0,0,0,35,0.0
min_changed_plus_0,DC12,DC38,DC12->DC38,2023-01-01,0,0,0,9,0.0
min_changed_plus_0,DC12,DC40,DC12->DC40,2023-01-01,0,0,0,66,0.0
min_changed_plus_0,DC12,DC67,DC12->DC67,2023-01-01,0,0,0,9,0.0
min_changed_plus_0,DC12,DC9,DC12->DC9,2023-01-01,0,0,0,71,0.0
min_changed_plus_0,DC13,DC10,DC13->DC10,2023-01-01,0,0,0,400,0.0
min_changed_plus_0,DC13,DC14,DC13->DC14,2023-01-01,0,0,0,73,0.0
min_changed_plus_0,DC13,DC15,DC13->DC15,2023-01-01,0,0,0,2,0.0
min_changed_plus_0,DC13,DC3,DC13->DC3,2023-01-01,0,0,0,106,0.0
min_changed_plus_0,DC13,DC4,DC13->DC4,2023-01-01,0,0,0,437,0.0
min_changed_plus_0,DC13,DC62,DC13->DC62,2023-01-01,0,0,0,62,0.0
min_changed_plus_0,DC13,DC8,DC13->DC8,2023-01-01,0,0,0,7,0.0
min_changed_plus_0,DC13,DC9,DC13->DC9,2023-01-01,0,0,0,25,0.0
min_changed_plus_0,DC14,DC10,DC14->DC10,2023-01-01,30157,0,30157,130118,0.2317665503619791
min_changed_plus_0,DC14,DC11,DC14->DC11,2023-01-01,0,0,0,1,0.0
min_changed_plus_0,DC14,DC12,DC14->DC12,2023-01-01,0,0,0,6525,0.0
min_changed_plus_0,DC14,DC13,DC14->DC13,2023-01-01,0,0,0,6,0.0
min_changed_plus_0,DC14,DC17,DC14->DC17,2023-01-01,0,0,0,5,0.0
min_changed_plus_0,DC14,DC19,DC14->DC19,2023-01-01,0,0,0,2,0.0
