方案,日期,第一阶段状态,第二阶段状态,第三阶段状态,变化线路放宽量,最小未正常流转货量,最小变化线路数,允许变化线路数,实际变化线路数,受影响货量,未正常流转货量,最大线路负荷率,模型最大线路负荷率,平均线路负荷率,负荷率标准差,候选分流线路数,DC5相关线路数
min_changed_plus_0,2023-01-01,Optimal,Optimal,Optimal,0,0,40,40,40,112500,0,0.509931648240745,0.50993165,0.0381185045328771,0.091674496009693,832,47
min_changed_plus_2,2023-01-01,Optimal,Optimal,Optimal,2,0,40,42,42,112500,0,0.509931648240745,0.50993165,0.0375622618914552,0.0907786255131385,832,47
min_changed_plus_5,2023-01-01,Optimal,Optimal,Optimal,5,0,40,45,45,112500,0,0.509931648240745,0.50993165,0.0375611223875701,0.0907873301357752,832,47
min_changed_plus_0,2023-01-02,Optimal,Optimal,Optimal,0,0,39,39,39,118221,0,0.496001983512056,0.49600198,0.0400085823826025,0.0915566887036725,827,46
min_changed_plus_2,2023-01-02,Optimal,Optimal,Optimal,2,0,39,41,41,118221,0,0.496001983512056,0.49600198,0.039860403045842,0.0910843931990077,827,46
min_changed_plus_5,2023-01-02,Optimal,Optimal,Optimal,5,0,39,44,44,118221,0,0.496001983512056,0.49600198,0.0397182485835005,0.0907391053571806,827,46
min_changed_plus_0,2023-01-03,Optimal,Optimal,Optimal,0,0,39,39,39,119511,0,0.4924079086196614,0.49240791,0.038890790848887,0.0899312375402362,811,45
min_changed_plus_2,2023-01-03,Optimal,Optimal,Optimal,2,0,39,41,40,119511,0,0.4924079086196614,0.49240791,0.0383482299310237,0.0885038303706859,811,45
min_changed_plus_5,2023-01-03,Optimal,Optimal,Optimal,5,0,39,44,40,119511,0,0.4924079086196614,0.49240791,0.0383482299310237,0.0885038303706859,811,45
min_changed_plus_0,2023-01-05,Optimal,Optimal,Optimal,0,0,39,39,39,116794,0,0.4916280563328593,0.49162806,0.0379335111498758,0.087742368930595,811,45
min_changed_plus_2,2023-01-05,Optimal,Optimal,Optimal,2,0,39,41,40,116794,0,0.4916280563328593,0.49162806,0.0378360295731443,0.0876964591790304,811,45
min_changed_plus_5,2023-01-05,Optimal,Optimal,Optimal,5,0,39,44,40,116794,0,0.4916280563328593,0.49162806,0.0378360295731443,0.0876964591790304,811,45
min_changed_plus_0,2023-01-06,Optimal,Optimal,Optimal,0,0,39,39,39,118713,0,0.4964906647093903,0.49649066,0.0377970445786422,0.0883550350647945,811,45
min_changed_plus_2,2023-01-06,Optimal,Optimal,Optimal,2,0,39,41,41,118713,0,0.4964906647093903,0.49649066,0.0384491045438787,0.08921277157049,811,45
min_changed_plus_5,2023-01-06,Optimal,Optimal,Optimal,5,0,39,44,41,118713,0,0.4964906647093903,0.49649066,0.0384491045438787,0.08921277157049,811,45
min_changed_plus_0,2023-01-07,Optimal,Optimal,Optimal,0,0,39,39,39,113559,0,0.4912291576272237,0.49122916,0.0359731953848918,0.0866073563172805,811,45
min_changed_plus_2,2023-01-07,Optimal,Optimal,Optimal,2,0,39,41,40,113559,0,0.4912291576272237,0.49122916,0.0353861619009817,0.0845246100060064,811,45
min_changed_plus_5,2023-01-07,Optimal,Optimal,Optimal,5,0,39,44,40,113559,0,0.4912291576272237,0.49122916,0.0353861619009817,0.0845246100060064,811,45
min_changed_plus_0,2023-01-08,Optimal,Optimal,Optimal,0,0,39,39,39,110088,0,0.4816215211058079,0.48162152,0.0346621496461684,0.0833842005083513,811,45
min_changed_plus_2,2023-01-08,Optimal,Optimal,Optimal,2,0,39,41,40,110088,0,0.4816215211058079,0.48162152,0.0344216704760488,0.0826658057386953,811,45
min_changed_plus_5,2023-01-08,Optimal,Optimal,Optimal,5,0,39,44,40,110088,0,0.4816215211058079,0.48162152,0.0344216704760488,0.0826658057386953,811,45
min_changed_plus_0,2023-01-09,Optimal,Optimal,Optimal,0,0,39,39,39,118126,0,0.4898035083369491,0.48980351,0.0379799701037486,0.0890354457184967,811,45
min_changed_plus_2,2023-01-09,Optimal,Optimal,Optimal,2,0,39,41,40,118126,0,0.4898035083369491,0.48980351,0.0378399405326765,0.0881456809192041,811,45
min_changed_plus_5,2023-01-09,Optimal,Optimal,Optimal,5,0,39,44,40,118126,0,0.4898035083369491,0.48980351,0.0378399405326765,0.0881456809192041,811,45
min_changed_plus_0,2023-01-10,Optimal,Optimal,Optimal,0,0,39,39,39,118323,0,0.4898035083369491,0.48980351,0.0389463815069502,0.0906576051295363,811,45
min_changed_plus_2,2023-01-10,Optimal,Optimal,Optimal,2,0,39,41,40,118323,0,0.4898035083369491,0.48980351,0.0379044993232666,0.0875947388182729,811,45
min_changed_plus_5,2023-01-10,Optimal,Optimal,Optimal,5,0,39,44,40,118323,0,0.4898035083369491,0.48980351,0.0379044993232666,0.0875947388182729,811,45
min_changed_plus_0,2023-01-11,Optimal,Optimal,Optimal,0,0,39,39,39,118426,0,0.4939564867042707,0.49395649,0.0383276277554975,0.0886923904007979,811,45
min_changed_plus_2,2023-01-11,Optimal,Optimal,Optimal,2,0,39,41,40,118426,0,0.4939564867042707,0.49395649,0.0380335805888031,0.0880681598183159,811,45
min_changed_plus_5,2023-01-11,Optimal,Optimal,Optimal,5,0,39,44,40,118426,0,0.4939564867042707,0.49395649,0.0380335805888031,0.0880681598183159,811,45
min_changed_plus_0,2023-01-12,Optimal,Optimal,Optimal,0,0,39,39,39,117663,0,0.5097797968326078,0.5097798,0.0390058516620281,0.0914950837942502,811,45
min_changed_plus_2,2023-01-12,Optimal,Optimal,Optimal,2,0,39,41,41,117663,0,0.4966838157813178,0.49668382,0.0380366366167928,0.0884201894216439,811,45
min_changed_plus_5,2023-01-12,Optimal,Optimal,Optimal,5,0,39,44,42,117663,0,0.4966838157813178,0.49668382,0.0380369271717158,0.0884182086560393,811,45
min_changed_plus_0,2023-01-13,Optimal,Optimal,Optimal,0,0,39,39,39,118032,0,0.4937705324490175,0.49377053,0.0380029859349657,0.0882772592942621,811,45
