variable,category,effect_unit,coefficient,adjusted_odds_ratio,ci_2_5,ci_97_5,direction
任务价格,任务级因素,每增加5元,0.20526376060779503,1.2278488804234,0.9245581304473083,1.5743849916932307,uncertain
最近会员距离,任务级因素,每增加1 km,0.07785295323594095,1.0809636947694248,0.9571945016887442,1.24917906631558,uncertain
2 km会员数,任务级因素,会员数翻倍,-0.40878319779405753,0.6644582727267978,0.5415175580761672,0.8088245406488715,negative
2 km任务数,任务级因素,任务数翻倍,0.31525252693778943,1.3706053820390662,1.1173229783592442,1.691990767093419,positive
周边会员平均预订限额,任务级因素,限额翻倍,0.030783313537224667,1.031262019155214,0.8571089588189318,1.2344973158204915,uncertain
相对周边平均价格,任务级因素,每高5元,-0.1144593171574595,0.8918482206008178,0.5837735126067766,1.4577424401603727,uncertain
周边更高价任务占比,任务级因素,每增加10个百分点,0.012351287523355545,1.012427879687543,0.951365721410137,1.0886692772084015,uncertain
佛山市固定效应,区域残余效应,相对东莞市,-3.4459044688998994,0.03187591822371665,0.018321281334624472,0.05432792155307166,negative
其他固定效应,区域残余效应,相对东莞市,-4.167993344338798,0.015483298620537864,0.004671377421952009,1.0485770844625195,uncertain
广州市固定效应,区域残余效应,相对东莞市,-3.219952143905967,0.03995697039943251,0.023186687958295985,0.06306823477387401,negative
深圳市固定效应,区域残余效应,相对东莞市,-4.586431903101657,0.010189149462399436,0.0052626171620708895,0.01730839045477119,negative
