option_type,task_ids,task_count,price,expected_completions,expected_payout,single_probability,region,route_length_km,compactness,price_multiplier,bundle_probability,core_tasks,ride_along_tasks,scheme,budget_relaxation
single,A0004,1,77.0,0.6648210219596379,51.191218690892114,0.6648210219596379,2,,,,,,,enhanced-joint-0pct-extra,0.0
single,A0006,1,77.5,0.6640285649749468,51.462213785558376,0.6640285649749468,2,,,,,,,enhanced-joint-0pct-extra,0.0
single,A0009,1,74.0,0.5923618757150785,43.83477880291581,0.5923618757150785,2,,,,,,,enhanced-joint-0pct-extra,0.0
single,A0018,1,74.0,0.5365297956685856,39.70320487947534,0.5365297956685856,2,,,,,,,enhanced-joint-0pct-extra,0.0
single,A0025,1,75.5,0.4164177945102531,31.439543485524112,0.4164177945102531,2,,,,,,,enhanced-joint-0pct-extra,0.0
single,A0028,1,74.5,0.39421300610988097,29.368868955186134,0.39421300610988097,2,,,,,,,enhanced-joint-0pct-extra,0.0
single,A0030,1,76.0,0.5727863167623747,43.531760073940475,0.5727863167623747,2,,,,,,,enhanced-joint-0pct-extra,0.0
single,A0033,1,73.5,0.3933545570748389,28.91155994500066,0.3933545570748389,2,,,,,,,enhanced-joint-0pct-extra,0.0
single,A0037,1,78.0,0.4842993953128824,37.77535283440483,0.4842993953128824,2,,,,,,,enhanced-joint-0pct-extra,0.0
single,A0038,1,77.0,0.6607932796292929,50.881082531455554,0.6607932796292929,2,,,,,,,enhanced-joint-0pct-extra,0.0
single,A0040,1,74.0,0.23138697088321858,17.122635845358175,0.23138697088321858,2,,,,,,,enhanced-joint-0pct-extra,0.0
single,A0043,1,75.0,0.45687716767167896,34.265787575375924,0.45687716767167896,2,,,,,,,enhanced-joint-0pct-extra,0.0
single,A0045,1,74.0,0.22944464947859392,16.97890406141595,0.22944464947859392,2,,,,,,,enhanced-joint-0pct-extra,0.0
single,A0047,1,75.0,0.3173568640890148,23.80176480667611,0.3173568640890148,2,,,,,,,enhanced-joint-0pct-extra,0.0
single,A0049,1,76.5,0.3557925469996345,27.21812984547204,0.3557925469996345,2,,,,,,,enhanced-joint-0pct-extra,0.0
single,A0050,1,78.0,0.45120190520512043,35.193748605999396,0.45120190520512043,2,,,,,,,enhanced-joint-0pct-extra,0.0
single,A0051,1,74.5,0.3783122852185615,28.18426524878283,0.3783122852185615,2,,,,,,,enhanced-joint-0pct-extra,0.0
single,A0053,1,78.0,0.49813497566211323,38.85452810164483,0.49813497566211323,2,,,,,,,enhanced-joint-0pct-extra,0.0
single,A0054,1,75.0,0.5363519971070972,40.22639978303229,0.5363519971070972,2,,,,,,,enhanced-joint-0pct-extra,0.0
single,A0056,1,79.5,0.6437484704779862,51.178003402999906,0.6437484704779862,2,,,,,,,enhanced-joint-0pct-extra,0.0
