task_id,latitude,longitude,price,completed,members_2km,tasks_2km,competition_index
A0001,22.566142254795,113.980836777953,66.0,0,5,3,3.1051709180756477
A0002,22.6862052598878,113.940525211308,65.5,0,22,2,4.574134085655204
A0003,22.5765118283363,113.95719800411,65.5,1,9,2,2.0
A0004,22.5648408102711,114.24457109293,75.0,0,1,1,1.0
A0005,22.5588877510826,113.950722665736,65.5,0,8,3,3.2214027581601696
A0006,22.5589990603263,114.241317401629,75.0,0,1,1,1.0
A0007,22.5490037129604,113.97225969676,65.5,1,11,3,3.0
A0008,22.5627735077314,113.956573538052,65.5,0,9,4,4.22140275816017
A0009,22.5000119233833,113.895660567915,66.0,0,1,1,1.0
A0010,22.5437860995949,113.923977803989,66.0,1,14,2,2.0
A0011,22.5248636906434,113.930859554515,65.5,0,23,10,10.010008336111607
A0012,22.519087000679,113.935843611296,65.5,0,18,10,10.010008336111607
A0013,22.5479724310799,113.977909038602,65.5,1,9,3,3.1051709180756477
A0014,22.5061687130557,113.931428439716,66.0,1,12,8,7.53324300718586
A0015,22.4996256609397,113.936514493699,66.0,1,7,6,5.723568171113941
A0016,22.540321415216,113.923645598933,66.0,1,16,6,5.619349672143838
A0017,22.5245541889304,113.92473190182,65.5,1,20,10,10.115179254187254
A0018,22.4981900986281,113.898481737691,66.0,0,2,1,1.0
A0019,22.5460394638191,113.974968421143,65.5,1,9,3,3.0
A0020,22.497728920198,113.937337700868,66.0,1,7,4,4.0
A0021,22.4941624669753,113.927139030908,66.0,1,3,4,4.0
A0022,22.5159201164617,113.93567688759,65.0,1,18,11,12.389343779001166
A0023,22.5157856773782,113.94205574693,65.5,0,15,8,8.115179254187254
A0024,22.5422096257037,114.019649276618,66.5,0,6,2,1.9048374180359595
A0025,22.5445896135667,113.99866008452,67.5,0,2,0,0.0
A0026,22.4930831267728,113.935839142226,66.0,1,4,4,4.0
A0027,22.5248894876791,113.919142922515,65.5,1,17,8,8.115179254187254
A0028,22.5480858154297,113.945311875335,66.5,1,8,3,2.4561922592339456
A0029,22.5647073449243,113.982009250796,66.0,0,6,4,4.010008336111607
