task_id,latitude,longitude,actual_completed,original_price,threshold_price,threshold_price_change,predicted_probability_original,threshold_probability,threshold_probability_change,target_unreachable_at_85,nearest_member_km,members_2km,tasks_2km,region,improved_price,improved_price_change,improved_probability,improved_probability_change
A0001,22.566142254795,113.980836777953,0,66.0,85.0,19.0,0.34387688083547585,0.5933360086887183,0.24945912785324242,1,1.5013517453854646,5,3,2,71.0,5.0,0.4069390834863085,0.06306220265083262
A0002,22.6862052598878,113.940525211308,0,65.5,85.0,19.5,0.20338947570449586,0.42202607120449737,0.2186365955000015,1,0.3061147556867157,22,2,2,70.5,5.0,0.2505254225460459,0.04713594684155001
A0003,22.5765118283363,113.95719800411,1,65.5,85.0,19.5,0.233727943950429,0.4659035025854811,0.23217555863505207,1,0.49623836475812916,9,2,2,70.5,5.0,0.2853761229769267,0.05164817902649771
A0004,22.5648408102711,114.24457109293,0,75.0,85.0,10.0,0.6403954115803158,0.7532354182034354,0.11284000662311966,0,1.0814832962707055,1,1,2,77.0,2.0,0.6648210219596379,0.024425610379322116
A0005,22.5588877510826,113.950722665736,0,65.5,85.0,19.5,0.2880077426430243,0.5363611466397696,0.24835340399674533,1,0.2976804118431548,8,3,2,70.5,5.0,0.3462308572898056,0.058223114646781315
A0006,22.5589990603263,114.241317401629,0,75.0,85.0,10.0,0.6333425633786072,0.7475231562845813,0.11418059290597415,1,0.4005780392310109,1,1,2,77.5,2.5,0.6640285649749468,0.030686001596339607
A0007,22.5490037129604,113.97225969676,1,65.5,85.0,19.5,0.24946316411310276,0.48732871524900523,0.23786555113590246,1,0.2519405716527475,11,3,2,70.5,5.0,0.30321256062019547,0.053749396507092706
A0008,22.5627735077314,113.956573538052,0,65.5,85.0,19.5,0.2978263221935654,0.5481283262669749,0.2503020040734095,1,0.5991166089528872,9,4,2,70.5,5.0,0.35703898252839544,0.059212660334830025
A0009,22.5000119233833,113.895660567915,0,66.0,85.0,19.0,0.4856659436442267,0.7244186124919378,0.23875266884771112,1,0.14405020350454778,1,1,2,71.0,5.0,0.5528219660516658,0.06715602240743906
A0010,22.5437860995949,113.923977803989,1,66.0,85.0,19.0,0.2454086352456056,0.47516712699571684,0.22975849175011123,1,0.27313809451820514,14,2,2,71.0,5.0,0.2986320356754998,0.05322340042989418
A0011,22.5248636906434,113.930859554515,0,65.5,85.0,19.5,0.30074949324489186,0.5515783901797547,0.2508288969348629,1,0.15364054756084494,23,10,2,70.5,5.0,0.3602451601398937,0.05949566689500185
A0012,22.519087000679,113.935843611296,0,65.5,85.0,19.5,0.32836599966015273,0.5830232890683834,0.2546572894082307,1,0.45271385899140326,18,10,2,70.5,5.0,0.3902756788622046,0.06190967920205187
A0013,22.5479724310799,113.977909038602,1,65.5,85.0,19.5,0.30464858219364105,0.556143005723673,0.251494423530032,1,0.03879394394267685,9,3,2,70.5,5.0,0.36451349400241606,0.05986491180877501
A0014,22.5061687130557,113.931428439716,1,66.0,85.0,19.0,0.3538946921450922,0.603931891342455,0.2500371991973627,1,0.6894665684939888,12,8,2,71.0,5.0,0.4176246836989923,0.06372999155390008
A0015,22.4996256609397,113.936514493699,1,66.0,85.0,19.0,0.3575588052362898,0.6077496871938347,0.2501908819575449,1,0.30580641733001807,7,6,2,71.0,5.0,0.421518158161241,0.0639593529249512
A0016,22.540321415216,113.923645598933,1,66.0,85.0,19.0,0.2975421482041851,0.5411092028652237,0.24356705466103856,1,0.11701750877049505,16,6,2,71.0,5.0,0.3567270131806321,0.05918486497644698
A0017,22.5245541889304,113.92473190182,1,65.5,85.0,19.5,0.3172171268934915,0.5705734141079732,0.2533562872144817,1,0.6452551334802169,20,10,2,70.5,5.0,0.37820848081654473,0.060991353923053215
A0018,22.4981900986281,113.898481737691,0,66.0,85.0,19.0,0.42929947724988227,0.676805258517688,0.24750578126780576,1,0.33668533011127155,2,1,2,71.0,5.0,0.4961804019916268,0.06688092474174451
A0019,22.5460394638191,113.974968421143,1,65.5,85.0,19.5,0.3054903846974125,0.5571229523949752,0.2516325676975627,1,0.12744737666990869,9,3,2,70.5,5.0,0.3654337811310839,0.05994339643367136
A0020,22.497728920198,113.937337700868,1,66.0,85.0,19.0,0.33034377042066937,0.5786435988270971,0.24829982840642778,1,0.4379062503033972,7,4,2,71.0,5.0,0.3924084735621638,0.062064703141494426
A0021,22.4941624669753,113.927139030908,1,66.0,85.0,19.0,0.4819434102540008,0.7214329334465567,0.2394895231925559,1,1.2648413636071707,3,4,2,71.0,5.0,0.5491342601711875,0.06719084991718671
A0022,22.5159201164617,113.93567688759,1,65.0,85.0,20.0,0.3275887572736143,0.5887047596725723,0.261116002398958,1,0.24474880259986717,18,11,2,70.0,5.0,0.3894368653951949,0.06184810812158059
A0023,22.5157856773782,113.94205574693,0,65.5,85.0,19.5,0.3309005731411602,0.58580904179133,0.25490846865016975,1,0.5624254213481261,15,8,2,70.5,5.0,0.39300849333251753,0.0621079201913573
A0024,22.5422096257037,114.019649276618,0,66.5,85.0,18.5,0.2869924158129957,0.5217011018842257,0.23470868607122997,1,0.44858638067773315,6,2,2,71.5,5.0,0.3451097637847019,0.058117347971706146
A0025,22.5445896135667,113.99866008452,0,67.5,85.0,17.5,0.31678504272222335,0.5434955134665684,0.22671047074434508,1,1.0303017924733355,2,0,2,72.5,5.0,0.3777392808054602,0.060954238083236856
A0026,22.4930831267728,113.935839142226,1,66.0,85.0,19.0,0.33571165737841074,0.5845244105395658,0.2488127531611551,1,0.3911611796389046,4,4,2,71.0,5.0,0.3981852006316604,0.062473543253249664
A0027,22.5248894876791,113.919142922515,1,65.5,85.0,19.5,0.30914305311687196,0.5613524746062891,0.25220942148941716,1,0.5127290790138778,17,8,2,70.5,5.0,0.36942193701488546,0.0602788838980135
A0028,22.5480858154297,113.945311875335,1,66.5,85.0,18.5,0.2971875028109323,0.5339895888750157,0.23680208606408337,1,0.44686641974202157,8,3,2,71.5,5.0,0.3563376091119544,0.059150106301022076
A0029,22.5647073449243,113.982009250796,0,66.0,85.0,19.0,0.38249502440983746,0.6329438492008422,0.2504488247910048,1,1.4193355386397588,6,4,2,71.0,5.0,0.4478057518884154,0.06531072747857797
A0030,22.5819344788478,114.156395293242,0,68.0,85.0,17.0,0.46558912694938065,0.6852930080114258,0.21970388106204514,1,1.1136272231623014,2,2,2,73.0,5.0,0.5328450634923262,0.06725593654294554
A0031,22.5429361050784,114.131407227026,0,67.0,85.0,18.0,0.18878610481896674,0.38037308340253245,0.19158697858356571,1,0.3856145168478826,16,1,2,72.0,5.0,0.23352982970614808,0.04474372488718134
A0032,22.5239495360594,113.943441614942,0,65.5,85.0,19.5,0.3172393822953606,0.5705985900279127,0.2533592077325521,1,0.3549592299329545,16,7,2,70.5,5.0,0.3782326448556758,0.06099326256031523
A0033,22.5510130545882,113.956744570929,1,65.5,85.0,19.5,0.29643694837648693,0.5464800437349411,0.25004309535845415,1,0.27454649980084556,10,5,2,70.5,5.0,0.35551323509798594,0.059076286721499005
A0034,22.5829932950536,114.147122731579,1,66.0,85.0,19.0,0.28606231427712586,0.5272859505793038,0.24122363630217797,1,0.2168647512422674,4,2,2,71.0,5.0,0.344082205905634,0.058019891628508125
A0035,22.549270134625,114.131744697949,0,66.5,85.0,18.5,0.18857924564830555,0.38642299410383246,0.1978437484555269,1,0.08918256703519424,21,2,2,71.5,5.0,0.23328804254253652,0.04470879689423096
