task_id,latitude,longitude,region,original_price,original_probability,greedy_price,greedy_probability,exact_milp_price,exact_milp_probability,practical_milp_price,practical_milp_probability,practical_price_change,practical_probability_change
A0001,22.566142254795,113.980836777953,2,66.0,0.34387688083547585,74.0,0.44646229261591164,74.0,0.44646229261591164,74.0,0.44646229261591164,8.0,0.10258541178043579
A0002,22.6862052598878,113.940525211308,2,65.5,0.20338947570449586,73.5,0.2820828587683909,73.5,0.2820828587683909,73.5,0.2820828587683909,8.0,0.07869338306389503
A0003,22.5765118283363,113.95719800411,2,65.5,0.233727943950429,73.5,0.31945236914812036,73.5,0.31945236914812036,73.5,0.31945236914812036,8.0,0.08572442519769136
A0004,22.5648408102711,114.24457109293,2,75.0,0.6403954115803158,83.0,0.7326619779032874,83.0,0.7326619779032874,82.0,0.721975980497439,7.0,0.08158056891712329
A0005,22.5588877510826,113.950722665736,2,65.5,0.2880077426430243,73.5,0.3836723382208787,73.5,0.3836723382208787,73.5,0.3836723382208787,8.0,0.0956645955778544
A0006,22.5589990603263,114.241317401629,2,75.0,0.6333425633786072,83.0,0.7266463019384604,83.0,0.7266463019384604,82.0,0.7158131161800798,7.0,0.08247055280147264
A0007,22.5490037129604,113.97225969676,2,65.5,0.24946316411310276,73.5,0.33841004906880834,73.5,0.33841004906880834,73.5,0.33841004906880834,8.0,0.08894688495570557
A0008,22.5627735077314,113.956573538052,2,65.5,0.2978263221935654,73.5,0.3949431863927579,73.5,0.3949431863927579,73.5,0.3949431863927579,8.0,0.09711686419919247
A0009,22.5000119233833,113.895660567915,2,66.0,0.4856659436442267,74.0,0.5923618757150785,74.0,0.5923618757150785,74.0,0.5923618757150785,8.0,0.10669593207085176
A0010,22.5437860995949,113.923977803989,2,66.0,0.2454086352456056,74.0,0.3335523407141734,74.0,0.3335523407141734,74.0,0.3335523407141734,8.0,0.08814370546856778
A0011,22.5248636906434,113.930859554515,2,65.5,0.30074949324489186,73.5,0.3982788959576605,73.5,0.3982788959576605,73.5,0.3982788959576605,8.0,0.09752940271276861
A0012,22.519087000679,113.935843611296,2,65.5,0.32836599966015273,73.5,0.42935214352023593,73.5,0.42935214352023593,73.5,0.42935214352023593,8.0,0.1009861438600832
A0013,22.5479724310799,113.977909038602,2,65.5,0.30464858219364105,73.5,0.4027141998188525,73.5,0.4027141998188525,73.5,0.4027141998188525,8.0,0.09806561762521143
A0014,22.5061687130557,113.931428439716,2,66.0,0.3538946921450922,74.0,0.45738531658153186,74.0,0.45738531658153186,74.0,0.45738531658153186,8.0,0.10349062443643964
A0015,22.4996256609397,113.936514493699,2,66.0,0.3575588052362898,74.0,0.46135582050127283,74.0,0.46135582050127283,74.0,0.46135582050127283,8.0,0.10379701526498303
A0016,22.540321415216,113.923645598933,2,66.0,0.2975421482041851,74.0,0.394618424697849,74.0,0.394618424697849,74.0,0.394618424697849,8.0,0.0970762764936639
A0017,22.5245541889304,113.92473190182,2,65.5,0.3172171268934915,73.5,0.4169028498264908,73.5,0.4169028498264908,73.5,0.4169028498264908,8.0,0.09968572293299927
A0018,22.4981900986281,113.898481737691,2,66.0,0.42929947724988227,74.0,0.5365297956685856,74.0,0.5365297956685856,74.0,0.5365297956685856,8.0,0.10723031841870334
A0019,22.5460394638191,113.974968421143,2,65.5,0.3054903846974125,73.5,0.4036696688862485,73.5,0.4036696688862485,73.5,0.4036696688862485,8.0,0.09817928418883598
