region,scheme,tasks,average_price,expected_completion_rate,expected_payout
0,original,213,67.34507042253522,0.5641812860008601,8166.777211312187
0,greedy,213,74.34272300469483,0.6529535924501746,10354.084333454932
0,practical-milp,213,74.36619718309859,0.6526188588742983,10357.864159327417
1,original,185,69.81351351351351,0.9487764416637899,12264.637612231598
1,greedy,185,65.70270270270271,0.9389241067329943,11415.021842801922
1,practical-milp,185,66.31621621621622,0.9414966506909257,11550.700105453834
2,original,200,68.3525,0.36242949987949535,5033.7365051876695
2,greedy,200,76.155,0.4556282555718853,7005.202958030986
2,practical-milp,200,76.1125,0.45518699781908223,6991.698585692608
3,original,172,70.45058139534883,0.6278136125511018,7683.773389980521
3,greedy,172,76.88372093023256,0.704127255824559,9335.35896491649
3,practical-milp,172,76.48255813953489,0.6998017578685645,9228.8741755501
4,original,65,71.68461538461538,0.705174559934755,3295.3518733308233
4,greedy,65,76.8076923076923,0.761879177448431,3800.9981203347547
4,practical-milp,65,76.64615384615385,0.7595071471699145,3781.7135304222215
