task_id,original_price,recommended_price,price_change,original_probability,recommended_probability,probability_change
A0001,66.0,74.0,8.0,0.34387688083547585,0.44646229261591164,0.10258541178043579
A0002,65.5,73.5,8.0,0.20338947570449586,0.2820828587683909,0.07869338306389503
A0003,65.5,73.5,8.0,0.233727943950429,0.31945236914812036,0.08572442519769136
A0004,75.0,83.0,8.0,0.6403954115803158,0.7326619779032874,0.09226656632297159
A0005,65.5,73.5,8.0,0.2880077426430243,0.3836723382208787,0.0956645955778544
A0006,75.0,83.0,8.0,0.6333425633786072,0.7266463019384604,0.09330373855985319
A0007,65.5,73.5,8.0,0.24946316411310276,0.33841004906880834,0.08894688495570557
A0008,65.5,73.5,8.0,0.2978263221935654,0.3949431863927579,0.09711686419919247
A0009,66.0,74.0,8.0,0.4856659436442267,0.5923618757150785,0.10669593207085176
A0010,66.0,74.0,8.0,0.2454086352456056,0.3335523407141734,0.08814370546856778
A0011,65.5,73.5,8.0,0.30074949324489186,0.3982788959576605,0.09752940271276861
A0012,65.5,73.5,8.0,0.32836599966015273,0.42935214352023593,0.1009861438600832
A0013,65.5,73.5,8.0,0.30464858219364105,0.4027141998188525,0.09806561762521143
A0014,66.0,74.0,8.0,0.3538946921450922,0.45738531658153186,0.10349062443643964
A0015,66.0,74.0,8.0,0.3575588052362898,0.46135582050127283,0.10379701526498303
A0016,66.0,74.0,8.0,0.2975421482041851,0.394618424697849,0.0970762764936639
A0017,65.5,73.5,8.0,0.3172171268934915,0.4169028498264908,0.09968572293299927
A0018,66.0,74.0,8.0,0.42929947724988227,0.5365297956685856,0.10723031841870334
A0019,65.5,73.5,8.0,0.3054903846974125,0.4036696688862485,0.09817928418883598
A0020,66.0,74.0,8.0,0.33034377042066937,0.43154734200101935,0.10120357158034998
A0021,66.0,74.0,8.0,0.4819434102540008,0.5887576776284094,0.10681426737440858
A0022,65.0,73.0,8.0,0.3275887572736143,0.4284883657174973,0.10089960844388302
A0023,65.5,73.5,8.0,0.3309005731411602,0.43216464082266554,0.10126406768150531
A0024,66.5,74.5,8.0,0.2869924158129957,0.3825009405959868,0.0955085247829911
A0025,67.5,75.5,8.0,0.31678504272222335,0.4164177945102531,0.09963275178802977
A0026,66.0,74.0,8.0,0.33571165737841074,0.43748537860540726,0.10177372122699652
A0027,65.5,73.5,8.0,0.30914305311687196,0.407806940249612,0.09866388713274005
A0028,66.5,74.5,8.0,0.2971875028109323,0.39421300610988097,0.09702550329894866
A0029,66.0,74.0,8.0,0.38249502440983746,0.48803187491518546,0.105536850505348
A0030,68.0,76.0,8.0,0.46558912694938065,0.5727863167623747,0.10719718981299403
A0031,67.0,75.0,8.0,0.18878610481896674,0.2636996655685478,0.07491356074958105
A0032,65.5,73.5,8.0,0.3172393822953606,0.4169278283940281,0.0996884460986675
A0033,65.5,73.5,8.0,0.29643694837648693,0.3933545570748389,0.09691760869835198
A0034,66.0,74.0,8.0,0.28606231427712586,0.38142689386905976,0.0953645795919339
A0035,66.5,74.5,8.0,0.18857924564830555,0.26343737788549837,0.07485813223719281
A0036,65.5,73.5,8.0,0.30537769569979883,0.40354180692168345,0.09816411122188462
A0037,70.0,78.0,8.0,0.37897222081013954,0.4842993953128824,0.10532717450274287
A0038,75.0,83.0,8.0,0.6362347546913619,0.7291172947610015,0.09288254006963959
A0039,66.5,74.5,8.0,0.3142545645009321,0.41357321492618265,0.09931865042525057
A0040,66.0,74.0,8.0,0.16361321684058475,0.23138697088321858,0.06777375404263383
A0041,65.0,73.0,8.0,0.34921094147976967,0.4522906963890357,0.10307975490926602
A0042,66.5,74.5,8.0,0.3542144556570546,0.4577323429355893,0.10351788727853467
A0043,67.0,75.0,8.0,0.35342663101020555,0.45687716767167896,0.10345053666147341
A0044,69.0,77.0,8.0,0.2540922299490726,0.34393327819579717,0.08984104824672456
A0045,66.0,74.0,8.0,0.16211980819224617,0.22944464947859392,0.06732484128634775
A0046,66.0,74.0,8.0,0.22187517934076026,0.30498260202164656,0.0831074226808863
A0047,67.0,75.0,8.0,0.23200306350382158,0.3173568640890148,0.08535380058519323
A0048,67.0,75.0,8.0,0.21804730338103784,0.3002742210839268,0.08222691770288898
A0049,68.5,76.5,8.0,0.26410070112183537,0.3557925469996345,0.0916918458777991
A0050,70.0,78.0,8.0,0.34821253315383494,0.45120190520512043,0.1029893720512855
A0051,66.5,74.5,8.0,0.28336969029677,0.3783122852185615,0.09494259492179147
A0052,65.5,73.5,8.0,0.3573140191915043,0.46109097548103106,0.10377695628952677
A0053,70.0,78.0,8.0,0.39208653734566445,0.49813497566211323,0.10604843831644878
A0054,67.0,75.0,8.0,0.4291243120165214,0.5363519971070972,0.10722768509057584
A0055,67.0,75.0,8.0,0.36147931830333213,0.4655896302670061,0.10411031196367398
A0056,73.0,81.0,8.0,0.5600612303460075,0.6620628131972078,0.10200158285120031
A0057,66.0,74.0,8.0,0.3492715004496424,0.45235670585776144,0.10308520540811905
A0058,69.0,77.0,8.0,0.4668250229441031,0.5740011325167572,0.10717610957265411
A0059,66.0,74.0,8.0,0.18311325835559086,0.25648747784152387,0.073374219485933
A0060,65.5,73.5,8.0,0.2511663052790674,0.3404449961150665,0.0892786908359991
A0061,65.5,73.5,8.0,0.342939686282654,0.4454353207864541,0.10249563450380011
A0062,67.5,75.5,8.0,0.2412103013481761,0.3285025419162345,0.08729224056805843
A0063,75.0,83.0,8.0,0.6362347546913619,0.7291172947610015,0.09288254006963959
A0064,73.0,81.0,8.0,0.6134845029217783,0.7095238988794779,0.09603939595769961
A0065,67.0,75.0,8.0,0.38418339099345467,0.48981657028527986,0.1056331792918252
A0066,67.0,75.0,8.0,0.31507648444236924,0.4144978848207188,0.09942140037834957
A0067,65.0,73.0,8.0,0.16830278079226316,0.23746756551485737,0.06916478472259421
A0068,65.5,73.5,8.0,0.35866017932934485,0.462546722140862,0.10388654281151716
A0069,66.0,74.0,8.0,0.31792539382127305,0.41769752921982994,0.0997721353985569
A0070,66.5,74.5,8.0,0.27542653783411436,0.3690784334834348,0.09365189564932042
A0071,70.0,78.0,8.0,0.47199727969547367,0.5790711704525835,0.10707389075710982
A0072,66.5,74.5,8.0,0.27194359953242203,0.3650077996914159,0.09306420015899386
