option_type,task_id,task_ids,task_count,price,expected_completions,expected_payout,single_probability,region,route_length_km,compactness,price_multiplier,bundle_probability
single,A0001,A0001,1,65.0,0.3318230932776683,21.56850106304844,0.3318230932776683,,,,,
single,A0001,A0001,1,65.5,0.3378236539208872,22.127449331818113,0.3378236539208872,,,,,
single,A0001,A0001,1,66.0,0.34387688083547585,22.695874135141406,0.34387688083547585,,,,,
single,A0001,A0001,1,66.5,0.34998124487119686,23.27375278393459,0.34998124487119686,,,,,
single,A0001,A0001,1,67.0,0.3561351535111169,23.861055285244834,0.3561351535111169,,,,,
single,A0001,A0001,1,67.5,0.3623369520390892,24.457744262638524,0.3623369520390892,,,,,
single,A0001,A0001,1,68.0,0.3685849248632713,25.06377489070245,0.3685849248632713,,,,,
single,A0001,A0001,1,68.5,0.3748772969952254,25.679094844172937,0.3748772969952254,,,,,
single,A0001,A0001,1,69.0,0.38121223568351065,26.303644262162234,0.38121223568351065,,,,,
single,A0001,A0001,1,69.5,0.3875878522000304,26.937355727902112,0.3875878522000304,,,,,
single,A0001,A0001,1,70.0,0.39400220377673395,27.580154264371377,0.39400220377673395,,,,,
single,A0001,A0001,1,70.5,0.4004532956896188,28.231957346118126,0.4004532956896188,,,,,
single,A0001,A0001,1,71.0,0.4069390834863085,28.892674927527903,0.4069390834863085,,,,,
single,A0001,A0001,1,71.5,0.41345747535283195,29.562209487727486,0.41345747535283195,,,,,
single,A0001,A0001,1,72.0,0.42000633461457587,30.240456092249463,0.42000633461457587,,,,,
single,A0001,A0001,1,72.5,0.42658348236574867,30.92730247151678,0.42658348236574867,,,,,
single,A0001,A0001,1,73.0,0.4331867002210764,31.62262911613858,0.4331867002210764,,,,,
single,A0001,A0001,1,73.5,0.43981373318285455,32.32630938893981,0.43981373318285455,,,,,
single,A0001,A0001,1,74.0,0.44646229261591164,33.03820965357746,0.44646229261591164,,,,,
single,A0002,A0002,1,65.0,0.19905896281863336,12.938832583211168,0.19905896281863336,,,,,
single,A0002,A0002,1,65.5,0.20338947570449586,13.32201065864448,0.20338947570449586,,,,,
single,A0002,A0002,1,66.0,0.20778975748772985,13.71412399419017,0.20778975748772985,,,,,
single,A0002,A0002,1,66.5,0.21225987215744338,14.115281498469985,0.21225987215744338,,,,,
single,A0002,A0002,1,67.0,0.21679983426052374,14.52558889545509,0.21679983426052374,,,,,
single,A0002,A0002,1,67.5,0.2214096073147123,14.94514849374308,0.2214096073147123,,,,,
single,A0002,A0002,1,68.0,0.22608910225972162,15.37405895366107,0.22608910225972162,,,,,
single,A0002,A0002,1,68.5,0.23083817595221617,15.812415052726807,0.23083817595221617,,,,,
single,A0002,A0002,1,69.0,0.23565662971061002,16.26030745003209,0.23565662971061002,,,,,
single,A0002,A0002,1,69.5,0.24054420791573983,16.717822450143917,0.24054420791573983,,,,,
single,A0002,A0002,1,70.0,0.2455005966735572,17.185041767149002,0.2455005966735572,,,,,
single,A0002,A0002,1,70.5,0.2505254225460459,17.662042289496235,0.2505254225460459,,,,,
single,A0002,A0002,1,71.0,0.2556182513566013,18.148895846318695,0.2556182513566013,,,,,
single,A0002,A0002,1,71.5,0.26077858707611873,18.64566897594249,0.26077858707611873,,,,,
single,A0002,A0002,1,72.0,0.2660058707960104,19.152422697312748,0.2660058707960104,,,,,
single,A0002,A0002,1,72.5,0.2712994797943195,19.669212285088165,0.2712994797943195,,,,,
single,A0002,A0002,1,73.0,0.2766587267010099,20.19608704917372,0.2766587267010099,,,,,
single,A0002,A0002,1,73.5,0.2820828587683909,20.73309011947673,0.2820828587683909,,,,,
single,A0003,A0003,1,65.0,0.22893711405722753,14.88091241371979,0.22893711405722753,,,,,
single,A0003,A0003,1,65.5,0.233727943950429,15.3091803287531,0.233727943950429,,,,,
single,A0003,A0003,1,66.0,0.2385880070780889,15.746808467153867,0.2385880070780889,,,,,
