scheme,region,tasks,bundled_tasks,average_selected_price,average_selected_probability
joint-bundle-0pct-extra,0,213,12,73.14248826291079,0.6519190368124026
joint-bundle-0pct-extra,1,185,0,65.69189189189188,0.9388348904348769
joint-bundle-0pct-extra,2,200,84,78.602875,0.5467327377828309
joint-bundle-0pct-extra,3,172,3,73.29956395348837,0.6707669199201397
joint-bundle-0pct-extra,4,65,0,71.32307692307693,0.707899432417459
joint-bundle-1pct-extra,0,213,12,73.41948356807511,0.6549378902087954
joint-bundle-1pct-extra,1,185,0,65.69189189189188,0.9388348904348769
joint-bundle-1pct-extra,2,200,84,78.95025000000001,0.5507926619941549
joint-bundle-1pct-extra,3,172,3,73.85188953488372,0.6768283042694038
joint-bundle-1pct-extra,4,65,0,72.08461538461539,0.7162571550748362
joint-bundle-2pct-extra,0,213,12,73.76173708920187,0.6585867131705475
joint-bundle-2pct-extra,1,185,0,65.69189189189188,0.9388348904348769
joint-bundle-2pct-extra,2,200,84,79.07975,0.5522705363813941
joint-bundle-2pct-extra,3,172,3,74.54389534883721,0.6842601998133613
joint-bundle-2pct-extra,4,65,0,72.96923076923076,0.725629198644521
