option_type,task_id,task_ids,task_count,price,expected_completions,expected_payout,single_probability,region,route_length_km,compactness,price_multiplier,bundle_probability,scheme,budget_relaxation
single,A0004,A0004,1,78.0,0.676720145411238,52.78417134207657,0.676720145411238,,,,,,joint-bundle-0pct-extra,0.0
single,A0006,A0006,1,78.5,0.6759421083100208,53.06145550233663,0.6759421083100208,,,,,,joint-bundle-0pct-extra,0.0
single,A0009,A0009,1,74.0,0.5923618757150785,43.83477880291581,0.5923618757150785,,,,,,joint-bundle-0pct-extra,0.0
single,A0014,A0014,1,74.0,0.45738531658153186,33.84651342703336,0.45738531658153186,,,,,,joint-bundle-0pct-extra,0.0
single,A0018,A0018,1,74.0,0.5365297956685856,39.70320487947534,0.5365297956685856,,,,,,joint-bundle-0pct-extra,0.0
single,A0021,A0021,1,74.0,0.5887576776284094,43.56806814450229,0.5887576776284094,,,,,,joint-bundle-0pct-extra,0.0
single,A0025,A0025,1,75.5,0.4164177945102531,31.439543485524112,0.4164177945102531,,,,,,joint-bundle-0pct-extra,0.0
single,A0028,A0028,1,74.5,0.39421300610988097,29.368868955186134,0.39421300610988097,,,,,,joint-bundle-0pct-extra,0.0
single,A0030,A0030,1,76.0,0.5727863167623747,43.531760073940475,0.5727863167623747,,,,,,joint-bundle-0pct-extra,0.0
single,A0033,A0033,1,73.5,0.3933545570748389,28.91155994500066,0.3933545570748389,,,,,,joint-bundle-0pct-extra,0.0
single,A0034,A0034,1,74.0,0.38142689386905976,28.225590146310424,0.38142689386905976,,,,,,joint-bundle-0pct-extra,0.0
single,A0037,A0037,1,78.0,0.4842993953128824,37.77535283440483,0.4842993953128824,,,,,,joint-bundle-0pct-extra,0.0
single,A0038,A0038,1,78.5,0.678668759543585,53.27549762417142,0.678668759543585,,,,,,joint-bundle-0pct-extra,0.0
single,A0039,A0039,1,74.5,0.41357321492618265,30.811204512000607,0.41357321492618265,,,,,,joint-bundle-0pct-extra,0.0
single,A0040,A0040,1,74.0,0.23138697088321858,17.122635845358175,0.23138697088321858,,,,,,joint-bundle-0pct-extra,0.0
single,A0043,A0043,1,75.0,0.45687716767167896,34.265787575375924,0.45687716767167896,,,,,,joint-bundle-0pct-extra,0.0
single,A0045,A0045,1,74.0,0.22944464947859392,16.97890406141595,0.22944464947859392,,,,,,joint-bundle-0pct-extra,0.0
single,A0047,A0047,1,75.0,0.3173568640890148,23.80176480667611,0.3173568640890148,,,,,,joint-bundle-0pct-extra,0.0
single,A0049,A0049,1,76.5,0.3557925469996345,27.21812984547204,0.3557925469996345,,,,,,joint-bundle-0pct-extra,0.0
single,A0050,A0050,1,78.0,0.45120190520512043,35.193748605999396,0.45120190520512043,,,,,,joint-bundle-0pct-extra,0.0
single,A0051,A0051,1,74.5,0.3783122852185615,28.18426524878283,0.3783122852185615,,,,,,joint-bundle-0pct-extra,0.0
