task_id,region,original_price,practical_milp_price,practical_milp_probability,scheme,release_type,selected_price,selected_probability,package_task_count,package_task_ids
A0001,2,66.0,74.0,0.4464622926159116,joint-bundle-0pct-extra,bundle,77.7,0.6746665290677332,2,A0001;A0029
A0002,2,65.5,73.5,0.2820828587683909,joint-bundle-0pct-extra,bundle,83.05000000000001,0.5256025315166664,3,A0002;A0364;A0446
A0003,2,65.5,73.5,0.3194523691481203,joint-bundle-0pct-extra,bundle,80.85000000000001,0.4993958842311468,2,A0003;A0360
A0004,2,75.0,82.0,0.721975980497439,joint-bundle-0pct-extra,single,78.0,0.676720145411238,1,A0004
A0005,2,65.5,73.5,0.3836723382208787,joint-bundle-0pct-extra,bundle,80.85000000000001,0.5770924862557408,2,A0005;A0008
A0006,2,75.0,82.0,0.7158131161800798,joint-bundle-0pct-extra,single,78.5,0.6759421083100208,1,A0006
A0007,2,65.5,73.5,0.3384100490688083,joint-bundle-0pct-extra,bundle,80.85000000000001,0.6370375954096926,3,A0007;A0013;A0019
A0008,2,65.5,73.5,0.3949431863927579,joint-bundle-0pct-extra,bundle,80.85000000000001,0.5770924862557408,2,A0005;A0008
A0009,2,66.0,74.0,0.5923618757150785,joint-bundle-0pct-extra,single,74.0,0.5923618757150785,1,A0009
A0010,2,66.0,74.0,0.3335523407141734,joint-bundle-0pct-extra,bundle,81.39999999999999,0.6205779472105987,3,A0010;A0016;A0124
A0011,2,65.5,73.5,0.3982788959576605,joint-bundle-0pct-extra,bundle,80.85000000000001,0.6227336566059122,2,A0011;A0036
A0012,2,65.5,73.5,0.4293521435202359,joint-bundle-0pct-extra,bundle,80.66666666666667,0.669898677958237,3,A0012;A0022;A0023
A0013,2,65.5,73.5,0.4027141998188525,joint-bundle-0pct-extra,bundle,80.85000000000001,0.6370375954096926,3,A0007;A0013;A0019
A0014,2,66.0,74.0,0.4573853165815318,joint-bundle-0pct-extra,single,74.0,0.45738531658153186,1,A0014
A0015,2,66.0,74.0,0.4613558205012728,joint-bundle-0pct-extra,bundle,77.7,0.6532153926759752,3,A0015;A0020;A0026
