package_id,task_count,task_ids,assigned_member_index,assigned_member_id,member_distance_km,member_quota,spread_km,allowed_radius_km,compactness,bundle_logit_bonus,average_price,total_reward,expected_payout,expected_completions,average_probability
OP0001,1,C0006,1373,B1374,0.5320697038581067,2.0,0.0,0.55,1.0,0.0,85.0,85.0,56.02379503189232,0.659103470963439,0.659103470963439
OP0002,1,C0039,1444,B1445,3.661736123726937,2.0,0.0,0.55,1.0,0.0,85.0,85.0,60.88362579849195,0.7162779505704935,0.7162779505704935
OP0003,1,C0043,1285,B1286,1.765142224794887,5.0,0.0,0.25,1.0,0.0,85.0,85.0,36.735398076337766,0.4321811538392678,0.4321811538392678
OP0004,1,C0046,1359,B1360,4.022191354708961,1.0,0.0,0.55,1.0,0.0,85.0,85.0,60.88362579849195,0.7162779505704935,0.7162779505704935
OP0005,1,C0063,1789,B1790,0.038647438651454674,1.0,0.0,0.25,1.0,0.0,85.0,85.0,34.078994944760446,0.4009293522912994,0.4009293522912994
OP0006,1,C0069,1852,B1853,0.9252889474518735,1.0,0.0,0.25,1.0,0.0,85.0,85.0,37.62099870955872,0.4425999848183379,0.4425999848183379
OP0007,1,C0083,1860,B1861,0.9494108131687832,1.0,0.0,0.55,1.0,0.0,85.0,85.0,55.714421126360726,0.655463777957185,0.655463777957185
OP0008,1,C0099,737,B0738,1.986687325006546,3.0,0.0,0.55,1.0,0.0,85.0,85.0,54.85572720964752,0.6453614965840885,0.6453614965840885
OP0009,1,C0121,300,B0301,1.5809648692490832,8.0,0.0,0.25,1.0,0.0,85.0,85.0,26.130729869710436,0.30742035140835805,0.30742035140835805
OP0010,1,C0123,1718,B1719,0.7898113126787071,1.0,0.0,0.55,1.0,0.0,85.0,85.0,27.852303627087522,0.32767416031867674,0.32767416031867674
OP0011,1,C0126,539,B0540,0.2747565570174019,6.0,0.0,0.25,1.0,0.0,85.0,85.0,37.43257542075896,0.44038324024422304,0.44038324024422304
OP0012,1,C0131,227,B0228,0.6449699935178854,7.0,0.0,0.55,1.0,0.0,85.0,85.0,42.28222316749508,0.4974379196175892,0.4974379196175892
OP0013,1,C0162,686,B0687,0.124205418761348,5.0,0.0,0.55,1.0,0.0,85.0,85.0,42.30627080159133,0.49772083295989805,0.49772083295989805
OP0014,1,C0164,300,B0301,1.6429192193382642,8.0,0.0,0.25,1.0,0.0,85.0,85.0,28.682339732888853,0.33743929097516295,0.33743929097516295
OP0015,1,C0173,1702,B1703,0.6908139101958395,1.0,0.0,0.25,1.0,0.0,85.0,85.0,32.87601962929608,0.38677670152113036,0.38677670152113036
OP0016,1,C0187,51,B0052,1.28833886731723,33.0,0.0,0.55,1.0,0.0,85.0,85.0,42.171217293007864,0.49613196815303373,0.49613196815303373
