task_id,latitude,longitude,city,package_id,package_size,assigned_member_id,assigned_member_distance_km,nearest_member_km,tasks_2km,members_2km,effective_member_supply,effective_pressure,adaptive_max_package_size,adaptive_radius_km,bundle_logit_bonus,optimized_price,optimized_probability,target_reached,unreachable_at_85
C0001,22.7300411741699,114.240879482184,Shenzhen,OP0318,3,B0097,2.993296518948701,1.645733429938773,50,1,0.08908482880907156,46.8283081821727,3,0.25,0.37467532978326235,85.0,0.5906156207184865,False,True
C0002,22.7270428713199,114.299619934581,Shenzhen,OP0263,2,B0239,0.4048861517695189,0.2227430725485199,45,8,5.841815918532093,6.723361246157186,2,0.55,0.34287579723859607,85.0,0.7096211282823234,False,True
C0003,22.7013106516913,114.233600675232,Shenzhen,OP0264,4,B0130,0.7626145453579599,0.36772669572019806,51,11,6.868405046262281,6.608709095968757,4,0.4,0.39363289434595117,85.0,0.6399629883120981,False,True
C0004,22.7323592499976,114.28666717581,Shenzhen,OP0265,3,B0750,0.06184940614452768,0.12263227368037873,103,11,9.083026702655218,10.314363242994597,5,0.35,0.3842095408847406,85.0,0.6050577839719908,False,True
C0005,22.7183914415957,114.257549541443,Shenzhen,OP0266,3,B0097,0.7900888285218456,0.8670462476678668,87,8,4.468385157731208,16.092502166857344,4,0.4,0.3736765280989808,85.0,0.5626095178693665,False,True
C0006,22.7539249283792,114.381925285972,Shenzhen,OP0001,1,B1374,0.5320697038581067,0.5320697038581067,0,2,0.5067531882412027,0.6636787018630943,2,0.55,0.0,85.0,0.659103470963439,False,True
C0007,22.7240422058631,114.272183567009,Shenzhen,OP0800,3,B0253,0.5430602775268945,0.5434377081810278,108,11,9.515919751716307,10.365236952498622,5,0.35,0.36233641409921236,85.0,0.6061120353162238,False,True
C0008,22.7193780338419,114.273247789547,Shenzhen,OP0267,2,B0253,0.29863335304935196,0.24288740810260467,87,8,8.215032363432353,9.549613775552965,5,0.35,0.3290501327894293,85.0,0.6475213247830786,False,True
C0009,22.730282537613,114.230495522939,Shenzhen,OP0268,2,B1089,2.7850016810869413,1.765238952186567,31,1,0.14380213529512093,27.976866813370165,2,0.55,0.32869650506538717,85.0,0.674183609008558,False,True
C0010,22.7187967956169,114.267027043655,Shenzhen,OP0269,3,B0097,0.35926092394046566,0.35427637633912223,90,8,6.818809122350578,11.638601042180522,5,0.35,0.4058358952446942,85.0,0.6225998093697759,False,True
