task_id,latitude,longitude,city,region,nearest_member_km,members_2km,tasks_2km,quota_2km,task_member_pressure,congestion_logit_penalty,package_id,package_size,package_spread_km,bundle_logit_bonus,uniform_price,uniform_probability,individual_price,individual_probability,bundled_price,bundled_probability,target_reached,unreachable_at_85
C0001,22.7300411741699,114.240879482184,Shenzhen,2,1.645733429938773,1,50,1.0,25.5,1.5809316810933327,P0263,5,0.24886406497099575,0.6462615844491881,75.0,0.4028665977378946,85.0,0.5362679994659053,85.0,0.6881723790366909,False,True
C0002,22.7270428713199,114.299619934581,Shenzhen,2,0.2227430725485199,8,45,64.0,5.111111111111111,0.5362116196358544,P0295,5,0.27677658417649903,0.6366915778644442,75.0,0.4871112367368591,85.0,0.6194691892890302,85.0,0.7547275879302073,True,False
C0003,22.7013106516913,114.233600675232,Shenzhen,2,0.36772669572019806,11,51,87.0,4.333333333333333,0.4289097819022128,P0256,2,0.004975696912380495,0.38168997538567734,75.0,0.4195690263820597,85.0,0.553375714256891,85.0,0.644742799235941,False,True
C0004,22.7323592499976,114.28666717581,Shenzhen,2,0.12263227368037873,11,103,178.0,8.666666666666666,0.8794554492661774,P0044,2,0.0,0.3833959286127792,75.0,0.34865938469844393,85.0,0.47849453602131725,85.0,0.5737874750860177,False,True
C0005,22.7183914415957,114.257549541443,Shenzhen,2,0.8670462476678668,8,87,74.0,9.777777777777779,0.9578636413287769,P0515,3,0.21265380531633646,0.4645627935854235,75.0,0.3592761970696288,85.0,0.49009011239659367,85.0,0.6046594953887623,False,True
C0006,22.7539249283792,114.381925285972,Shenzhen,2,0.5320697038581067,2,0,4.0,0.3333333333333333,0.0,P0800,1,0.0,0.0,75.0,0.5300734668201974,85.0,0.659103470963439,85.0,0.659103470963439,False,True
C0007,22.7240422058631,114.272183567009,Shenzhen,2,0.5434377081810278,11,108,197.0,9.083333333333334,0.9099774882732286,P0225,5,0.24454133933283662,0.6477436618108428,75.0,0.3484239333642123,85.0,0.4782357826914213,85.0,0.63659870175537,False,True
C0008,22.7193780338419,114.273247789547,Shenzhen,2,0.24288740810260467,8,87,176.0,9.777777777777779,0.9578636413287769,P0455,4,0.25356509646866743,0.5598552527220153,75.0,0.3736282349664669,85.0,0.505544648619321,85.0,0.641535469239176,False,True
C0009,22.730282537613,114.230495522939,Shenzhen,2,1.765238952186567,1,31,2.0,16.0,1.277973356642343,P0361,5,0.2795898459423469,0.6357270309732963,75.0,0.4953096958053259,85.0,0.6271712724341515,84.0,0.7506236752336467,True,False
C0010,22.7187967956169,114.267027043655,Shenzhen,2,0.35427637633912223,8,90,80.0,10.11111111111111,0.9796533911538952,P0307,5,0.29950794340923936,0.6288979689846474,75.0,0.355663776195379,85.0,0.48616039913129716,85.0,0.6395762491904368,False,True
C0011,22.6574622868825,114.347695727712,Shenzhen,2,3.661736123726937,0,20,0.0,21.0,1.45473027170671,P0023,5,0.0,0.7315864067249581,75.0,0.536342412190428,85.0,0.664739803932132,79.5,0.7539332326460211,True,False
C0012,22.7161161366787,114.247471582184,Shenzhen,2,0.6831670471734268,7,88,56.0,11.125,1.041767325420483,P0329,5,0.34694974954922064,0.612632206879511,75.0,0.3419198122770256,85.0,0.47106031785560015,85.0,0.6216938435531164,False,True
C0013,22.7298637362657,114.293901180672,Shenzhen,2,0.3963429516343849,8,76,91.0,8.555555555555555,0.8710682361228371,P0407,5,0.3411874255654577,0.6146078608168012,75.0,0.396185070417905,85.0,0.5293352712191086,85.0,0.6752623952673197,False,True
C0014,22.7461740037918,114.285868999924,Shenzhen,2,1.1971970636130482,5,73,119.0,12.333333333333334,1.1087893427709599,P0516,1,0.0,0.0,75.0,0.39094830844865847,85.0,0.5238654758304798,85.0,0.5238654758304798,False,True
C0015,22.7333085951775,114.294307118195,Shenzhen,2,0.16015489604472996,9,76,155.0,7.7,0.8025839009452501,P0407,5,0.3411874255654577,0.6146078608168012,75.0,0.3864415246561788,85.0,0.5191324742105232,85.0,0.6662282920156061,False,True
C0016,22.7455164783545,114.274463296613,Shenzhen,2,0.9068794752725966,8,85,135.0,9.555555555555555,0.9429204544827227,P0051,3,0.0,0.5374726696938817,75.0,0.36335609808457114,85.0,0.4945090101974111,85.0,0.6260967475830027,False,True
C0017,22.7228203604355,114.265481328466,Shenzhen,2,0.1157386028568897,9,106,177.0,10.7,1.0164491191405944,P0265,5,0.16973819433186937,0.6733904543826029,75.0,0.3413168386419696,85.0,0.4703923920368411,85.0,0.6352534460940974,False,True
C0018,22.724926751952,114.273130560678,Shenzhen,2,0.5776574670033039,12,111,198.0,8.615384615384615,0.8755978711782979,P0225,5,0.24454133933283662,0.6477436618108428,75.0,0.3400181866208617,85.0,0.4689522777710588,85.0,0.6279407694503588,False,True
C0019,22.7455164783545,114.274463296613,Shenzhen,2,0.9068794752725966,8,85,135.0,9.555555555555555,0.9429204544827227,P0051,3,0.0,0.5374726696938817,75.0,0.36335609808457114,85.0,0.4945090101974111,85.0,0.6260967475830027,False,True
C0020,22.7533578503045,114.285654970992,Shenzhen,2,1.9912653316414082,1,30,13.0,15.5,1.257336702737866,P0518,2,0.09302682057698225,0.351501018700671,75.0,0.5119778784703801,85.0,0.6426266709645095,85.0,0.7187529019786738,False,True
C0021,22.7255489485721,114.272456359037,Shenzhen,2,0.5547944702297115,12,109,198.0,8.461538461538462,0.8638858426015569,P0039,2,0.0,0.3833959286127792,75.0,0.34242072344062124,85.0,0.47161483561836254,85.0,0.5670273701838098,False,True
C0022,22.7304818460556,114.229710831816,Shenzhen,2,1.7218507739253135,1,28,2.0,14.5,1.213987309313729,P0361,5,0.2795898459423469,0.6357270309732963,75.0,0.5108185492702711,85.0,0.6415604178664672,83.0,0.7521473472619558,True,False
C0023,22.7503111916488,114.273462933716,Shenzhen,2,1.188057288273004,5,54,108.0,9.166666666666666,0.9159136025893555,P0453,2,0.15443325115169942,0.330447385360768,75.0,0.42319708957383106,85.0,0.5570503847662669,85.0,0.6363708706161838,False,True
C0024,22.7383232510838,114.290652058014,Shenzhen,2,0.5103364190679962,9,88,155.0,8.9,0.8967240170662465,P0456,4,0.23628643000854688,0.5657793669369138,75.0,0.3680129613465962,85.0,0.4995278917846115,85.0,0.6373523483499697,False,True
C0025,22.7220470160823,114.262924318002,Shenzhen,2,0.23157475265143063,7,108,73.0,13.625,1.1735298085435353,P0265,5,0.16973819433186937,0.6733904543826029,75.0,0.3229105479772918,85.0,0.44977848216627087,85.0,0.6158155467309362,False,True
C0026,22.7283748334649,114.292856825958,Shenzhen,2,0.5329259404042859,9,80,107.0,8.1,0.8355023272774408,P0652,1,0.0,0.0,75.0,0.3981365213266884,85.0,0.5313654145632726,85.0,0.5313654145632726,False,True
C0027,22.7375681053751,114.28238888443,Shenzhen,2,0.33756233398212176,8,103,142.0,11.555555555555555,1.0664487963598348,P0322,3,0.11699738095994236,0.4973592819361872,75.0,0.3329744189351098,85.0,0.46110363998447346,85.0,0.5845448501985337,False,True
C0028,22.7318862444033,114.30283983163,Shenzhen,2,0.3762547750738134,8,46,64.0,5.222222222222222,0.5501906530294808,P0043,2,0.0,0.3833959286127792,75.0,0.4853367504824376,85.0,0.6177933231971285,85.0,0.703409828447599,False,True
C0029,22.7477813713121,114.274721890922,Shenzhen,2,1.0700824899352939,6,66,121.0,9.571428571428571,0.9439992929046596,P0453,2,0.15443325115169942,0.330447385360768,75.0,0.3982942371184033,85.0,0.531529297867306,85.0,0.6122386632804306,False,True
C0030,22.7365884258321,114.296177362868,Shenzhen,2,0.3703374139602985,7,68,57.0,8.625,0.8763229130828105,P0049,2,0.0,0.3833959286127792,75.0,0.41778305204497135,85.0,0.5515614103976937,85.0,0.6434517259552556,False,True
C0031,22.741216311103,114.262008277247,Shenzhen,2,0.3259663170763443,8,68,117.0,7.666666666666667,0.7997639399061612,P0517,2,0.09929672058348944,0.34935133869844,75.0,0.37616575505854877,85.0,0.5082511202975012,85.0,0.5944418945444957,False,True
C0032,22.7083119203669,114.243410661873,Shenzhen,2,0.4444669561141019,8,66,45.0,7.444444444444445,0.7806449145220706,P0034,2,0.0,0.3833959286127792,75.0,0.3386007533878667,85.0,0.46737798852695334,85.0,0.5628464268929351,False,True
C0033,22.7365884258321,114.296177362868,Shenzhen,2,0.3703374139602985,7,68,57.0,8.625,0.8763229130828105,P0049,2,0.0,0.3833959286127792,75.0,0.41778305204497135,85.0,0.5515614103976937,85.0,0.6434517259552556,False,True
