"任务号码","任务gps 纬度","任务gps经度","任务标价","任务执行情况"
"A0001","22.566142254795","113.980836777953","66","0"
"A0002","22.6862052598878","113.940525211308","65.5","0"
"A0003","22.5765118283363","113.95719800411","65.5","1"
"A0004","22.5648408102711","114.24457109293","75","0"
"A0005","22.5588877510826","113.950722665736","65.5","0"
"A0006","22.5589990603263","114.241317401629","75","0"
"A0007","22.5490037129604","113.97225969676","65.5","1"
"A0008","22.5627735077314","113.956573538052","65.5","0"
"A0009","22.5000119233833","113.895660567915","66","0"
"A0010","22.5437860995949","113.923977803989","66","1"
"A0011","22.5248636906434","113.930859554515","65.5","0"
"A0012","22.519087000679","113.935843611296","65.5","0"
"A0013","22.5479724310799","113.977909038602","65.5","1"
"A0014","22.5061687130557","113.931428439716","66","1"
"A0015","22.4996256609397","113.936514493699","66","1"
"A0016","22.540321415216","113.923645598933","66","1"
"A0017","22.5245541889304","113.92473190182","65.5","1"
"A0018","22.4981900986281","113.898481737691","66","0"
"A0019","22.5460394638191","113.974968421143","65.5","1"
"A0020","22.497728920198","113.937337700868","66","1"
"A0021","22.4941624669753","113.927139030908","66","1"
"A0022","22.5159201164617","113.93567688759","65","1"
"A0023","22.5157856773782","113.94205574693","65.5","0"
"A0024","22.5422096257037","114.019649276618","66.5","0"
"A0025","22.5445896135667","113.99866008452","67.5","0"
"A0026","22.4930831267728","113.935839142226","66","1"
"A0027","22.5248894876791","113.919142922515","65.5","1"
"A0028","22.5480858154297","113.945311875335","66.5","1"
"A0029","22.5647073449243","113.982009250796","66","0"
"A0030","22.5819344788478","114.156395293242","68","0"
"A0031","22.5429361050784","114.131407227026","67","0"
"A0032","22.5239495360594","113.943441614942","65.5","0"
"A0033","22.5510130545882","113.956744570929","65.5","1"
"A0034","22.5829932950536","114.147122731579","66","1"
"A0035","22.549270134625","114.131744697949","66.5","0"
"A0036","22.5259613413852","113.935399270764","65.5","1"
"A0037","22.7563792952752","114.04213561073","70","0"
"A0038","22.6414407060529","114.422742132399","75","0"
"A0039","22.711660071995","114.072883627376","66.5","0"
"A0040","22.6064932325456","114.124153601375","66","0"
"A0041","22.6622997110033","114.072996896515","65","0"
"A0042","22.635398280659","114.226377185934","66.5","1"
"A0043","22.7380284355305","114.264097001048","67","0"
"A0044","22.6255834838843","114.154966375968","69","0"
"A0045","22.6526549643723","114.027229172221","66","0"
"A0046","22.7889219689206","113.896632665629","66","0"
"A0047","22.7010356427446","114.244292079239","67","0"
"A0048","22.6315405076403","114.12149281776","67","0"
"A0049","22.6417147970367","114.195532954479","68.5","0"
"A0050","22.689403355188","114.345418821992","70","0"
"A0051","22.6301004227929","114.063832661281","66.5","0"
"A0052","22.6639167291901","114.071717684316","65.5","0"
"A0053","22.7506640039026","114.378843000345","70","0"
"A0054","22.7227256081329","114.073801635421","67","0"
"A0055","22.6413803215711","114.229981802978","67","0"
"A0056","22.7764075422069","114.309587840635","73","0"
"A0057","22.5870653356629","113.905761364795","66","0"
"A0058","22.6933957055509","114.147487353786","69","0"
"A0059","22.6040496991942","114.058613751507","66","0"
"A0060","22.6376363999893","114.06791620901","65.5","0"
"A0061","22.6578852114526","114.07477225632","65.5","0"
"A0062","22.6178181688603","114.157260801849","67.5","0"
"A0063","22.6414407060529","114.422742132399","75","0"
"A0064","22.7813987573364","114.300806526091","73","0"
"A0065","22.7229412237494","114.27771560183","67","0"
"A0066","22.6747071093467","114.22093326141","67","0"
"A0067","22.6628381443602","114.026397428454","65","0"
"A0068","22.6577697242095","114.079493396147","65.5","0"
"A0069","22.6569132739748","114.210092791689","66","0"
"A0070","22.7385903883485","113.818449251052","66.5","0"
"A0071","22.7163633127048","114.32225700256","70","0"
"A0072","22.5233140084978","114.04663858269","66.5","0"
"A0073","22.6530142206891","114.212454874348","66","0"
"A0074","22.5331754025637","114.083134154717","66.5","0"
"A0075","22.5995590515513","114.130362976515","66.5","0"
"A0076","22.6502783683962","113.936624148954","68.5","0"
"A0077","22.7378203776219","114.285890066086","65.5","1"
"A0078","22.7385903883485","113.818449251052","66.5","1"
"A0079","22.7430010931667","113.995040147773","71","0"
"A0080","22.6349541735094","114.044819584999","66","0"
"A0081","22.7513933784059","114.026239909685","70","1"
"A0082","22.6155646326245","114.152415879117","67","0"
"A0083","22.6844700633893","114.000085031516","66","0"
"A0084","22.6651428008973","114.020001901954","65.5","0"
"A0085","22.6933155162664","113.81707837037","66","0"
"A0086","22.7560020308019","113.851361212011","66.5","0"
"A0087","22.7333561925431","113.831291899127","66","0"
"A0088","22.7778578024144","113.917004348147","70","0"
"A0089","22.7059717485156","113.8079954237","66.5","0"
"A0090","22.7046649683488","113.972689897065","70","0"
"A0091","22.6520496098925","114.053593678065","65.5","0"
"A0092","22.7213341121282","114.061619587743","67","0"
"A0093","22.6800886065083","113.834786135085","70","0"
"A0094","22.7087497447993","113.816054302089","66","0"
"A0095","22.607669788426","113.868531174692","65.5","0"
"A0096","22.7271036717407","114.061381858376","67","1"
"A0097","22.6795558910636","113.832938493127","65.5","0"
"A0098","22.675097731447","113.822362023717","65.5","0"
"A0099","22.7333561925431","113.831291899127","66","0"
"A0100","22.611775078928","114.038058741903","66","0"
"A0101","22.7300665719473","114.066647673172","66.5","0"
"A0102","22.6523537636241","113.929912549169","70","0"
"A0103","22.7136525650851","114.065237460183","66","0"
"A0104","22.5607343074643","113.89007789741","70","1"
"A0105","22.6734335276973","113.825705157502","65","0"
"A0106","22.5915549765801","114.125910235104","67.5","0"
"A0107","22.6705219973773","113.923561080063","70","0"
"A0108","22.7003870654451","113.844902563379","66","0"
"A0109","22.5635036060249","113.906894768535","65.5","1"
"A0110","22.7074327930824","113.930013135693","68.5","0"
"A0111","22.6335574972806","113.851360434976","70.5","0"
"A0112","22.5641925131759","113.896166355239","65.5","0"
"A0113","22.6691926689555","114.038411728358","66.5","0"
"A0114","22.5962807681237","113.855062769694","66.5","0"
"A0115","22.6851882278014","113.81156753556","67","0"
"A0116","22.7070081399144","114.096776550712","66","0"
"A0117","22.7303490034601","114.068783000165","67","0"
"A0118","22.6076110049139","113.869894332642","65.5","0"
"A0119","22.5848807593367","113.91327495018","66","1"
"A0120","22.5609901044042","113.894562979616","65.5","0"
"A0121","22.7356517809663","114.280464023231","65","1"
"A0122","22.5819431420697","113.888016568333","66.5","1"
"A0123","22.5829728906449","113.907183429129","65.5","1"
"A0124","22.5413895409741","113.919110416432","66","1"
"A0125","22.7704017692631","113.855116111075","66","0"
"A0126","23.1676903546272","113.665172812936","75","1"
"A0127","23.1654980452292","113.387590060323","65.5","1"
"A0128","23.1593359975333","113.338711283964","65.5","0"
"A0129","23.1687891455769","113.419959772635","66.5","1"
"A0130","23.1284929476215","113.350618568732","65","0"
"A0131","23.1307022473192","113.416260868546","65.5","0"
"A0132","23.1382207893585","113.389486698559","65","0"
"A0133","23.1861168487634","113.597485671544","75","1"
"A0134","23.1240189591638","113.411547026554","65","0"
"A0135","23.1381658955335","113.372836112767","65.5","1"
"A0136","23.1996730122491","113.406846999602","68.5","0"
"A0137","23.1224808721127","113.361124926295","65.5","0"
"A0138","23.2001391478776","113.374908952731","65.5","0"
"A0139","23.1012502166771","113.548436650122","68","0"
"A0140","23.1248664643703","113.561445341886","69","0"
"A0141","23.1087118142391","113.492884574249","66.5","0"
"A0142","23.1243156395216","113.408115078202","65","0"
"A0143","23.1675143840217","113.337954403182","66","0"
"A0144","23.1354420411307","113.390007969091","65","0"
"A0145","23.1368057684525","113.331549452559","65","0"
"A0146","23.1159303246968","113.42048908658","66","0"
"A0147","23.1618940670467","113.343334634253","66","0"
"A0148","23.1097973945641","113.453448444076","66","0"
"A0149","23.1097580892894","113.453481189203","66","0"
"A0150","23.1909047341958","113.449201701942","73","1"
"A0151","23.1087118142391","113.492884574249","66.5","1"
"A0152","23.0998282189715","113.484963504791","65.5","0"
"A0153","23.0797894313979","113.429744979892","70.5","1"
"A0154","23.1181011943149","113.544217136668","67","1"
"A0155","23.1087118142391","113.492884574249","66.5","1"
"A0156","23.1011247274453","113.487241158411","65.5","0"
"A0157","23.1487229407005","113.515291376765","73.5","0"
"A0158","23.0479763966089","113.289293329367","69","0"
"A0159","23.1111406826233","113.278240859545","66","0"
"A0160","22.9345907957979","113.416799529649","70","0"
