chain_type,links,chain_length_m,ballast_mass_kg,ballast_above_minimum_kg,worst_draft_m,worst_excursion_m,worst_barrel_angle_deg,worst_anchor_angle_deg,ideal_distance
II,272,28.56,3986.420446313633,0.0,1.6627099091118167,27.125196073233823,4.999999999999928,15.763341445926397,1.2531472954538525
II,272,28.56,4186.420446313633,200.0,1.724497757676011,27.129127646376514,4.781877517800338,15.604264865832274,0.9930676875392083
II,272,28.56,4386.420446313633,400.0,1.7862870567183473,27.13435193769201,4.5823541732730035,15.445985702770335,1.133586412359191
II,277,29.084999999999997,3987.1917767766545,0.0,1.6621156341902918,27.663985454488277,4.999999999999904,14.88010256501878,1.2782742559629423
II,277,29.084999999999997,4187.1917767766545,200.0,1.723914007185423,27.667497544968644,4.781855653237997,14.725353697743813,1.0229886688537333
II,277,29.084999999999997,4387.1917767766545,400.0,1.7857137205166622,27.672307802609307,4.582314242127595,14.571373043180534,1.1585677079849137
II,282,29.61,3987.8518415175504,0.0,1.6615574686572598,28.20100489230095,4.9999999999999805,14.021531034496697,1.3041406203592953
II,282,29.61,4187.85184151755,200.0,1.7233656087725253,28.204116972266768,4.78183496694754,13.870926098205967,1.0536660214975997
II,282,29.61,4387.85184151755,400.0,1.7851749906614625,28.20853239031654,4.582276458403938,13.721061816617501,1.184526736545248
II,287,30.134999999999998,3988.4077169141733,0.0,1.661032164255354,28.73631312763156,4.999999999999934,13.186194065625289,1.3306915805271404
II,287,30.134999999999998,4188.407716914173,200.0,1.7228493918992993,28.739043533586308,4.781815365548182,13.039562306096384,1.085013325486041
II,287,30.134999999999998,4388.407716914173,400.0,1.7846677728236553,28.743082190265685,4.582240652230038,12.893645137048832,1.2113741162769043
II,292,30.66,3988.8658738282743,0.0,1.6605368541509793,29.269963766765986,4.999999999999942,12.372776643733639,1.3578761834221114
II,292,30.66,4188.865873828274,200.0,1.7223625572851518,29.2723297964483,4.781796765340286,12.229959040866019,1.1169542497133287
II,292,30.66,4388.865873828274,400.0,1.7841893340001371,29.276008749343656,4.582206671329363,12.08783132438981,1.2390284518354553
II,297,31.185,3989.2322425666293,0.0,1.6600689984790589,29.80200579126507,4.999999999999935,11.580069267756585,1.38564710814499
II,297,31.185,4189.23224256663,200.0,1.7219026240441602,29.804023790633664,4.7817790911020275,11.44091740470899,1.1494213589502165
II,297,31.185,4389.23224256663,400.0,1.783737251202976,29.807359161470103,4.582174378802816,11.302431967220318,1.2674157141335378
II,302,31.709999999999997,3989.5122695264035,0.0,1.6596263389538157,30.332484009035085,4.999999999999954,10.80695723913232,1.4139604431904935
II,302,31.709999999999997,4189.5122695264035,200.0,1.7214673856024998,30.334169449732396,4.781762275020712,10.671332310397764,1.1823550399602512
II,302,31.709999999999997,4389.5122695264035,400.0,1.7833093686447994,30.337176500884947,4.582143651238404,10.536351484907705,1.296468634970421
III,206,24.72,3901.373216412384,0.0,1.669272413469086,22.787281923626818,4.9999999999999565,15.359714863195336,1.0880827649041873
III,206,24.72,4101.373216412384,200.0,1.7309377624275866,22.794593909383266,4.782135392183522,15.145698255014366,0.7972796195613824
III,206,24.72,4301.373216412384,400.0,1.7926059274558233,22.80315610291847,4.582825162830212,14.933020353768516,0.9837885767745826
III,210,25.2,3901.631079030625,0.0,1.6683690530058957,23.271933597889575,4.999999999999919,14.079657175372871,1.1026817761730665
III,210,25.2,4101.631079030625,200.0,1.7300522317206732,23.278710370397718,4.7821049732534,13.8725649054491,0.8140791833261216
III,210,25.2,4301.631079030625,400.0,1.7917379728814238,23.286744980576454,4.582769670378681,13.666755199588689,0.9951563741048933
III,214,25.68,3901.729762833298,0.0,1.6675331181142923,23.753750282409786,4.999999999999979,12.838463223000828,1.1182704924985267
III,214,25.68,4101.729762833298,200.0,1.7292325210515387,23.76002135296222,4.78207655217386,12.637969468907254,0.8323412471396637
III,214,25.68,4301.729762833298,400.0,1.7909342648034792,23.767612144191336,4.58272063439016,12.438705604522662,1.008050303233704
III,218,26.16,3901.7315599434196,0.0,1.6667730562265404,24.233783857410483,4.9999999999999325,11.633727121856536,1.134820630721266
III,218,26.16,4101.73155994342,200.0,1.7284872779679767,24.240021415397287,4.7820746811272405,11.439531688700166,0.852071305982469
III,218,26.16,4301.73155994342,400.0,1.7902036458596877,24.247612217883002,4.582718919402492,11.246516558036475,1.0225079961171804
III,222,26.64,3901.7315599408275,0.0,1.6661087949786701,24.713783857362188,4.999999999999948,10.463231950770739,1.1523422248910753
III,222,26.64,4101.7315599408275,200.0,1.7278365992668305,24.720021415363153,4.782074681128031,10.27505754809888,0.8732517201686503
III,222,26.64,4301.7315599408275,400.0,1.7895663778707864,24.72761221790176,4.582718919405941,10.0880166028335,1.0385993791043688
III,226,27.119999999999997,3901.731559941584,0.0,1.6655326177034324,25.193783857376168,4.999999999999936,9.325044133075908,1.1707837586667507
III,226,27.119999999999997,4101.731559941583,200.0,1.7272729109484037,25.20002141536891,4.782074681127565,9.14263331873618,0.8957425975347602
III,226,27.119999999999997,4301.731559941583,400.0,1.7890150261979278,25.20761221790911,4.582718919405597,8.961311607855027,1.056201731841668
III,230,27.599999999999998,3901.7315599434196,0.0,1.6650372120075865,25.67378385741154,4.999999999999997,8.217396890184341,1.190095292776373
III,230,27.599999999999998,4101.73155994342,200.0,1.7267890225458116,25.680021415383692,4.782074681126478,8.04050997572503,0.9194172774125657
III,230,27.599999999999998,4301.73155994342,400.0,1.7885425195552154,25.687612217943283,4.582718919405608,7.86467008077242,1.0751972334701705
III,234,28.08,3901.7315599411518,0.0,1.6646160854012044,26.153783857367753,4.9999999999999165,7.138670189544288,1.2102295738285456
III,234,28.08,4101.731559941152,200.0,1.7263785463515622,26.160021415380957,4.782074681128689,6.96708343786691,0.944161154821138
III,234,28.08,4301.731559941152,400.0,1.7881425727345062,26.167612217887886,4.582718919404913,6.796503701199828,1.0954760600012914
III,238,28.56,3901.7315599405038,0.0,1.6642634503635578,26.633783857355148,4.999999999999886,6.087374959665737,1.231141873438554
III,238,28.56,4101.731559940504,200.0,1.7260357853542871,26.64002141536762,4.782074681128618,5.920879019768778,0.9698708909435694
III,238,28.56,4301.731559940504,400.0,1.7878095773233564,26.64761221792164,4.582718919407278,5.755352004548749,1.1169362013466169
III,242,29.04,3901.731559942448,0.0,1.6639741285457135,27.113783857392534,4.999999999999948,5.0621393784897135,1.2527898564958513
III,242,29.04,4101.731559942447,200.0,1.7257556397631073,27.120021415380336,4.782074681127304,4.900537921340576,0.9964535555898029
III,242,29.04,4301.731559942447,400.0,1.78753851047474,27.127612217869476,4.582718919402721,4.739869065368274,1.1394832105040158
III,246,29.52,3901.7315599409358,0.0,1.6637434704504024,27.593783857364638,4.999999999999973,4.061696907694884,
III,246,29.52,4101.731559940936,200.0,1.725533528572463,27.600021415387683,4.782074681129292,3.904805430863117,
III,246,29.52,4301.731559940936,400.0,1.7873248583106136,27.60761221790676,4.582718919406096,3.748811870015393,
III,250,30.0,3901.731559939748,0.0,1.6635672877285865,28.07378385734093,4.999999999999884,3.084875815241315,1.298134830591962
III,250,30.0,4101.731559939748,200.0,1.7253653234021225,28.080021415403262,4.782074681131404,2.9325205914576187,
III,250,30.0,4301.731559939748,400.0,1.7871645512525367,28.087612217893888,4.582718919406568,2.781030120023682,
III,254,30.48,3901.731559944824,0.0,1.6634417957970251,28.553783857435857,4.9999999999998765,2.130589965317588,1.321758150357095
