artifact_id,glass_type,subclass_id,subclass_name,bootstrap_seen,same_numeric_cluster_rate
01,高钾,K-1,高钾钙铝型,201,1.0
03,高钾,K-1,高钾钙铝型,192,1.0
04,高钾,K-1,高钾钙铝型,201,1.0
05,高钾,K-1,高钾钙铝型,194,1.0
06,高钾,K-1,高钾钙铝型,188,1.0
07,高钾,K-1,高钾钙铝型,193,1.0
09,高钾,K-1,高钾钙铝型,200,1.0
10,高钾,K-1,高钾钙铝型,188,1.0
12,高钾,K-1,高钾钙铝型,187,1.0
13,高钾,K-1,高钾钙铝型,196,1.0
14,高钾,K-1,高钾钙铝型,216,1.0
16,高钾,K-1,高钾钙铝型,187,1.0
18,高钾,K-2,高硅含锡特殊型,192,1.0
21,高钾,K-1,高钾钙铝型,204,1.0
22,高钾,K-1,高钾钙铝型,206,1.0
27,高钾,K-1,高钾钙铝型,186,1.0
02,铅钡,LB-3,富铅型,192,1.0
08,铅钡,LB-2,富钡铜型,185,0.9621621621621622
11,铅钡,LB-2,富钡铜型,176,0.875
19,铅钡,LB-3,富铅型,195,0.7897435897435897
20,铅钡,LB-2,富钡铜型,207,0.9903381642512077
23,铅钡,LB-1,铅钡均衡型,177,0.6949152542372882
24,铅钡,LB-2,富钡铜型,210,0.8571428571428571
25,铅钡,LB-1,铅钡均衡型,190,0.9578947368421052
26,铅钡,LB-2,富钡铜型,193,0.9585492227979274
28,铅钡,LB-3,富铅型,200,0.87
29,铅钡,LB-3,富铅型,201,0.9353233830845771
30,铅钡,LB-3,富铅型,188,0.4734042553191489
31,铅钡,LB-3,富铅型,192,0.9375
32,铅钡,LB-1,铅钡均衡型,201,0.8258706467661692
33,铅钡,LB-1,铅钡均衡型,191,0.8691099476439791
34,铅钡,LB-1,铅钡均衡型,182,0.989010989010989
35,铅钡,LB-1,铅钡均衡型,194,0.7422680412371134
36,铅钡,LB-1,铅钡均衡型,192,0.9895833333333334
37,铅钡,LB-2,富钡铜型,205,0.7560975609756098
38,铅钡,LB-1,铅钡均衡型,179,0.9832402234636871
39,铅钡,LB-1,铅钡均衡型,182,0.9120879120879121
40,铅钡,LB-3,富铅型,181,0.30939226519337015
41,铅钡,LB-3,富铅型,179,0.6033519553072626
42,铅钡,LB-1,铅钡均衡型,190,0.7473684210526316
43,铅钡,LB-3,富铅型,193,0.7823834196891192
44,铅钡,LB-1,铅钡均衡型,200,0.985
45,铅钡,LB-1,铅钡均衡型,191,0.9947643979057592
46,铅钡,LB-1,铅钡均衡型,194,0.9639175257731959
47,铅钡,LB-1,铅钡均衡型,199,0.9246231155778895
48,铅钡,LB-1,铅钡均衡型,193,0.8238341968911918
49,铅钡,LB-3,富铅型,190,0.968421052631579
50,铅钡,LB-3,富铅型,186,0.9354838709677419
51,铅钡,LB-3,富铅型,178,0.898876404494382
52,铅钡,LB-3,富铅型,180,0.5833333333333334
53,铅钡,LB-1,铅钡均衡型,189,1.0
54,铅钡,LB-3,富铅型,193,0.9533678756476683
55,铅钡,LB-1,铅钡均衡型,187,0.839572192513369
56,铅钡,LB-1,铅钡均衡型,190,0.9736842105263158
57,铅钡,LB-1,铅钡均衡型,180,1.0
58,铅钡,LB-3,富铅型,206,0.7524271844660194
