component_a,component_b,high_k_correlation,lead_barium_correlation,correlation_difference_high_minus_lead,high_k_max_zero_rate,lead_barium_max_zero_rate,reliable_in_both_types,permutation_p,bh_q
Fe2O3,CuO,0.7807793221154581,-0.40872282852381864,1.1895021506392767,0.0625,0.25,True,0.0001999600079984003,0.018196360727854428
SrO,SnO2,0.7441854202059647,-0.021121599588910432,0.7653070197948751,0.5625,0.425,True,0.0003999200159968006,0.018196360727854428
CaO,SnO2,-0.8478385165362602,0.05060194703641605,-0.8984404635726763,0.5625,0.425,True,0.0009998000399920016,0.022745450909818037
CaO,CuO,0.6218531071170199,-0.4086381881961137,1.0304912953131335,0.0625,0.05,True,0.0007998400319936012,0.022745450909818037
Fe2O3,SnO2,-0.7425923206829201,0.04211913956391752,-0.7847114602468377,0.5625,0.425,True,0.0013997200559888023,0.025474905018996203
Al2O3,PbO,0.11634705782211302,-0.4406895977301012,0.5570366555522142,0.3125,0.0,True,0.002599480103979204,0.039425448243684595
PbO,BaO,0.5874796663508655,0.19642076165604222,0.39105890469482324,0.4375,0.0,True,0.005598880223955209,0.07278544291141772
SiO2,SrO,0.3252887845910388,-0.29028327959017475,0.6155720641812136,0.3125,0.125,True,0.0065986802639472104,0.07505998800239952
K2O,Al2O3,-0.22041776015216147,0.34127718512945165,-0.5616949452816131,0.0625,0.15,True,0.008398320335932814,0.0800639872025595
SiO2,Fe2O3,-0.6654730796854247,0.09914323462391265,-0.7646163143093373,0.0625,0.25,True,0.008798240351929614,0.0800639872025595
Fe2O3,BaO,0.16141250187693193,-0.34206557981674673,0.5034780816936787,0.4375,0.25,True,0.013197360527894421,0.10917816436712657
K2O,BaO,-0.5852167412671742,-0.3296800981992743,-0.25553664306789986,0.4375,0.15,True,0.01919616076784643,0.134373125374925
CaO,SrO,-0.7007743349972928,0.007989875351491047,-0.7087642103487839,0.3125,0.125,True,0.01879624075184963,0.134373125374925
MgO,BaO,0.045318849451420395,-0.5264327278653859,0.5717515773168063,0.4375,0.2,True,0.02979404119176165,0.1936612677464507
BaO,SO2,-0.5346253135048962,0.2285505384702029,-0.7631758519750991,0.4375,0.45,True,0.033193361327734455,0.20137305872158903
MgO,SO2,0.29012543903138427,-0.4198568801417729,0.7099823191731571,0.4375,0.45,True,0.03939212157568486,0.22404269146170766
Al2O3,BaO,-0.09899486237040779,-0.4753659733206475,0.37637111095023973,0.4375,0.0,True,0.04299140171965607,0.23013044449933542
Al2O3,Fe2O3,-0.15508630244874547,0.28060076970318637,-0.4356870721519318,0.0625,0.25,True,0.0619876024795041,0.28932213557288544
P2O5,SrO,0.1738634681514137,-0.26640922765555103,0.4402726958069647,0.3125,0.125,True,0.0621875624875025,0.28932213557288544
PbO,SrO,-0.10561650327870067,0.2226840726553871,-0.3283005759340878,0.3125,0.125,True,0.0635872825434913,0.28932213557288544
Na2O,MgO,-0.5636515689815549,-0.04914250957673136,-0.5145090594048235,0.4375,0.25,True,0.06998600279944012,0.28948755703404777
Na2O,K2O,0.3077901671215904,-0.26770351877864007,0.5754936859002304,0.4375,0.25,True,0.06998600279944012,0.28948755703404777
K2O,PbO,-0.4002115578965811,-0.23435935654313056,-0.16585220135345052,0.3125,0.15,True,0.10777844431113777,0.37722455508898217
SiO2,CaO,-0.6618707474532417,-0.16835028838037103,-0.4935204590728707,0.0625,0.05,True,0.10437912417516497,0.37722455508898217
PbO,SO2,-0.6407440077270213,-0.18353875226310307,-0.45720525546391827,0.4375,0.45,True,0.09678064387122576,0.37722455508898217
Na2O,BaO,-0.4255195871414833,0.07752151831161855,-0.5030411054531019,0.4375,0.25,True,0.10037992401519696,0.37722455508898217
Fe2O3,SO2,0.1342721498511876,-0.3914259351828659,0.5256980850340535,0.4375,0.45,True,0.11697660467906419,0.394254482436846
K2O,SrO,0.2002615722801369,-0.12579942042207698,0.3260609927022139,0.3125,0.15,True,0.1299740051989602,0.42241551689662066
CuO,SrO,-0.5087381471300875,0.026232123218589743,-0.5349702703486772,0.3125,0.125,True,0.14097180563887224,0.44235980390128876
K2O,MgO,-0.21848020234166393,0.16026627991355843,-0.37874648225522234,0.0625,0.2,True,0.14717056588682265,0.44641738319002866
SiO2,SnO2,0.7314774904675331,0.1812239250745595,0.5502535653929735,0.5625,0.425,True,0.15756848630273945,0.4625397501144932
CaO,Fe2O3,0.5336425253938183,0.211350603092863,0.32229192230095527,0.0625,0.25,True,0.17076584683063387,0.48561537692461504
SiO2,Al2O3,-0.21160066952917161,0.20973573074561505,-0.4213364002747867,0.0,0.0,True,0.1921615676864627,0.514314784102003
K2O,Fe2O3,-0.288830530764504,0.08466027926106283,-0.37349081002556683,0.0625,0.25,True,0.19196160767846432,0.514314784102003
CaO,MgO,-0.2796394010507852,0.1827941637043732,-0.4624335647551584,0.0625,0.2,True,0.21255748850229955,0.5526494701059789
BaO,P2O5,0.2736527236389434,-0.09145733510163749,0.3651100587405809,0.4375,0.1,True,0.2469506098780244,0.6242362638583394
CaO,P2O5,-0.4610834713528756,0.05512420145631875,-0.5162076728091943,0.0625,0.1,True,0.2551489702059588,0.6275285483443851
Fe2O3,PbO,-0.24240325956384703,-0.014857694703905433,-0.2275455648599416,0.3125,0.25,True,0.28694261147770445,0.6618926214757048
K2O,P2O5,-0.3182045149566317,0.002681931322939306,-0.320886446279571,0.0625,0.15,True,0.29094181163767247,0.6618926214757048
SiO2,PbO,0.04875144866794804,0.3349684422049095,-0.28621699353696145,0.3125,0.0,True,0.28794241151769645,0.6618926214757048
Na2O,CaO,0.27648357902181653,-0.0849138680011777,0.36139744702299426,0.4375,0.25,True,0.3031393721255749,0.6728215332543248
CuO,BaO,0.13833921778178276,0.48170225926045107,-0.3433630414786683,0.4375,0.025,True,0.3157368526294741,0.6840965140305272
